Title,Authors,Year,Citations,Journal,Link,Topic
Pheromone binding and inactivation by moth antennae,"['RG Vogt', 'LM Riddiford']",1981,872,Nature,http://link.springer.com/article/10.1038/293161a0,antennae
Insect antennae,['D Schneider'],1964,644,Annual review of entomology,http://www.annualreviews.org/doi/pdf/10.1146/annurev.en.09.010164.000535,antennae
The Luminosity Function of Young Star Clusters in the Antennae Galaxies (NGC 4038/4039),"['BC Whitmore', 'Q Zhang', 'C Leitherer']",1999,641,The Astronomical,http://iopscience.iop.org/article/10.1086/301041/meta,antennae
"Hubble space telescope observations of young star clusters in NGC-4038/4039,'the antennae'galaxies","['BC Whitmore', 'F Schweizer']",1995,664,The Astronomical Journal,http://articles.adsabs.harvard.edu/full/gif/1995AJ....109..960W/0000960.000.html7,antennae
[CITATION][C] Theoretical investigations into the transmitting and receiving qualities of antennae,['E Hallen'],1938,396,,,antennae
The mass function of young star clusters in the Antennae galaxies,"['Q Zhang', 'SM Fall']",1999,347,The Astrophysical Journal Letters,http://iopscience.iop.org/article/10.1086/312412/meta,antennae
Genesis of a dwarf galaxy from the debris of the Antennae,"['IF Mirabel', 'H Dottori', 'D Lutz']",1992,253,Astronomy and Astrophysics,http://adsabs.harvard.edu/full/1992A%26A...256L..19M,antennae
"Structure and development of antennae in a moth, Manduca sexta","['JR Sanes', 'JG Hildebrand']",1976,213,Developmental biology,http://www.sciencedirect.com/science/article/pii/0012160676901445,antennae
Solar energy conversion efficiencies in photosynthesis: minimizing the chlorophyll antennae to maximize efficiency,['A Melis'],2009,408,Plant science,http://www.sciencedirect.com/science/article/pii/S0168945209001861,antennae
Artificial light-harvesting antennae: electronic energy transfer by way of molecular funnels,"['R Ziessel', 'A Harriman']",2011,264,Chemical Communications,http://pubs.rsc.org/en/content/articlehtml/2011/cc/c0cc02687e,antennae
Physiology and morphology of pheromone-specific sensilla on the antennae of male and female Spodoptera littoralis (Lepidoptera: Noctuidae),"['H Ljungberg', 'P Anderson', 'BS Hansson']",1993,172,Journal of insect physiology,http://www.sciencedirect.com/science/article/pii/002219109390096A,antennae
Supramolecular structure in extramembraneous antennae of green photosynthetic bacteria,['H Tamiaki'],1996,177,Coordination chemistry reviews,http://www.sciencedirect.com/science/article/pii/0010854595011889,antennae
The function of the antennae in Rhodnius prolixus (Hemiptera) and the mechanism of orientation to the host,"['VB Wigglesworth', 'JD Gillett']",1934,160,Journal of Experimental Biology,http://jeb.biologists.org/content/11/2/120.short,antennae
Chandra observations of The Antennae galaxies (NGC 4038/4039). III. X-ray properties and multiwavelength associations of the X-ray source population,"['A Zezas', 'G Fabbiano', 'AH Rots']",2002,172,The Astrophysical,http://iopscience.iop.org/article/10.1086/342160/meta,antennae
"Ground penetrating radar antennae frequencies and transmitter powers compared for penetration depth, resolution and reflection continuity",['HM Jol'],1995,138,Geophysical prospecting,http://www.earthdoc.org/publication/publicationdetails/?publication=33411,antennae
A multiwavelength study of the young star clusters and interstellar medium in the antennae galaxies,"['Q Zhang', 'SM Fall', 'BC Whitmore']",2001,177,The Astrophysical Journal,http://iopscience.iop.org/article/10.1086/322278/meta,antennae
Mechanoreception in marine copepods: electrophysiological studies on the first antennae,"['J Yen', 'PH Lenz', 'DV Gassie']",1992,157,Journal of Plankton,https://academic.oup.com/plankt/article-abstract/14/4/495/1394618,antennae
A novel class of binding proteins in the antennae of the silk moth Antheraea pernyi,"['H Breer', 'J Krieger', 'K Raming']",1990,116,Insect Biochemistry,http://www.sciencedirect.com/science/article/pii/002017909090088C,antennae
Intelligent station using multiple RF antennae and inventory control system and method incorporating same,"['DG Bauer', 'ER Buiel', 'RJ Campero']",2006,206,US Patent,https://www.google.com/patents/US7084769,antennae
Hepatic tumor ablation with clustered microwave antennae: the US Phase II trial,"['DA Iannitti', 'RCG Martin', 'CJ Simon', 'WW Hope']",2007,138,Hpb,http://onlinelibrary.wiley.com/doi/10.1080/13651820701222677/full,antennae
Chandra observations of The Antennae galaxies (NGC 4038/9),"['G Fabbiano', 'A Zezas', 'SS Murray']",2001,276,The Astrophysical Journal,http://iopscience.iop.org/article/10.1086/321397/meta,antennae
Thermodynamical fluctuations and photo-thermal shot noise in gravitational wave antennae,"['VB Braginsky', 'ML Gorodetsky', 'SP Vyatchanin']",1999,284,Physics Letters A,http://www.sciencedirect.com/science/article/pii/S0375960199007859,antennae
The dark side of star formation in the Antennae galaxies,"['IF Mirabel', 'L Vigroux', 'V Charmandaris']",1998,228,Arxiv preprint astro-ph,https://arxiv.org/abs/astro-ph/9802176,antennae
Hepatic microwave ablation with multiple antennae results in synergistically larger zones of coagulation necrosis,"['AS Wright', 'FT Lee', 'DM Mahvi']",2003,258,Annals of Surgical Oncology,http://www.springerlink.com/index/L89EBECJ1JR37DMG.pdf,antennae
Dendrimers as controlled artificial energy antennae,"['A Bar-Haim', 'J Klafter', 'R Kopelman']",1997,261,Journal of the American,http://pubs.acs.org/doi/full/10.1021/ja970972f,antennae
The age distribution of massive star clusters in the Antennae galaxies,"['SM Fall', 'R Chandar', 'BC Whitmore']",2005,250,The Astrophysical Journal,http://iopscience.iop.org/article/10.1086/496878/meta,antennae
Carbon nanotubes with covalently linked porphyrin antennae: photoinduced electron transfer,"['D Baskaran', 'JW Mays', 'XP Zhang']",2005,289,Journal of the American,http://pubs.acs.org/doi/abs/10.1021/ja0508222,antennae
Chromophore-labeled dendrons as light harvesting antennae,"['GM Stewart', 'MA Fox']",1996,293,Journal of the American Chemical Society,http://pubs.acs.org/doi/abs/10.1021/ja954021i,antennae
Zeaxanthin has enhanced antioxidant capacity with respect to all other xanthophylls in Arabidopsis leaves and functions independent of binding to PSII antennae,"['M Havaux', ""L Dall'Osto"", 'R Bassi']",2007,259,Plant physiology,http://www.plantphysiol.org/content/145/4/1506.short,antennae
Compact vehicle based rear and side obstacle detection system including multiple antennae,"['HH Agravante', 'BI Hauss', 'PJ Moffa']",1998,194,US Patent 5,https://www.google.com/patents/US5767793,antennae
