Title,Authors,Year,Citations,Link
Nutrition: Antioxidant activity of fresh apples,"['MV Eberhardt', 'CY Lee', 'RH Liu']",2000,1112,https://www.nature.com/nature/journal/v405/n6789/abs/405903b0.html,apples
Bad apples in bad barrels: A causal analysis of ethical decision-making behavior,"['LK Trevino', 'SA Youngblood']",1990,1146,http://psycnet.apa.org/journals/apl/75/4/378/,apples
"Bad apples, bad cases, and bad barrels: meta-analytic evidence about sources of unethical decisions at work","['JJ Kish-Gephart', 'DA Harrison', 'LK Treviño']",2010,834,http://psycnet.apa.org/journals/apl/95/1/1/,apples
Rotten apples: An investigation of the prevalence and predictors of teacher cheating,"['BA Jacob', 'SD Levitt']",2003,920,https://academic.oup.com/qje/article-abstract/118/3/843/1943009,apples
[PDF][PDF] Comparing apples to oranges: productivity convergence and measurement across industries and countries,"['AB Bernard', 'CI Jones']",1996,858,http://www.jstor.org/stable/2118287,apples
[HTML][HTML] Comparing apples and oranges,['EH Blackstone'],2002,521,http://www.sciencedirect.com/science/article/pii/S0022522302164543,apples
Shipping the good apples out? An empirical confirmation of the Alchian-Allen conjecture,"['D Hummels', 'A Skiba']",2004,600,http://www.journals.uchicago.edu/doi/abs/10.1086/422562,apples
Adaptive computing on the grid using AppLeS,"['F Berman', 'R Wolski', 'H Casanova…']",2003,590,http://ieeexplore.ieee.org/abstract/document/1195409/,apples
A summary of CA requirements and recommendations for fruits other than apples and pears,['AA Kader'],2001,268,http://www.actahort.org/books/600/600_112.htm,apples
[PDF][PDF] Phenolic compounds and their changes in apples during maturation and cold storage,"['S Burda', 'W Oleszek', 'CY Lee']",1990,321,http://pubs.acs.org/doi/pdf/10.1021/jf00094a006,apples
