Title,Authors,Year,Citations,Journal,Link,Topic
A CMOS bandgap reference circuit with sub-1-V operation,"['H Banba', 'H Shiga', 'A Umezawa']",1999,909,IEEE Journal of Solid,http://ieeexplore.ieee.org/abstract/document/760378/,bandgap reference
A sub-1-V 15-ppm//spl deg/C CMOS bandgap voltage reference without requiring low threshold voltage device,"['KN Leung', 'PKT Mok']",2002,490,IEEE Journal of Solid-State Circuits,http://ieeexplore.ieee.org/abstract/document/991391/,bandgap reference
A simple three-terminal IC bandgap reference,['AP Brokaw'],1974,522,IEEE Journal of Solid-State Circuits,http://ieeexplore.ieee.org/abstract/document/1050532/,bandgap reference
A 2-V 23-/spl mu/A 5.3-ppm//spl deg/C curvature-compensated CMOS bandgap voltage reference,"['KN Leung', 'PKT Mok', 'CY Leung']",2003,305,IEEE Journal of Solid-State,http://ieeexplore.ieee.org/abstract/document/1183873/,bandgap reference
A precision curvature-compensated CMOS bandgap reference,"['BS Song', 'PR Gray']",1983,421,IEEE Journal of Solid-State Circuits,http://ieeexplore.ieee.org/abstract/document/1052013/,bandgap reference
Accurate analysis of temperature effects in i/sub c/v/sub be/characteristics with application to bandgap reference sources,['YP Tsividis'],1980,339,IEEE Journal of Solid-State Circuits,http://ieeexplore.ieee.org/abstract/document/1051519/,bandgap reference
A curvature-corrected low-voltage bandgap reference,"['M Gunawan', 'GCM Meijer', 'J Fonderie']",1993,194,IEEE Journal of Solid,http://ieeexplore.ieee.org/abstract/document/217981/,bandgap reference
A 1.1-V current-mode and piecewise-linear curvature-corrected bandgap reference,"['G Rincon-Mora', 'PE Allen']",1998,228,IEEE Journal of Solid-State Circuits,http://ieeexplore.ieee.org/abstract/document/720402/,bandgap reference
A CMOS bandgap reference without resistors,"['AE Buck', 'CL McDonald', 'SH Lewis']",2002,188,IEEE Journal of Solid,http://ieeexplore.ieee.org/abstract/document/974548/,bandgap reference
New curvature-compensation technique for CMOS bandgap reference with sub-1-V operation,"['MD Ker', 'JS Chen']",2006,159,IEEE Transactions on circuits and systems II,http://ieeexplore.ieee.org/abstract/document/1683977/,bandgap reference
Bandgap voltage reference and method with further temperature correction,"['FD Carvajal', 'TA Schmidt']",1990,52,US Patent 4,https://www.google.com/patents/US4939442,bandgap reference
A 1.6-V 25-A 5-ppm/C Curvature-Compensated Bandgap Reference,"['ZK Zhou', 'Y Shi', 'Z Huang', 'PS Zhu']",2012,66,on Circuits and,http://ieeexplore.ieee.org/abstract/document/6072288/,bandgap reference
Bandgap voltage reference employing sub-surface current using a standard CMOS process,"['MJ Caruso', 'DB Hildebrand', 'KB Ohri']",1982,56,US Patent 4,https://www.google.com/patents/US4317054,bandgap reference
