Title,Authors,Year,Citations,Journal,Link,Topic
Clinical practice guidelines for Clostridium difficile infection in adults: 2010 update by the society for healthcare epidemiology of America (SHEA) and the infectious,"['SH Cohen', 'DN Gerding', 'S Johnson']",2010,2586,Infection Control &,https://www.cambridge.org/core/journals/infection-control-and-hospital-epidemiology/article/clinical-practice-guidelines-for-clostridium-difficile-infection-in-adults-2010-update-by-the-society-for-healthcare-epidemiology-of-america-shea-and-the-infectious-diseases-society-of-america-idsa/F15EC65473C368F9E24434B46B17B19A,clostridium difficile
Treatment with monoclonal antibodies against Clostridium difficile toxins,"['I Lowy', 'DC Molrine', 'BA Leav']",2010,747,New England,https://ccforum.biomedcentral.com/track/pdf/10.1186/cc9249?site=http://ccforum.biomedcentral.com,clostridium difficile
Toxin production by an emerging strain of Clostridium difficile associated with outbreaks of severe disease in North America and Europe,"['M Warny', 'J Pepin', 'A Fang', 'G Killgore', 'A Thompson']",2005,1387,The Lancet,http://www.sciencedirect.com/science/article/pii/S014067360567420X,clostridium difficile
"An Epidemic, Toxin GeneVariant Strain of Clostridium difficile","['LC McDonald', 'GE Killgore', 'A Thompson']",2005,1994,England Journal of,http://www.nejm.org/doi/full/10.1056/NEJMoa051590,clostridium difficile
A Predominantly Clonal Multi-Institutional Outbreak of Clostridium difficileAssociated Diarrhea with High Morbidity and Mortality,"['', 'AM Bourgault', 'T Nguyen', 'C Frenette']",2005,1959,England Journal of,http://www.nejm.org/doi/full/10.1056/nejmoa051639,clostridium difficile
Duodenal Infusion of Donor Feces for Recurrent Clostridium difficile,"['E Van Nood', 'A Vrieze', 'M Nieuwdorp']",2013,1817,England Journal of,http://www.nejm.org/doi/full/10.1056/NEJMoa1205037,clostridium difficile
Glucosylation of Rho proteins by Clostridium difficile toxin B,"['I Just', 'J Selzer', 'M Wilm', 'C Von Eichel-Streiber', 'M Mann']",1995,948,Nature,https://link.springer.com/article/10.1038/375500a0,clostridium difficile
A randomized placebo-controlled trial of Saccharomyces boulardii in combination with standard antibiotics for Clostridium difficile disease,"['LV McFarland', 'CM Surawicz', 'RN Greenberg']",1994,954,Jama,http://jama.jamanetwork.com/article.aspx?articleid=375521,clostridium difficile
Clostridium difficile colitis,"['CP Kelly', 'C Pothoulakis', 'JT LaMont']",1994,1288,New England Journal of,http://www.nejm.org/doi/full/10.1056/NEJM199401273300406,clostridium difficile
Emergence of Fluoroquinolones as the Predominant Risk Factor for Clostridium difficileAssociated Diarrhea: A Cohort Study during an Epidemic in,"['J Ppin', 'N Saheb', 'MA Coulombe']",2005,953,Clinical Infectious,https://academic.oup.com/cid/article-abstract/41/9/1254/277535,clostridium difficile
