Title,Authors,Year,Citations,Journal,Link,Topic
Alpha1-antitrypsin (A1AT) accumulation in livers of emphysematous patients with A1AT deficiency,"['HW Gordon', 'J Dixon', 'JC Rogers', 'C Mittman']",1972,103,Human pathology,http://www.sciencedirect.com/science/article/pii/S0046817772800376,A1AT
Diagnosis and Management of Patients With 1-Antitrypsin (A1AT) Deficiency,"['DR Nelson', 'J Teckman', 'AM Di Bisceglie']",2012,50,Clinical Gastroenterology,http://www.sciencedirect.com/science/article/pii/S1542356511013899,A1AT
Molecular analysis of A1AT (S and Z) and HFE (C282Y and H63D) gene mutations in Egyptian cases with HCV liver cirrhosis,"['A Settin', 'M El-Bendary', 'R Abo-Al-Kassem']",2006,33,Journal of Gastrointestinal,http://www.jgld.ro/2006/2/4.pdf,A1AT
"IV alpha1 antitrypsin (A1AT) preserves lung density in homozygous alpha1 antitrypsin deficiency (A1ATD); a randomized, placebo-controlled trial","['KR Chapman', 'JGW Burdon', 'E Piitulainen']",2013,17,IN CLINICAL TRIALS,http://www.atsjournals.org/doi/pdf/10.1164/ajrccm-conference.2013.187.1_MeetingAbstracts.A6069,A1AT
"Fibromyalgia, mood disorders, and intense creative energy: A1AT polymorphisms are not always silent","['DE Schmechel', 'CL Edwards']",2012,33,Neurotoxicology,http://www.sciencedirect.com/science/article/pii/S0161813X12000642,A1AT
"Secretomic analysis identifies alpha-1 antitrypsin (A1AT) as a required protein in cancer cell migration, invasion, and pericellular fibronectin assembly for facilitating","['YH Chang', 'SH Lee', 'IC Liao', 'SH Huang']",2012,30,Molecular & cellular,http://www.mcponline.org/content/11/11/1320.short,A1AT
Temporal and tissue-specific expression of the MET ORF driven by the complete transcriptional unit of human A1AT gene in transgenic mice,"['L Amicone', 'MA Galimi', 'FM Spagnoli', 'C Tommasini']",1995,17,Gene,http://www.sciencedirect.com/science/article/pii/037811199500277D,A1AT
Diabetes mellitus: a hypercoagulable state,['ME Carr'],2001,790,Journal of diabetes and its complications,http://www.sciencedirect.com/science/article/pii/S105687270000132X,A1AT
The pathologic spectrum of the nephropathy associated with 1-antitrypsin deficiency,"['ID Davis', 'B Burke', 'D Freese', 'HL Sharp', 'Y Kim']",1992,64,Human pathology,http://www.sciencedirect.com/science/article/pii/004681779290012R,A1AT
by MRI Using Hyperpolarized 3He (HP 3He) Measurements in Patients with Alpha-1-Antitrypsin (A1AT) Deficiency Compared with CT,"['T Stavngaard', 'LV Sgaard', 'M Batz', 'LM Schreiber']",2009,15,Acta,http://www.tandfonline.com/doi/abs/10.3109/02841850903213822,A1AT
Airways inflammation in chronic bronchitis: the effects of smoking and alpha1-antitrypsin deficiency,"['AT Hill', 'DL Bayley', 'EJ Campbell', 'SL Hill']",2000,116,European,http://erj.ersjournals.com/content/15/5/886.short,A1AT
Adenovirus-mediated transfer of a recombinant human alpha 1-antitrypsin cDNA to human endothelial cells,"['P Lemarchand', 'HA Jaffe', 'C Danel']",1992,259,Proceedings of the,http://www.pnas.org/content/89/14/6482.short,A1AT
Relationship between circulating serum soluble interleukin-6 receptor and the angiogenic cytokines basic fibroblast growth factor and vascular endothelial growth,"['M Alexandrakis', 'F Passam', 'A Boula']",2003,67,Annals of,http://www.springerlink.com/index/528HENBJA4HKTBBL.pdf,A1AT
Protease and antiprotease concentrations in serum and vaginal fluid of patients with carcinoma of the cervix,"['L Benitez-Bribiesca', 'R Freyre-Horta']",1980,11,Archivos de,http://europepmc.org/abstract/med/7011240,A1AT
A future for neonatal 1antitrypsin screening?,"['T Sveger', 'T Thelin']",2000,35,Acta paediatrica,http://onlinelibrary.wiley.com/doi/10.1111/j.1651-2227.2000.tb00354.x/full,A1AT
Protease-antiprotease imbalance in the lungs of children with cystic fibrosis,"['P Birrer', 'NG McElvaney', 'A Rdeberg']",1994,381,American Journal of,http://www.atsjournals.org/doi/abs/10.1164/ajrccm.150.1.7912987,A1AT
"Alpha-1-antitrypsin phenotypes in Lyon, France","['P Arnaud', 'C Chapuis-Cellier', 'P Vittoz', 'R Creyssel']",1977,25,Human genetics,http://www.springerlink.com/index/K168011252226279.pdf,A1AT
Mediastinal germ cell tumors and histiocytosis,"['M Landanyi', 'I Roy']",1988,52,Human pathology,http://www.sciencedirect.com/science/article/pii/S0046817788802090,A1AT
Angiotensinogen is related to the antitrypsin-antithrombin-ovalbumin family,['RF Doolittle'],1983,199,Science,http://go.galegroup.com/ps/i.do?id=GALE%7CA2980941&sid=googleScholar&v=2.1&it=r&linkaccess=fulltext&issn=00368075&p=AONE&sw=w,A1AT
A novel ER mannosidaselike protein accelerates ERassociated degradation,"['N Hosokawa', 'I Wada', 'K Hasegawa', 'T Yorihuzi']",2001,448,EMBO,http://embor.embopress.org/content/2/5/415?utm_source=TrendMD&utm_medium=cpc&utm_campaign=EMBO_Rep_TrendMD_1,A1AT
The incidence of alpha-1-antitrypsin (A1AT) deficiency alleles in population of Central Polandpreliminary results from newborn screening,['J Chorostowska-Wynimko'],2012,10,Advances in,https://journals.viamedica.pl/advances_in_respiratory_medicine/article/view/27565,A1AT
Inactivation of factor Xia in vivo: studies in chimpanzees and in humans,"['WA Wuillemin', 'CE Hack', 'WK Bleeker']",1996,29,Thrombosis and,http://europepmc.org/abstract/med/8902995,A1AT
Alpha-1-antitrypsin deficiency and nephropathy,"['A Montanelli', 'E Mainardi', 'L Pini', 'L Corda', 'V Grassi']",2002,16,Nephron,http://www.karger.com/Article/PDF/46325,A1AT
EDEM as an acceptor of terminally misfolded glycoproteins released from calnexin,"['Y Oda', 'N Hosokawa', 'I Wada', 'K Nagata']",2003,443,Science,http://science.sciencemag.org/content/299/5611/1394.short,A1AT
"Immunoreactivity of S100 protein, alpha-1-antitrypsin, and CD68 in adult and congenital granular cell tumors","['AC Filie', 'JM Lage', 'N Azumi']",1996,58,pathology: an official journal of the,http://europepmc.org/abstract/med/8878020,A1AT
1-antitrypsin deficiency-associated panniculitis: resolution with intravenous 1-antitrypsin administration and liver transplantation,"[""K O'riordan"", 'A Blei', 'MS Rao', 'M Abecassis']",1997,70,Transplantation,http://journals.lww.com/transplantjournal/Abstract/1997/02150/_alpha_1_ANTITRYPSIN_DEFICIENCY_ASSOCIATED.28.aspx,A1AT
"900 RECOMBINANT LYSOSOMAL ACID LIPASE NORMALIZES LIVER WEIGHT, TRANSAMINASES AND HISTOPATHOLOGICAL ABNORMALITIES IN","['M Leavitt', 'AD Burt', 'W Hu', 'D Canty', 'M Gray', 'A Bray']",2011,17,Journal of,,A1AT
Molecular abnormality of human alpha1-antitrypsin variant (Pi-ZZ) associated with plasma activity deficiency,"['A Yoshida', 'J Lieberman', 'L Gaidulis']",1976,179,Proceedings of the,http://www.pnas.org/content/73/4/1324.short,A1AT
Investigation of CCL18 and A1AT as potential urinary biomarkers for bladder cancer detection,"['M Miyake', 'S Ross', 'A Lawton', 'M Chang']",2013,10,BMC,https://bmcurol.biomedcentral.com/articles/10.1186/1471-2490-13-42,A1AT
Alpha-1-antitrypsin deficiency panniculitis,"['R Valverde', 'B Rosales', 'FJ Ortiz-de Frutos']",2008,39,Dermatologic clinics,http://www.sciencedirect.com/science/article/pii/S0733863508000442,A1AT
