Title,Authors,Year,Citations,Journal,Link,Topic
The amyloid hypothesis of Alzheimer's disease: progress and problems on the road to therapeutics,"['J Hardy', 'DJ Selkoe']",2002,1062,science,http://science.sciencemag.org/content/297/5580/353.short,ALZHEIMERS
due to Alzheimer's disease: Recommendations from the National Institute on Aging-Alzheimer's Association workgroups on diagnostic guidelines for Alzheimer's,"['GM McKhann', 'DS Knopman', 'H Chertkow']",2011,4898,Alzheimer's &,http://www.sciencedirect.com/science/article/pii/S1552526011001014,ALZHEIMERS
Alzheimer's disease: a disorder of cortical cholinergic innervation,"['JT Coyle', 'DL Price', 'MR Delong']",1983,3284,Science,http://science.sciencemag.org/content/219/4589/1184.short,ALZHEIMERS
due to Alzheimer's disease: Recommendations from the National Institute on Aging-Alzheimer's Association workgroups on diagnostic guidelines for Alzheimer's,"['MS Albert', 'ST DeKosky', 'D Dickson', 'B Dubois']",2011,3860,Alzheimer's &,http://www.sciencedirect.com/science/article/pii/S155252601100104X,ALZHEIMERS
Alzheimer's disease is a synaptic failure,['DJ Selkoe'],2002,3145,Science,http://science.sciencemag.org/content/298/5594/789.short,ALZHEIMERS
Multiple isoforms of human microtubule-associated protein tau: sequences and localization in neurofibrillary tangles of Alzheimer's disease,"['M Goedert', 'MG Spillantini', 'R Jakes', 'D Rutherford']",1989,1766,Neuron,http://www.sciencedirect.com/science/article/pii/0896627389902109,ALZHEIMERS
stages of Alzheimer's disease: Recommendations from the National Institute on Aging-Alzheimer's Association workgroups on diagnostic guidelines for Alzheimer's,"['RA Sperling', 'PS Aisen', 'LA Beckett', 'DA Bennett']",2011,3155,Alzheimer's &,http://www.sciencedirect.com/science/article/pii/S1552526011000999,ALZHEIMERS
Prevalence of Alzheimer's disease in a community population of older persons: higher than previously reported,"['DA Evans', 'HH Funkenstein', 'MS Albert', 'PA Scherr']",1989,2587,Jama,http://jama.jamanetwork.com/article.aspx?articleid=379351,ALZHEIMERS
2011 Alzheimer's disease facts and figures,"[""Alzheimer's Association""]",2011,659,dementia: the journal of the Alzheimer's,https://www.ncbi.nlm.nih.gov/pubmed/21414557,ALZHEIMERS
Research criteria for the diagnosis of Alzheimer's disease: revising the NINCDSADRDA criteria,"['B Dubois', 'HH Feldman', 'C Jacova', 'ST DeKosky']",2007,3415,The Lancet,http://www.sciencedirect.com/science/article/pii/S1474442207701783,ALZHEIMERS
Molecular structural basis for polymorphism in Alzheimer's -amyloid fibrils,"['AK Paravastu', 'RD Leapman']",2008,743,Proceedings of the,http://www.pnas.org/content/105/47/18349.short,ALZHEIMERS
National Institute on AgingAlzheimer's Association guidelines for the neuropathologic assessment of Alzheimer's disease,"['BT Hyman', 'CH Phelps', 'TG Beach', 'EH Bigio']",2012,717,Alzheimer's &,http://www.sciencedirect.com/science/article/pii/S1552526011029803,ALZHEIMERS
2015 Alzheimer's disease facts and figures,"[""A Alzheimer's""]",2015,446,& dementia: the journal of the Alzheimer's,https://www.ncbi.nlm.nih.gov/pubmed/25984581,ALZHEIMERS
Advancing research diagnostic criteria for Alzheimer's disease: the IWG-2 criteria,"['B Dubois', 'HH Feldman', 'C Jacova', 'H Hampel']",2014,909,The Lancet,http://www.sciencedirect.com/science/article/pii/S1474442214700900,ALZHEIMERS
TREM2 Variants in Alzheimer's Disease,"['R Guerreiro', 'A Wojtas', 'J Bras']",2013,995,England Journal of,http://www.nejm.org/doi/full/10.1056/NEJMoa1211851,ALZHEIMERS
Mitochondria are a direct site of A accumulation in Alzheimer's disease neurons: implications for free radical generation and oxidative damage in disease,"['M Manczak', 'TS Anekonda', 'E Henson']",2006,809,Human molecular,https://academic.oup.com/hmg/article-abstract/15/9/1437/628110,ALZHEIMERS
