Title,Authors,Year,Citations,Journal,Link,Topic
Modality-specific retrograde amnesia of fear,"['JJ Kim', 'MS Fanselow']",1992,2267,Science,http://search.proquest.com/openview/69d3fcfc6709f96476398fcb5dfcbfe6/1?pq-origsite=gscholar&cbl=1256,AMNESIA
Preserved learning and retention of pattern-analyzing skill in amnesia: Dissociation of knowing how and knowing that,"['NJ Cohen', 'LR Squire']",1980,2640,Science,https://is.muni.cz/el/1423/podzim2011/PSY221_P11/um/27802322/Cohen___Squire__1980_.pdf,AMNESIA
"Memory consolidation, retrograde amnesia and the hippocampal complex","['L Nadel', 'M Moscovitch']",1997,1605,Current opinion in neurobiology,http://www.sciencedirect.com/science/article/pii/S0959438897800104,AMNESIA
Pragmatics of measuring recognition memory: applications to dementia and amnesia,"['JG Snodgrass', 'J Corwin']",1988,2644,Journal of Experimental Psychology,http://psycnet.apa.org/journals/xge/117/1/34/,AMNESIA
Retrograde amnesia and memory consolidation: a neurobiological perspective,"['LR Squire', 'P Alvarez']",1995,1278,Current opinion in neurobiology,http://www.sciencedirect.com/science/article/pii/0959438895800239,AMNESIA
Human amnesia and the medial temporal region: enduring memory impairment following a bilateral lesion limited to field CA1 of the hippocampus,"['S Zola-Morgan', 'LR Squire', 'DG Amaral']",1986,2138,Journal of Neuroscience,http://www.jneurosci.org/content/6/10/2950.short,AMNESIA
Retrograde amnesia produced by electroconvulsive shock after reactivation of a consolidated memory trace,"['JR Misanin', 'RR Miller', 'DJ Lewis']",1968,764,Science,http://science.sciencemag.org/content/160/3827/554.short,AMNESIA
Amnesia following operation on the temporal lobes,['B Milner'],1966,808,Amnesia,http://ci.nii.ac.jp/naid/10008101181/,AMNESIA
"Memory, amnesia, and the hippocampal system",['H Eichenbaum'],1993,1752,,https://books.google.com/books?hl=en&lr=&id=0nAfZGLlQh4C&oi=fnd&pg=PA1&dq=AMNESIA&ots=xWFb-v7IjA&sig=yf8qoTmsLGl06RJgE9zvIvoFzkQ,AMNESIA
"Episodic memory, amnesia, and the hippocampalanterior thalamic axis","['JP Aggleton', 'MW Brown']",1999,1803,Behavioral and brain sciences,https://www.cambridge.org/core/journals/behavioral-and-brain-sciences/article/episodic-memory-amnesia-and-the-hippocampalanterior-thalamic-axis/810189AC34B388075020FA6E6C61F000,AMNESIA
Twilight memories: Marking time in a culture of amnesia,['A Huyssen'],2012,1796,,https://books.google.com/books?hl=en&lr=&id=qzSoG-Lfzp4C&oi=fnd&pg=PP2&dq=AMNESIA&ots=NLkP4dt4xC&sig=1wFY6mp4_o9lsm5ZLwQI_ZoMYKM,AMNESIA
Experimental studies of amnesia,['L Weiskrantz'],1966,80,Amnesia,,AMNESIA
Preserved learning of novel information in amnesia: Evidence for multiple memory systems,['B Gordon'],1988,716,Brain and Cognition,http://www.sciencedirect.com/science/article/pii/0278262688900024,AMNESIA
