Title,Authors,Year,Citations,Journal,Link,Topic
Sucrose compared with artificial sweeteners: different effects on ad libitum food intake and body weight after 10 wk of supplementation in overweight subjects,"['A Raben', 'TH Vasilaras', 'AC Mller']",2002,690,The American journal of,http://ajcn.nutrition.org/content/76/4/721.short,ARTIFICIAL SWEETENERS
Artificial sweeteners induce glucose intolerance by altering the gut microbiota,"['J Suez', 'T Korem', 'D Zeevi', 'G Zilberman-Schapira']",2014,565,Nature,https://www.nature.com/nature/journal/v514/n7521/abs/nature13793.html,ARTIFICIAL SWEETENERS
Artificial sweeteners and human bladder cancer: preliminary results,"['RN Hoover', 'PH Strasser']",1980,193,The Lancet,http://www.sciencedirect.com/science/article/pii/S0140673680913501,ARTIFICIAL SWEETENERS
Artificial sweetenersdo they bear a carcinogenic risk?,"['MR Weihrauch', 'V Diehl']",2004,245,Annals of Oncology,https://academic.oup.com/annonc/article-abstract/15/10/1460/170200,ARTIFICIAL SWEETENERS
Gain weight by going diet? Artificial sweeteners and the neurobiology of sugar cravings: Neuroscience 2010,['Q Yang'],2010,219,The Yale journal of biology and medicine,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2892765/,ARTIFICIAL SWEETENERS
Separation and simultaneous determination of four artificial sweeteners in food and beverages by ion chromatography,"['Y Zhu', 'Y Guo', 'M Ye', 'FS James']",2005,181,Journal of Chromatography A,http://www.sciencedirect.com/science/article/pii/S0021967304023350,ARTIFICIAL SWEETENERS
Analysis and occurrence of seven artificial sweeteners in German waste water and surface water and in soil aquifer treatment (SAT),"['M Scheurer', 'HJ Brauch', 'FT Lange']",2009,243,Analytical and Bioanalytical Chemistry,http://link.springer.com/article/10.1007/s00216-009-2881-y,ARTIFICIAL SWEETENERS
Artificial sweeteners and human bladder cancer,"['GR Howe', 'JD Burch', 'AB Miller', 'B Morrison', 'P Gordon']",1977,157,The Lancet,http://www.sciencedirect.com/science/article/pii/S0140673677914283,ARTIFICIAL SWEETENERS
"Bladder cancer: smoking, beverages and artificial sweeteners","['RW Morgan', 'MG Jain']",1974,160,Canadian Medical Association Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1955852/,ARTIFICIAL SWEETENERS
Artificial sweeteners produce the counterintuitive effect of inducing metabolic derangements,['SE Swithers'],2013,183,Trends in Endocrinology & Metabolism,http://www.sciencedirect.com/science/article/pii/S1043276013000878,ARTIFICIAL SWEETENERS
"Examination of sugars, sugar alcohols, and artificial sweeteners as substitutes for sucrose in strawberry jam. Product development","['LEA HYVNEN', 'R TRM']",1983,41,Journal of Food Science,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2621.1983.tb14819.x/full,ARTIFICIAL SWEETENERS
A differential kinetic spectrophotometric method for determination of three sulphanilamide artificial sweeteners with the aid of chemometrics,"['Y Ni', 'W Xiao', 'S Kokot']",2009,38,Food chemistry,http://www.sciencedirect.com/science/article/pii/S0308814608010479,ARTIFICIAL SWEETENERS
