Title,Authors,Year,Citations,Journal,Link,Topic
Bananas,['NW Simmonds'],1959,1261,Bananas.,https://www.cabdirect.org/cabdirect/abstract/19601602155,BANANAS
"Bananas, beaches and bases: Making feminist sense of international politics",['C Enloe'],2014,4157,,https://books.google.com/books?hl=en&lr=&id=zx6MAwAAQBAJ&oi=fnd&pg=PP1&dq=BANANAS&ots=rWroguppZS&sig=IOo-0P38D-iFreQrFF-nDzzkQws,BANANAS
"Bananas, beaches and bases",['C Enloe'],1989,460,,http://www.ucpress.edu/book.php?isbn=9780520279995,BANANAS
"Functional programming with bananas, lenses, envelopes and barbed wire","['E Meijer', 'M Fokkinga', 'R Paterson']",1991,729,Functional Programming Languages,http://www.springerlink.com/index/77T3588175M4H5N7.pdf,BANANAS
The Evolution of the Bananas,['NW Simmonds'],1962,624,The Evolution of the Bananas.,https://www.cabdirect.org/cabdirect/abstract/19630303919,BANANAS
Bananas,['NW Simmonds'],1724,915,,http://krishikosh.egranth.ac.in/bitstream/1/2057449/1/ANAND-45.pdf,BANANAS
The taxonomy and origins of the cultivated bananas,"['NW Simmonds', 'K Shepherd']",1955,528,Botanical Journal of the Linnean,https://academic.oup.com/botlinnean/article-abstract/55/359/302/2882996,BANANAS
Bananas and plantains,"['JC Robinson', 'VG Saco']",2010,725,,https://books.google.com/books?hl=en&lr=&id=0GxOPqj2UVYC&oi=fnd&pg=PR5&dq=BANANAS&ots=fQtcHPQymh&sig=PQQx0bZo1q6UUSDzeve0v71CIy0,BANANAS
"Nematode parasites of bananas, plantains and abaca","['S Gowen', 'P Qunherv']",1990,448,Plant parasitic nematodes in subtropical,https://www.cabdirect.org/cabdirect/abstract/19901146382,BANANAS
Antioxidant compounds from bananas (Musa Cavendish),"['S Someya', 'Y Yoshiki', 'K Okubo']",2002,265,Food Chemistry,http://www.sciencedirect.com/science/article/pii/S0308814602001863,BANANAS
Ferroelectrics go bananas,['JF Scott'],2007,379,Journal of Physics: Condensed Matter,http://iopscience.iop.org/article/10.1088/0953-8984/20/02/021001/meta,BANANAS
Somatic embryogenesis and plant regeneration in suspension cultures of dessert (AA and AAA) and cooking (ABB) bananas (Musa spp.),"['FJ Novak', 'R Afza', 'M Van Duren', 'M Perea-Dallos']",1989,296,Nature,https://www.nature.com/nbt/journal/v7/n2/abs/nbt0289-154.html,BANANAS
Fusarial wilt (Panama Disease) of bananas and other Musa species,['RH Stover'],1962,283,wilt (Panama disease) of bananas and other Musa,https://www.cabdirect.org/cabdirect/abstract/19621605371,BANANAS
"Serotonin, norepinephrine, and related compounds in bananas","['TP Waalkes', 'A Sjoerdsma', 'CR Creveling', 'H Weissbach']",1958,232,Science,http://www.jstor.org/stable/1755803,BANANAS
Color and texture change kinetics in ripening bananas,"['CR Chen', 'HS Ramaswamy']",2002,137,LWT-Food Science and Technology,http://www.sciencedirect.com/science/article/pii/S0023643801908758,BANANAS
"Bananas, raw materials for making processed food products","['G Aurore', 'B Parfait', 'L Fahrasmane']",2009,257,Trends in Food Science & Technology,http://www.sciencedirect.com/science/article/pii/S0924224408002483,BANANAS
Breeding bananas and plantains,['P Rowe'],1984,108,Plant Breeding Reviews,http://onlinelibrary.wiley.com/doi/10.1002/9781118060995.ch4/summary,BANANAS
In vitro culture of bananas,"['Y Israeli', 'E Lahav', 'O Reuveni']",1995,114,Bananas and plantains,https://link.springer.com/chapter/10.1007/978-94-011-0737-2_6,BANANAS
Application of image analysis for classification of ripening bananas,"['F Mendoza', 'JM Aguilera']",2004,199,Journal of food science,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2621.2004.tb09932.x/full,BANANAS
Some effects of TAL Pro-long coating on ripening bananas,['NH Banks'],1984,183,Journal of Experimental Botany,https://academic.oup.com/jxb/article-abstract/35/1/127/465461,BANANAS
Flow cytometric estimation of nuclear DNA amount in diploid bananas (Musa acuminata andM. balbisiana),"['J Doleel', 'M Doleelov', 'FJ Novk']",1994,215,Biologia plantarum,http://www.springerlink.com/index/DJ0WN61Q4277037M.pdf,BANANAS
Starch and sugar transformation during the ripening of plantains and bananas,"['J Marriott', 'M Robinson']",1981,139,of the Science of Food and,http://onlinelibrary.wiley.com/doi/10.1002/jsfa.2740321011/full,BANANAS
Role of sucrose phosphate synthase in sucrose biosynthesis in ripening bananas and its relationship to the respiratory climacteric,"['NL Hubbard', 'DM Pharr', 'SC Huber']",1990,184,Plant physiology,http://www.plantphysiol.org/content/94/1/201.short,BANANAS
"The political ecology of bananas: contract farming, peasants, and agrarian change in the Eastern Caribbean",['LS Grossman'],2000,227,,https://books.google.com/books?hl=en&lr=&id=f1zMCQAAQBAJ&oi=fnd&pg=PP1&dq=BANANAS&ots=DFsw3MKCo8&sig=DFkY573MOLURt_un9d4_eSAwsC4,BANANAS
A molecular marker-based linkage map of diploid bananas (Musa acuminata),"['S Faur', 'JL Noyer', 'JP Horry', 'F Bakry', 'C Lanaud']",1993,174,Theoretical and Applied,http://link.springer.com/article/10.1007/BF00215098,BANANAS
Random amplified polymorphic DNA (RAPD) detection of dwarf off-types in micropropagated Cavendish (Musa spp. AAA) bananas,"['OP Damasco', 'GC Graham', 'RJ Henry', 'SW Adkins']",1996,168,Plant Cell Reports,http://www.springerlink.com/index/W7377U7VK4512X85.pdf,BANANAS
