Title,Authors,Year,Citations,Journal,Link,Topic
"Breakfast habits, nutritional status, body weight, and academic performance in children and adolescents","['GC Rampersaud', 'MA Pereira', 'BL Girard']",2005,1330,Journal of the American,http://www.sciencedirect.com/science/article/pii/S0002822305001513,BREAKFAST
Entry deterrence in the ready-to-eat breakfast cereal industry,['R Schmalensee'],1978,1155,The Bell Journal of Economics,http://www.jstor.org/stable/3003584,BREAKFAST
BROMO'S,"['M SMITH', 'C HIS', 'ANE BREAKFAST', 'S VOLCANIC']",1980,62,,http://www.asiaphotostock.com/upload/BreakfastatBromos.pdf,BREAKFAST
As many as six impossible patents before breakfast: Property rights for business concepts and patent system reform,['RP Merges'],1999,830,Berkeley Technology Law Journal,http://www.jstor.org/stable/24115657,BREAKFAST
"Diet, breakfast, and academic performance in children","['RE Kleinman', 'S Hall', 'H Green']",2002,342,Annals of Nutrition and,http://www.karger.com/Article/Abstract/66399,BREAKFAST
Breakfast reduces declines in attention and memory over the morning in schoolchildren,"['KA Wesnes', 'C Pincock', 'D Richardson', 'G Helm', 'S Hails']",2003,307,Appetite,http://www.sciencedirect.com/science/article/pii/S0195666303001314,BREAKFAST
Breakfast skipping and health-compromising behaviors in adolescents and adults,"['A Keski-Rahkonen', 'J Kaprio', 'A Rissanen']",2003,517,European journal of,https://www.nature.com/ejcn/journal/v57/n7/abs/1601618a.html,BREAKFAST
Difference in the breakfast habits of overweight/obese and normal weight schoolchildren,"['RM Ortega', 'AM Requejo']",1998,188,journal for vitamin,http://europepmc.org/abstract/med/9565828,BREAKFAST
"Antioxidant content of whole grain breakfast cereals, fruits and vegetables","['HE Miller', 'F Rigelhof', 'L Marquart']",2000,520,Journal of the,http://www.tandfonline.com/doi/abs/10.1080/07315724.2000.10718966,BREAKFAST
Fast food consumption and breakfast skipping: predictors of weight gain from adolescence to adulthood in a nationally representative sample,"['HM Niemeier', 'HA Raynor', 'EE Lloyd-Richardson']",2006,501,Journal of adolescent,http://www.sciencedirect.com/science/article/pii/S1054139X06002643,BREAKFAST
School meals: types of foods offered to and consumed by children at lunch and breakfast,"['EM Condon', 'MK Crepinsek', 'MK Fox']",2009,236,Journal of the American Dietetic,http://www.sciencedirect.com/science/article/pii/S0002822308020555,BREAKFAST
Dietary intake of whole and refined grain breakfast cereals and weight gain in men,"['LA Bazzano', 'Y Song', 'V Bubes', 'CK Good']",2005,207,,http://onlinelibrary.wiley.com/doi/10.1038/oby.2005.240/full,BREAKFAST
"Nutrient contribution of breakfast, secular trends, and the role of ready-to-eat cereals: a review of data from the Bogalusa Heart Study","['TA Nicklas', ""CE O'Neil"", 'GS Berenson']",1998,192,The American journal of,http://ajcn.nutrition.org/content/67/4/757S.short,BREAKFAST
The relationship between breakfast habits and plasma cholesterol levels in schoolchildren,['K Resnicow'],1991,154,Journal of School Health,http://onlinelibrary.wiley.com/doi/10.1111/j.1746-1561.1991.tb03242.x/full,BREAKFAST
Breakfast consumption with and without vitamin-mineral supplement use favorably impacts daily nutrient intake of ninth-grade students,"['TA Nicklas', 'C Reger', 'L Myers', ""C O'Neil""]",2000,188,Journal of Adolescent Health,http://www.sciencedirect.com/science/article/pii/S1054139X00001130,BREAKFAST
"Whole-grain wheat breakfast cereal has a prebiotic effect on the human gut microbiota: a double-blind, placebo-controlled, crossover study","['A Costabile', 'A Klinder', 'F Fava', 'A Napolitano']",2008,235,British Journal of,https://www.cambridge.org/core/journals/british-journal-of-nutrition/article/whole-grain-wheat-breakfast-cereal-has-a-prebiotic-effect-on-the-human-gut-microbiota-a-double-blind-placebo-controlled-crossover-study/D497A73F0AFE6E2B0E6C15E87400B2CA,BREAKFAST
Understanding choice of milk and bread for breakfast among Swedish children aged 1115 years: an application of the Theory of Planned Behaviour,"['C Berg', 'I Jonsson', 'M Conner']",2000,169,Appetite,http://www.sciencedirect.com/science/article/pii/S0195666399902696,BREAKFAST
Effect of consumption of a ready-to-eat breakfast cereal containing inulin on the intestinal milieu and blood lipids in healthy male volunteers,"['F Brighenti', 'MC Casiraghi', 'E Canzi']",1999,212,European Journal of,https://www.nature.com/ejcn/journal/v53/n9/abs/1600841a.html,BREAKFAST
Accelerated starvation and the skipped breakfast in late normal pregnancy,"['BE Metzger', 'V Ravnikar', 'RA Vileisis', 'N Freinkel']",1982,196,Lancet,http://www.sciencedirect.com/science/article/pii/S0140673682917500,BREAKFAST
An experimental study of the effects of energy intake at breakfast on the test performance of 10-year-old children in school,"['DP Wyon', 'L Abrahamsson', 'M Jrtelius']",1997,173,International journal of,http://www.tandfonline.com/doi/abs/10.3109/09637489709006958,BREAKFAST
Trends in breakfast consumption for children in the United States from 1965-1991,"['AM Siega-Riz', 'BM Popkin', 'T Carson']",1998,476,The American journal of,http://ajcn.nutrition.org/content/67/4/748S.short,BREAKFAST
Reduction of plasma homocyst (e) ine levels by breakfast cereal fortified with folic acid in patients with coronary heart disease,"['MR Malinow', 'PB Duell', 'DL Hess']",1998,553,England Journal of,http://www.nejm.org/doi/full/10.1056/nejm199804093381501,BREAKFAST
The effect of breakfast type on total daily energy intake and body mass index: results from the Third National Health and Nutrition Examination Survey (NHANES III),"['S Cho', 'M Dietrich', 'CJP Brown', 'CA Clark']",2003,439,Journal of the American,http://www.tandfonline.com/doi/abs/10.1080/07315724.2003.10719307,BREAKFAST
Longitudinal study of skipping breakfast and weight change in adolescents,"['CS Berkey', 'HRH Rockett', 'MW Gillman']",2003,459,International journal of,https://www.nature.com/ijo/journal/v27/n10/abs/0802402a.html,BREAKFAST
Longterm weight loss and breakfast in subjects in the National Weight Control Registry,"['HR Wyatt', 'GK Grunwald', 'CL Mosca', 'ML Klem']",2002,371,,http://onlinelibrary.wiley.com/doi/10.1038/oby.2002.13/full,BREAKFAST
Breakfast eating and weight change in a 5-year prospective analysis of adolescents: Project EAT (Eating Among Teens),"['MT Timlin', 'MA Pereira', 'M Story']",2008,368,Pediatrics,http://pediatrics.aappublications.org/content/121/3/e638?version=meter+at+null&module=meter-Links&pgtype=article&contentId=&mediaId=&referrer=&priority=true&action=click&contentCollection=meter-links-click,BREAKFAST
Breakfast at Spiro's: Dramaturgy and dominance,['M Rosen'],1985,401,Journal of Management,http://journals.sagepub.com/doi/abs/10.1177/014920638501100205,BREAKFAST
Breakfast and cognition: an integrative summary,"['E Pollitt', 'R Mathews']",1998,377,The American journal of clinical nutrition,http://ajcn.nutrition.org/content/67/4/804S.short,BREAKFAST
The role of breakfast in the treatment of obesity: a randomized clinical trial,"['DG Schlundt', 'JO Hill', 'T Sbrocco']",1992,349,The American Journal,http://ajcn.nutrition.org/content/55/3/645.short,BREAKFAST
"Breakfast, blood glucose, and cognition","['D Benton', 'PY Parker']",1998,345,The American journal of clinical nutrition,http://ajcn.nutrition.org/content/67/4/772S.short,BREAKFAST
