Title,Authors,Year,Citations,Journal,Link,Topic
Consumer health informatics,"['D Lewis', 'BL Chang', 'CP Friedman']",2005,99,Consumer Health Informatics,http://link.springer.com/content/pdf/10.1007/0-387-27652-1.pdf#page=19,CONSUMER HEALTH INFORMATICS
Recent advances: Consumer health informatics,['G Eysenbach'],2000,851,BMJ: British Medical Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1127483/,CONSUMER HEALTH INFORMATICS
Consumer health informatics,['J Ho'],2010,0,Studies in health technology and informatics,http://europepmc.org/abstract/med/20407161,CONSUMER HEALTH INFORMATICS
Evidence-based patient choice and consumer health informatics in the Internet age,"['G Eysenbach', 'AR Jadad']",2001,272,Journal of medical Internet research,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1761898/,CONSUMER HEALTH INFORMATICS
"CHESS: 10 years of research and development in consumer health informatics for broad populations, including the underserved","['DH Gustafson', 'RP Hawkins', 'EW Boberg']",2002,249,of medical informatics,http://www.sciencedirect.com/science/article/pii/S1386505602000485,CONSUMER HEALTH INFORMATICS
Consumer health informatics,"['R Jones', 'B Gann', 'J Murphy', 'M Duman']",1998,0,,http://discovery.ucl.ac.uk/101688/,CONSUMER HEALTH INFORMATICS
Consumer Health Informatics,"['DK Mayer', 'SM Hubbard']",2002,0,Cancer Informatics,https://link.springer.com/chapter/10.1007/978-1-4613-0063-2_29,CONSUMER HEALTH INFORMATICS
Impact of consumer health informatics applications,"['MC Gibbons', 'RF Wilson', 'L Samal', 'CU Lehmann']",2009,94,,https://www.ncbi.nlm.nih.gov/books/NBK32638/,CONSUMER HEALTH INFORMATICS
Consumer health informatics,"['G Eysenbach', 'H Jimison', 'R Kukafka', 'D Lewis', 'PZ Stavri']",2005,0,,http://link.springer.com/content/pdf/10.1007/0-387-27652-1.pdf,CONSUMER HEALTH INFORMATICS
The role of e-health and consumer health informatics for evidence-based patient choice in the 21st century,"['G Eysenbach', 'TL Diepgen']",2001,128,Clinics in dermatology,http://www.cidjournal.com/article/S0738-081X(00)00202-9/abstract,CONSUMER HEALTH INFORMATICS
Rating the raters: legal exposure of trustmark authorities in the context of consumer health informatics,['NP Terry'],2000,22,Journal of Medical Internet Research,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1761856/,CONSUMER HEALTH INFORMATICS
[DOC][DOC] Health informatics and community health: support for patients as collaborators in care,['PF Brennan'],1999,68,Methods of information in medicine,http://healthsystems.engr.wisc.edu/heartcare/documents/Manchester_paper_5-27-99.doc,CONSUMER HEALTH INFORMATICS
Emergence of a new consumer health informatics framework: introducing the healthcare organization,"['P Reid', 'EM Borycki']",2011,16,ITCH,https://books.google.com/books?hl=en&lr=&id=NsbaN_fXRe4C&oi=fnd&pg=PA353&dq=CONSUMER+HEALTH+INFORMATICS&ots=Y-nqP22xdI&sig=n6qopTViTiyE9zYPdKAcopuFJ4o,CONSUMER HEALTH INFORMATICS
Positive attitudes and failed queries: an exploration of the conundrums of consumer health information retrieval,"['QT Zeng', 'S Kogan', 'RM Plovnick', 'J Crowell']",2004,106,of medical informatics,http://www.sciencedirect.com/science/article/pii/S1386505603002211,CONSUMER HEALTH INFORMATICS
"Commercial off-the-shelf consumer health informatics interventions: recommendations for their design, evaluation and redesign","['JL Marquard', 'T Zayas-Cabn']",2011,22,the American Medical Informatics,https://academic.oup.com/jamia/article-abstract/19/1/137/732855,CONSUMER HEALTH INFORMATICS
Developing informatics tools and strategies for consumer-centered health communication,"['A Keselman', 'R Logan', 'CA Smith']",2008,120,Medical Informatics,https://academic.oup.com/jamia/article-abstract/15/4/473/732500,CONSUMER HEALTH INFORMATICS
Consumer health informatics: an overview of patient perspectives on health information needs,['A Dey'],2004,18,Health Information Management,http://journals.sagepub.com/doi/abs/10.1177/183335830403300404,CONSUMER HEALTH INFORMATICS
Consumer health information seeking as hypothesis testing,"['A Keselman', 'AC Browne']",2008,127,Medical Informatics,https://academic.oup.com/jamia/article-abstract/15/4/484/732981,CONSUMER HEALTH INFORMATICS
Health informatics: a systems perspective,"['GD Brown', 'TB Patrick', 'KS Pasupathy']",2013,15,,,CONSUMER HEALTH INFORMATICS
Current issues in health care informatics,"['RM Mullner', 'K Chung']",2006,23,Journal of Medical Systems,http://www.springerlink.com/index/W7H1727GXGNVG568.pdf,CONSUMER HEALTH INFORMATICS
Health@ Home: the work of health information management in the household (HIMH): implications for consumer health informatics (CHI) innovations,"['A Moen', 'PF Brennan']",2005,137,of the American Medical Informatics,https://academic.oup.com/jamia/article-abstract/12/6/648/692739,CONSUMER HEALTH INFORMATICS
Consumer Health Informatics,['T Wetter'],2012,0,,http://link.springer.com/content/pdf/10.1007/978-3-319-19590-2.pdf,CONSUMER HEALTH INFORMATICS
Blog-based applications and health information: two case studies that illustrate important questions for Consumer Health Informatics (CHI) research,['SA Adams'],2010,93,International journal of medical informatics,http://www.sciencedirect.com/science/article/pii/S1386505608001032,CONSUMER HEALTH INFORMATICS
Usability and accessibility in consumer health informatics: current trends and future challenges,"['L Goldberg', 'B Lide', 'S Lowry', 'HA Massett']",2011,80,American journal of,http://www.sciencedirect.com/science/article/pii/S0749379711000869,CONSUMER HEALTH INFORMATICS
Consumer health informatics,['T Ferguson'],1995,75,The Healthcare Forum Journal,https://www.ncbi.nlm.nih.gov/pubmed/10154286,CONSUMER HEALTH INFORMATICS
Current challenge in consumer health informatics: Bridging the gap between access to information and information understanding,"['L Alpay', 'J Verhoef', 'B Xie', ""D Te'eni""]",2009,55,informatics insights,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2858407/,CONSUMER HEALTH INFORMATICS
Transforming consumer health informatics through a patient work framework: connecting patients to context,"['RS Valdez', 'RJ Holden', 'LL Novak']",2014,61,Medical Informatics,https://academic.oup.com/jamia/article-abstract/22/1/2/833190,CONSUMER HEALTH INFORMATICS
"CHESS: ten years of research and development in consumer health informatics for broad populations, including the underserved","['DH Gustafson', 'RP Hawkins', 'EW Boberg']",2001,48,and informatics,,CONSUMER HEALTH INFORMATICS
Exploring and developing consumer health vocabularies,"['QT Zeng', 'T Tse']",2006,244,Journal of the American Medical Informatics,https://academic.oup.com/jamia/article-abstract/13/1/24/781148,CONSUMER HEALTH INFORMATICS
The potential of consumer health informatics,"['TK Houston', 'HE Ehrenberger']",2001,43,Seminars in oncology nursing,http://www.sciencedirect.com/science/article/pii/S0749208101800309,CONSUMER HEALTH INFORMATICS
