Title,Authors,Year,Citations,Journal,Link,Topic
Policing domestic violence: Experiments and dilemmas,"['LW Sherman', 'JD Schmidt', 'DP Rogan']",1992,888,,http://psycnet.apa.org/psycinfo/1992-98439-000,DOMESTIC VIOLENCE
Profiling domestic violence: A multi-country study,"['S Kishor', 'K Johnson']",2004,548,,http://www.popline.org/node/235024,DOMESTIC VIOLENCE
Prevalence of intimate partner violence: findings from the WHO multi-country study on women's health and domestic violence,"['C Garcia-Moreno', 'HAFM Jansen', 'M Ellsberg', 'L Heise']",2006,2031,The lancet,http://www.sciencedirect.com/science/article/pii/S0140673606695238,DOMESTIC VIOLENCE
Child witnesses to domestic violence: a meta-analytic review,"['KM Kitzmann', 'NK Gaylord', 'AR Holt', 'ED Kenny']",2003,1336,,http://psycnet.apa.org/journals/ccp/71/2/339/,DOMESTIC VIOLENCE
Research on domestic violence in the 1990s: Making distinctions,"['MP Johnson', 'KJ Ferraro']",2000,1355,Journal of Marriage and Family,http://onlinelibrary.wiley.com/doi/10.1111/j.1741-3737.2000.00948.x/full,DOMESTIC VIOLENCE
Does batterers' treatment work? A meta-analytic review of domestic violence treatment,"['JC Babcock', 'CE Green', 'C Robie']",2004,1318,Clinical psychology review,http://www.sciencedirect.com/science/article/pii/S0272735803001119,DOMESTIC VIOLENCE
Primary care physicians' response to domestic violence: opening Pandora's box,"['NK Sugg', 'T Inui']",1992,817,Jama,http://jama.jamanetwork.com/article.aspx?articleid=397880,DOMESTIC VIOLENCE
Children's witnessing of adult domestic violence,['JL Edleson'],1999,1094,Journal of interpersonal Violence,http://journals.sagepub.com/doi/abs/10.1177/088626099014008004,DOMESTIC VIOLENCE
Domestic violence against women: incidence and prevalence in an emergency department population,"['J Abbott', 'R Johnson', 'J Koziol-McLain']",1995,791,Jama,http://jama.jamanetwork.com/article.aspx?articleid=388819,DOMESTIC VIOLENCE
The battering syndrome: prevalence and clinical characteristics of domestic violence in primary care internal medicine practices,"['J McCauley', 'DE Kern', 'K Kolodner', 'L Dill']",1995,893,Annals of internal,http://annals.org/aim/article/709205/battering-syndrome-prevalence-clinical-characteristics-domestic-violence-primary-care-internal,DOMESTIC VIOLENCE
"Domestic violence in the lives of women receiving welfare: Mental health, substance dependence, and economic well-being","['RM Tolman', 'D Rosen']",2001,365,Violence against women,http://journals.sagepub.com/doi/abs/10.1177/1077801201007002003,DOMESTIC VIOLENCE
Researching domestic violence against women: methodological and ethical considerations,"['M Ellsberg', 'L Heise', 'R Pena', 'S Agurto']",2001,497,Studies in family,http://onlinelibrary.wiley.com/doi/10.1111/j.1728-4465.2001.00001.x/full,DOMESTIC VIOLENCE
Women's experiences with domestic violence and their attitudes and expectations regarding medical care of abuse victims,"['PV Caralis', 'R Musialowski']",1997,227,Southern medical journal,http://europepmc.org/abstract/med/9386045,DOMESTIC VIOLENCE
"Strengthening domestic violence theories: Intersections of race, class, sexual orientation, and gender",['M Bograd'],1999,407,Journal of marital and family therapy,http://onlinelibrary.wiley.com/doi/10.1111/j.1752-0606.1999.tb00248.x/full,DOMESTIC VIOLENCE
Domestic violence in rural Uganda: evidence from a community-based study,"['MA Koenig', 'T Lutalo', 'F Zhao']",2003,370,Bulletin of the World,http://www.scielosp.org/scielo.php?pid=S0042-96862003000100011&script=sci_arttext&tlng=es,DOMESTIC VIOLENCE
Prevalence of domestic violence in the United States,"['S Wilt', 'S Olson']",1995,238,Journal of the American Medical Women's,http://europepmc.org/abstract/med/8683026,DOMESTIC VIOLENCE
Individual and contextual determinants of domestic violence in North India,"['MA Koenig', 'R Stephenson']",2006,388,journal of public,http://ajph.aphapublications.org/doi/abs/10.2105/AJPH.2004.050872,DOMESTIC VIOLENCE
Prevalence of children's exposure to domestic violence and child maltreatment: Implications for prevention and intervention,['JD Osofsky'],2003,377,Clinical child and family psychology review,http://www.springerlink.com/index/L36640Q553873K78.pdf,DOMESTIC VIOLENCE
