Title,Authors,Year,Citations,Journal,Link,Topic
De novo mutations in epileptic encephalopathies,"['E Phenome', 'Epi4K Consortium']",2013,597,Nature,https://www.nature.com/nature/journal/v501/n7466/abs/nature12439.html,EPILEPSY
Epilepsy and the functional anatomy of the human brain,"['W Penfield', 'H Jasper']",1954,4781,,http://psycnet.apa.org/psycinfo/1955-01377-000,EPILEPSY
Epilepsy and related disorders,['WG Lennox'],1960,1261,,,EPILEPSY
Epileptic seizures and epilepsy: definitions proposed by the International League Against Epilepsy (ILAE) and the International Bureau for Epilepsy (IBE),"['RS Fisher', 'WE Boas', 'W Blume', 'C Elger', 'P Genton']",2005,2642,,http://onlinelibrary.wiley.com/doi/10.1111/j.0013-9580.2005.66104.x/full,EPILEPSY
"Epilepsy: frequency, causes and consequences","['WA Hauser', 'DC Hesdorffer']",1990,887,,,EPILEPSY
Epilepsy and cerebral localization,"['W Penfield', 'TC Erickson']",1941,669,,http://psycnet.apa.org/psycinfo/1942-04045-000,EPILEPSY
Predictors of epilepsy in children who have experienced febrile seizures,"['KB Nelson', 'JH Ellenberg']",1976,728,New England Journal of Medicine,http://www.nejm.org/doi/full/10.1056/NEJM197611042951901,EPILEPSY
A proposed diagnostic scheme for people with epileptic seizures and with epilepsy: report of the ILAE Task Force on Classification and Terminology,['J Engel'],2001,2247,Epilepsia,http://onlinelibrary.wiley.com/doi/10.1046/j.1528-1157.2001.10401.x/full,EPILEPSY
Early identification of refractory epilepsy,"['P Kwan', 'MJ Brodie']",2000,3564,New England Journal of Medicine,http://www.nejm.org/doi/full/10.1056/NEJM200002033420503,EPILEPSY
Epilepsy and the temporal lobes,"['JH Margerison', 'JAN Corsellis']",1966,1221,Brain,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.922.6538&rep=rep1&type=pdf,EPILEPSY
ILAE official report: a practical clinical definition of epilepsy,"['RS Fisher', 'C Acevedo', 'A Arzimanoglou', 'A Bogacz']",2014,1005,,http://onlinelibrary.wiley.com/doi/10.1111/epi.12550/full,EPILEPSY
Generalized epilepsy with febrile seizures plus. A genetic disorder with heterogeneous clinical phenotypes,"['IE Scheffer', 'SF Berkovic']",1997,797,Brain: a journal of neurology,https://academic.oup.com/brain/article-abstract/120/3/479/271828,EPILEPSY
The role of the limbic system in experiential phenomena of temporal lobe epilepsy,"['P Gloor', 'A Olivier', 'LF Quesney']",1982,903,Annals of,http://onlinelibrary.wiley.com/doi/10.1002/ana.410120203/full,EPILEPSY
Localization of a gene for autosomal dominant nocturnal frontal lobe epilepsy to chromosome 20q13. 2,"['HA Phillips', 'IE Scheffer', 'SF Berkovic', 'GE Hollway']",1995,344,Nature,https://www.nature.com/articles/ng0595-117,EPILEPSY
Epilepsy after non-missile head injuries,['B Jennett'],1975,357,,,EPILEPSY
"Multicentre, double-blind, randomised comparison between lamotrigine and carbamazepine in elderly patients with newly diagnosed epilepsy","['MJ Brodie', 'PW Overstall', 'L Giorgi']",1999,486,Epilepsy research,http://www.sciencedirect.com/science/article/pii/S092012119900039X,EPILEPSY
Granule cell dispersion in the dentate gyrus of humans with temporal lobe epilepsy,['CR Houser'],1990,457,Brain research,http://www.sciencedirect.com/science/article/pii/000689939091601C,EPILEPSY
"Memory function in focal epilepsy: a comparison of non-surgical, unilateral temporal lobe and frontal lobe samples","['RC Delaney', 'AJ Rosen', 'RH Mattson', 'RA Novelly']",1980,354,Cortex,http://www.sciencedirect.com/science/article/pii/S0010945280800268,EPILEPSY
Quality of life of people with epilepsy: a European study,"['GA Baker', 'A Jacoby', 'D Buck', 'C Stalgis', 'D Monnet']",1997,724,Epilepsia,http://onlinelibrary.wiley.com/doi/10.1111/j.1528-1157.1997.tb01128.x/full,EPILEPSY
", excitability, and inhibition after experimental status epilepticus in the rat: the dormant basket cell hypothesis and its possible relevance to temporal lobe epilepsy",['RS Sloviter'],1991,649,Hippocampus,http://onlinelibrary.wiley.com/doi/10.1002/hipo.450010106/full,EPILEPSY
Hippocampal interneuron loss and plasticity in human temporal lobe epilepsy,"['NC De Lanerolle', 'JH Kim', 'RJ Robbins', 'DD Spencer']",1989,793,Brain research,http://www.sciencedirect.com/science/article/pii/0006899389902345,EPILEPSY
"Prevalence of epilepsy in Rochester, Minnesota: 19401980","['WA Hauser', 'JF Annegers', 'LT Kurland']",1991,935,Epilepsia,http://onlinelibrary.wiley.com/doi/10.1111/j.1528-1157.1991.tb04675.x/full,EPILEPSY
Remission of seizures and relapse in patients with epilepsy,"['JF Annegers', 'WA Hauser', 'LR Elveback']",1979,665,Epilepsia,http://onlinelibrary.wiley.com/doi/10.1111/j.1528-1157.1979.tb04857.x/full,EPILEPSY
"Incidence of epilepsy and unprovoked seizures in Rochester, Minnesota: 19351984","['WA Hauser', 'JF Annegers', 'LT Kurland']",1993,1893,Epilepsia,http://onlinelibrary.wiley.com/doi/10.1111/j.1528-1157.1993.tb02586.x/full,EPILEPSY
A missense mutation in the neuronal nicotinic acetylcholine receptor 4 subunit is associated with autosomal dominant nocturnal frontal lobe epilepsy,"['OK Steinlein', 'JC Mulley', 'P Propping', 'RH Wallace']",1995,1038,Nature,https://www.nature.com/articles/ng1095-201,EPILEPSY
"A randomized, controlled trial of surgery for temporal-lobe epilepsy","['S Wiebe', 'WT Blume', 'JP Girvin']",2001,2277,New England Journal of,http://www.nejm.org/doi/full/10.1056/nejm200108023450501,EPILEPSY
Decreased hippocampal inhibition and a selective loss of interneurons in experimental epilepsy,['RS Sloviter'],1987,991,Science,http://go.galegroup.com/ps/i.do?id=GALE%7CA4728684&sid=googleScholar&v=2.1&it=r&linkaccess=fulltext&issn=00368075&p=AONE&sw=w,EPILEPSY
