Title,Authors,Year,Citations,Journal,Link,Topic
Travel writing and transculturation,['I Eyes'],1992,519,,,EYES
"Familial multifocal fibrosclerosis: findings suggesting that retroperitoneal fibrosis, mediastinal fibrosis, sclerosing cholangitis, Riedel's thyroiditis, and pseudotumor of","['DE COMINGS', 'KB Skubi', 'J Van Eyes']",1967,464,Annals of Internal,http://annals.org/aim/fullarticle/681352/familial-multifocal-fibrosclerosis-findings-suggesting-retroperitoneal-fibrosis-mediastinal-fibrosis-sclerosing,EYES
Zora Neale Hurston's Their Eyes Were Watching God,['H Bloom'],2008,2268,,https://books.google.com/books?hl=en&lr=&id=WBNuLxTzzwMC&oi=fnd&pg=PP1&dq=EYES&ots=KByPoWO90Y&sig=bsUUBq1MvLak1iivWqCrM4WA9ZU,EYES
Imperial eyes: Travel writing and transculturation,['ML Pratt'],2007,1262,,https://books.google.com/books?hl=en&lr=&id=hot8AgAAQBAJ&oi=fnd&pg=PP1&dq=EYES&ots=QARiiHEIGv&sig=tXUqRE7h7ZSmOt-BV2p73qwXGv4,EYES
Under Western eyes: Feminist scholarship and colonial discourses,['CT Mohanty'],1988,6004,Feminist review,http://www.jstor.org/stable/1395054,EYES
Rubber hands' feel'touch that eyes see,"['M Botvinick', 'J Cohen']",1998,2470,Nature,https://www.nature.com/articles/35784.pdf?origin=ppub,EYES
"The Reading the Mind in the Eyes Test revised version: a study with normal adults, and adults with Asperger syndrome or high-functioning autism","['S Baron-Cohen', 'S Wheelwright', 'J Hill']",2001,3489,The Journal of Child,https://www.cambridge.org/core/journals/journal-of-child-psychology-and-psychiatry-and-allied-disciplines/article/the-reading-the-mind-in-the-eyes-test-revised-version-a-study-with-normal-adults-and-adults-with-asperger-syndrome-or-high-functioning-autism/269621E672E0CD4CD20C33582130A8FB,EYES
The eyes have it: A task by data type taxonomy for information visualizations,['B Shneiderman'],1996,4571,Visual Languages,http://ieeexplore.ieee.org/abstract/document/545307/,EYES
Downcast eyes: The denigration of vision in twentieth-century French thought,['M Jay'],1993,3637,,https://books.google.com/books?hl=en&lr=&id=C_vSr9mixnkC&oi=fnd&pg=PP1&dq=EYES&ots=SFrWeQsq7K&sig=YAxaSs9VDqOVHcjNK1tc2s-3Y9Q,EYES
"Movements of the Eyes, 2nd Rev",['RHS Carpenter'],1988,1923,,http://doi.apa.org/psycinfo/1988-98287-000,EYES
Biologically inspired artificial compound eyes,"['KH Jeong', 'J Kim', 'LP Lee']",2006,455,science,http://science.sciencemag.org/content/312/5773/557.short,EYES
Descemet's stripping with endothelial keratoplasty in 50 eyes: a refractive neutral corneal transplant,"['FW Price', 'MO Price']",2005,540,Journal of Refractive Surgery,https://www.healio.com/ophthalmology/journals/jrs/2005-7-21-4/%7Bd66257e8-200a-450f-a54f-5ce4a454f7d3%7D/descemets-stripping-with-endothelial-keratoplasty-in-50-eyes-a-refractive-neutral-corneal-transplant,EYES
Comparison of optic nerve imaging methods to distinguish normal eyes from those with glaucoma,"['MJ Greaney', 'DC Hoffman']",2002,489,& visual science,http://iovs.arvojournals.org/article.aspx?articleid=2122880,EYES
Through Navajo Eyes an Exploration in Film Communication and Anthropology,"['S Worth', 'J Adair']",1972,590,,https://philpapers.org/rec/WORTNE,EYES
Human visual pigments: microspectrophotometric results from the eyes of seven persons,"['HJA Dartnall', 'JK Bowmaker']",1983,495,of the Royal,http://rspb.royalsocietypublishing.org/content/220/1218/115.short,EYES
Foveal retinoschisis and retinal detachment in severely myopic eyes with posterior staphyloma,"['M Takano', 'S Kishi']",1999,336,American journal of ophthalmology,http://www.sciencedirect.com/science/article/pii/S0002939499001865,EYES
