Title,Authors,Year,Citations,Journal,Link,Topic
Deficits in strategy application following frontal lobe damage in man,"['TIM Shallice', 'PW Burgess']",1991,2040,Brain,https://academic.oup.com/brain/article-abstract/114/2/727/263651,FRONTAL LOBE DAMAGE
Face and voice expression identification in patients with emotional and behavioural changes following ventral frontal lobe damage,"['J Hornak', 'ET Rolls', 'D Wade']",1996,760,Neuropsychologia,http://www.sciencedirect.com/science/article/pii/0028393295001069,FRONTAL LOBE DAMAGE
Emotion-related learning in patients with social and emotional changes associated with frontal lobe damage,"['ET Rolls', 'J Hornak', 'D Wade', 'J McGrath']",1994,1004,Journal of Neurology,http://jnnp.bmj.com/content/57/12/1518.short,FRONTAL LOBE DAMAGE
Wisconsin Card Sorting Test performance as a measure of frontal lobe damage,"['SW Anderson', 'H Damasio', 'RD Jones']",1991,779,Journal of Clinical and,http://www.tandfonline.com/doi/abs/10.1080/01688639108405107,FRONTAL LOBE DAMAGE
The unity and diversity of executive functions and their contributions to complex frontal lobe tasks: A latent variable analysis,"['A Miyake', 'NP Friedman', 'MJ Emerson', 'AH Witzki']",2000,8312,Cognitive,http://www.sciencedirect.com/science/article/pii/S001002859990734X,FRONTAL LOBE DAMAGE
The frontal lobes,"['DT Stuss', 'DF Benson']",1986,3188,,,FRONTAL LOBE DAMAGE
Contrasting mechanisms of impaired attentional set-shifting in patients with frontal lobe damage or Parkinson's disease,"['AM Owen', 'AC Roberts', 'JR Hodges', 'TW Robbins']",1993,705,Brain,https://academic.oup.com/brain/article-abstract/116/5/1159/398886,FRONTAL LOBE DAMAGE
Impaired use of organizational strategies in free recall following frontal lobe damage,"['FB Gershberg', 'AP Shimamura']",1995,395,Neuropsychologia,http://www.sciencedirect.com/science/article/pii/002839329500103A,FRONTAL LOBE DAMAGE
Different underlying impairments in decision-making following ventromedial and dorsolateral frontal lobe damage in humans,"['LK Fellows', 'MJ Farah']",2004,625,Cerebral cortex,https://academic.oup.com/cercor/article-abstract/15/1/58/282755,FRONTAL LOBE DAMAGE
What is the role of frontal lobe damage in memory disorders?,"['AP Shimamura', 'JS Janowsky', 'LR Squire']",1991,324,,http://doi.apa.org/psycinfo/1992-97203-009,FRONTAL LOBE DAMAGE
"Visuo-spatial short-term recognition memory and learning after temporal lobe excisions, frontal lobe excisions or amygdalo-hippocampectomy in man","['AM Owen', 'BJ Sahakian', 'J Semple', 'CE Polkey']",1995,520,Neuropsychologia,http://www.sciencedirect.com/science/article/pii/002839329400098A,FRONTAL LOBE DAMAGE
"Memory, amnesia, and frontal lobe dysfunction",['DL Schacter'],1987,420,Psychobiology,http://link.springer.com/article/10.3758/BF03327261,FRONTAL LOBE DAMAGE
Frontal-lobe contribution to recency judgements,"['B Milner', 'P Corsi', 'G Leonard']",1991,399,Neuropsychologia,http://www.sciencedirect.com/science/article/pii/002839329190013X,FRONTAL LOBE DAMAGE
Frontal lobe dysfunction in pathological gambling patients,"['P Cavedini', 'G Riboldi', 'R Keller', ""A D'Annucci""]",2002,451,Biological,http://www.sciencedirect.com/science/article/pii/S0006322301012276,FRONTAL LOBE DAMAGE
The effects of frontal lobe damage on everyday problem solving,"['M Dimitrov', 'J Grafman', 'C Hollnagel']",1996,67,Cortex,http://www.sciencedirect.com/science/article/pii/S0010945296800578,FRONTAL LOBE DAMAGE
Effects of different brain lesions on card sorting: The role of the frontal lobes,['B Milner'],1963,2135,Archives of neurology,http://archneur.jamanetwork.com/article.aspx?articleid=564510,FRONTAL LOBE DAMAGE
Impaired retrieval from remote memory in patients with frontal lobe damage,"['JA Mangels', 'FB Gershberg', 'AP Shimamura']",1996,94,,http://psycnet.apa.org/journals/neu/10/1/32/,FRONTAL LOBE DAMAGE
Organizational strategies with unilateral or bilateral frontal lobe injury in word learning tasks,"['DT Stuss', 'MP Alexander', 'CL Palumbo', 'L Buckle']",1994,356,,http://psycnet.apa.org/journals/neu/8/3/355/,FRONTAL LOBE DAMAGE
Impaired concentration due to frontal lobe damage from two distinct lesion sites,"['MP Alexander', 'DT Stuss', 'T Shallice', 'TW Picton']",2005,95,Neurology,http://www.neurology.org/content/65/4/572.short,FRONTAL LOBE DAMAGE
"Cognitive deficits in progressive supranuclear palsy, Parkinson's disease, and multiple system atrophy in tests sensitive to frontal lobe dysfunction","['TW Robbins', 'M James', 'AM Owen', 'KW Lange']",1994,295,Journal of Neurology,http://jnnp.bmj.com/content/57/1/79.short,FRONTAL LOBE DAMAGE
Cognitive impairment following frontal lobe damage and its relevance to human amnesia,"['JS Janowsky', 'AP Shimamura', 'M Kritchevsky']",1989,585,Behavioral,http://psycnet.apa.org/psycinfo/1989-40026-001,FRONTAL LOBE DAMAGE
Disorganisation of behaviour after frontal lobe damage,['J Duncan'],1986,568,Cognitive Neuropsychology,http://www.tandfonline.com/doi/abs/10.1080/02643298608253360,FRONTAL LOBE DAMAGE
Frontal lobe damage produces episodic memory impairment,"['MA Wheeler', 'DT Stuss', 'E Tulving']",1995,422,Journal of the International,https://www.cambridge.org/core/journals/journal-of-the-international-neuropsychological-society/article/frontal-lobe-damage-produces-episodic-memory-impairment/A0F00F48393B398336E8C0666635C4F6,FRONTAL LOBE DAMAGE
A unified account of cognitive impairments following frontal lobe damage: The role of working memory in complex organized behavior,"['DY Kimberg', 'MJ Farah']",1993,539,Journal of Experimental Psychology General,http://doi.apa.org/journals/xge/122/4/411.pdf,FRONTAL LOBE DAMAGE
Planning and spatial working memory following frontal lobe lesions in man,"['AM Owen', 'JJ Downes', 'BJ Sahakian', 'CE Polkey']",1990,1207,Neuropsychologia,http://www.sciencedirect.com/science/article/pii/002839329090137D,FRONTAL LOBE DAMAGE
The comportmental learning disabilities of early frontal lobe damage,"['BH Price', 'KR Daffner', 'RM Stowe', 'MM Mesulam']",1990,318,Brain,https://academic.oup.com/brain/article-abstract/113/5/1383/267629,FRONTAL LOBE DAMAGE
Componential analysis of problem-solving ability: Performance of patients with frontal lobe damage and amnesic patients on a new sorting test,"['DC Delis', 'LR Squire', 'A Bihrle', 'P Massman']",1992,204,Neuropsychologia,http://www.sciencedirect.com/science/article/pii/002839329290039O,FRONTAL LOBE DAMAGE
The impact of extensive medial frontal lobe damage on 'Theory of Mind'and cognition,"['CM Bird', 'F Castelli', 'O Malik', 'U Frith', 'M Husain']",2004,397,Brain,https://academic.oup.com/brain/article-abstract/127/4/914/398217,FRONTAL LOBE DAMAGE
Developmental consequences of childhood frontal lobe damage,"['PJ Eslinger', 'LM Grattan', 'H Damasio']",1992,267,Archives of,http://jamanetwork.com/data/Journals/NEUR/16301/archneur_49_7_021.pdf,FRONTAL LOBE DAMAGE
The contributions of lesion laterality and lesion volume to decision-making impairment following frontal lobe damage,"['L Clark', 'F Manes', 'N Antoun', 'BJ Sahakian', 'TW Robbins']",2003,321,Neuropsychologia,http://www.sciencedirect.com/science/article/pii/S0028393203000812,FRONTAL LOBE DAMAGE
