Title,Authors,Year,Citations,Journal,Link,Topic
Effects of gun seizures on gun violence:Hot spots patrol in Kansas City,"['LW Sherman', 'DP Rogan']",1995,301,Justice Quarterly,http://www.tandfonline.com/doi/abs/10.1080/07418829500096241,GUN VIOLENCE
Gun violence: The real costs,"['PJ Cook', 'J Ludwig']",2000,363,,https://books.google.com/books?hl=en&lr=&id=JXg8DwAAQBAJ&oi=fnd&pg=PR13&dq=GUN+VIOLENCE&ots=0VwJMSRPOz&sig=LhFFKZqLYn-NPYbpKM_9R6DAE_4,GUN VIOLENCE
Reducing gun violence: the boston gun project's operation ceasefire,"['DM Kennedy', 'AA Braga', 'AM Piehl', 'EJ Waring']",2001,130,,https://www.ncjrs.gov/App/AbstractDB/AbstractDBDetails.aspx?id=188741,GUN VIOLENCE
"The concentration and stability of gun violence at micro places in Boston, 19802008","['AA Braga', 'AV Papachristos', 'DM Hureau']",2010,197,Journal of Quantitative,http://link.springer.com/article/10.1007/s10940-009-9082-x,GUN VIOLENCE
Linking gun availability to youth gun violence,"['A Blumstein', 'D Cork']",1996,171,Law and Contemporary Problems,http://www.jstor.org/stable/1192207,GUN VIOLENCE
Gun violence and masculinity in contemporary South Africa,['J Cock'],2001,87,Changing men in southern Africa,,GUN VIOLENCE
The benefits of reducing gun violence: Evidence from contingent-valuation survey data,"['J Ludwig', 'PJ Cook']",2001,131,Journal of risk and Uncertainty,http://link.springer.com/article/10.1023/A:1011144500928,GUN VIOLENCE
Evaluating gun policy: Effects on crime and violence,"['J Ludwig', 'PJ Cook']",2004,74,,https://books.google.com/books?hl=en&lr=&id=nChWOCgeX2oC&oi=fnd&pg=PR7&dq=GUN+VIOLENCE&ots=LPwJBVse9C&sig=PtykG4Q7-6lOn31Vg9bZx8HTBaU,GUN VIOLENCE
Reducing gun violence: Results from an intervention in East Los Angeles,"['G Tita', 'KJ Riley', 'G Ridgeway', 'CA Grammich']",2011,142,,https://books.google.com/books?hl=en&lr=&id=o6sdfTc0ZDMC&oi=fnd&pg=PP1&dq=GUN+VIOLENCE&ots=cxjcopNfVq&sig=PPkocFfrjaXs3Z8PSJaj8DTSvQM,GUN VIOLENCE
Promising strategies to reduce gun violence,"['S Bilchik', 'G Violence']",1999,18,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.26.2285,GUN VIOLENCE
The epidemic of youth gun violence,['P Cook'],1997,24,Persp. on Crime & Just.,http://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/pcjls2&section=9,GUN VIOLENCE
Willingnesstopay for crime control programs,"['MA Cohen', 'RT Rust', 'S Steen', 'ST Tidd']",2004,335,Criminology,http://onlinelibrary.wiley.com/doi/10.1111/j.1745-9125.2004.tb00514.x/full,GUN VIOLENCE
Cure violence: a public health model to reduce gun violence,"['JA Butts', 'CG Roman', 'L Bostwick']",2015,37,Annual review of public,http://www.annualreviews.org/doi/abs/10.1146/annurev-publhealth-031914-122509,GUN VIOLENCE
Getting the facts straight about gun violence and mental illness: putting compassion before fear,"['CE Fisher', 'JA Lieberman']",2013,17,Annals of internal medicine,http://annals.org/aim/fullarticle/1707738,GUN VIOLENCE
Ending the silence on gun violence,"['DA Brent', 'MJ Miller', 'R Loeber', 'EP Mulvey']",2013,23,Journal of the,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3982295/,GUN VIOLENCE
Developing multi-agency strategies to address the street gang culture and reduce gun violence among young people,"['S Shropshire', 'M McFarquhar']",2002,25,Steve Shopshire and Michael Mac Farquhar,,GUN VIOLENCE
"Aiming for prevention: medical and public health approaches to small arms, gun violence, and injury",['B Rawson'],2002,21,Croatian medical journal,http://neuron.mefst.hr/docs/CMJ/issues/2002/43/4/12187513.pdf,GUN VIOLENCE
"Exploring the framing effects of emotion: do discrete emotions differentially influence information accessibility, information seeking, and policy preference?",['RL Nabi'],2003,341,Communication Research,http://journals.sagepub.com/doi/abs/10.1177/0093650202250881,GUN VIOLENCE
