Title,Authors,Year,Citations,Journal,Link,Topic
Quantification of mRNA using real-time RT-PCR,"['T Nolan', 'RE Hands', 'SA Bustin']",2006,1516,Nature protocols,https://www.nature.com/nprot/journal/v1/n3/abs/nprot.2006.236.html,HANDS
Charities and Social Aid in Greece and Rome: By AR Hands,['AR Hands'],1968,336,,,HANDS
QCD thermal phase transition in the presence of a small chemical potential,"['CR Allton', 'S Ejiri', 'SJ Hands', 'O Kaczmarek', 'F Karsch']",2002,665,Physical Review D,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.66.074507,HANDS
Reflection without rules: economic methodology and contemporary science theory,['DW Hands'],2001,573,,https://books.google.com/books?hl=en&lr=&id=FUZZAXGF7qsC&oi=fnd&pg=PR9&dq=HANDS&ots=MXOb3hCo1o&sig=UcUmRaqaK5FSEnbMjeYMXrvOu3Y,HANDS
Thermodynamics of two flavor QCD to sixth order in quark chemical potential,"['CR Allton', 'M Dring', 'S Ejiri', 'SJ Hands', 'O Kaczmarek']",2005,497,Physical Review D,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.71.054508,HANDS
Equation of state for two flavor QCD at nonzero chemical potential,"['CR Allton', 'S Ejiri', 'SJ Hands', 'O Kaczmarek', 'F Karsch']",2003,485,Physical Review D,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.68.014507,HANDS
"@ is for activism: Dissent, resistance and rebellion in a digital culture",['J Hands'],2011,225,,http://dl.acm.org/citation.cfm?id=1983599,HANDS
Transparent shoe cover,['RB Hands'],1998,43,US Patent 5,https://www.google.com/patents/US5845416,HANDS
"The in-hospital development of cardiogenic shock after myocardial infarction: incidence, predictors of occurrence, outcome and prognostic factors","['ME Hands', 'JD Rutherford', 'JE Muller', 'G Davies']",1989,239,Journal of the American,http://www.sciencedirect.com/science/article/pii/073510978990051X,HANDS
Standardization activities in the ITU for a QoE assessment of IPTV,"['A Takahashi', 'D Hands', 'V Barriac']",2008,237,IEEE Communications,http://ieeexplore.ieee.org/abstract/document/4473087/,HANDS
"Hot hands in mutual funds: Shortrun persistence of relative performance, 19741988","['D Hendricks', 'J Patel', 'R Zeckhauser']",1993,1446,The Journal of finance,http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.1993.tb04703.x/full,HANDS
Electrical conductivity of the quark-gluon plasma across the deconfinement transition,"['A Amato', 'G Aarts', 'C Allton', 'P Giudice', 'S Hands']",2013,106,Physical review,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.111.172001,HANDS
Analysis of multifingered hands,"['J Kerr', 'B Roth']",1986,1134,The International Journal of Robotics,http://journals.sagepub.com/doi/abs/10.1177/027836498600400401,HANDS
"On grasp choice, grasp models, and the design of hands for manufacturing tasks",['MR Cutkosky'],1989,1243,IEEE Transactions on robotics and automation,http://ieeexplore.ieee.org/abstract/document/34763/,HANDS
On the value and origin of the chiral condensate in quenched SU (2) lattice gauge theory,"['SJ Hands', 'M Teper']",1990,96,Nuclear Physics B,http://www.sciencedirect.com/science/article/pii/055032139090385Q,HANDS
"The electoral impact of constituency campaigning in Britain, 19922001","['D Denver', 'G Hands', 'I MacAllister']",2004,92,Political Studies,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-9248.2004.00480.x/full,HANDS
Non-compact QED3 with Nf2,"['SJ Hands', 'JB Kogut', 'CG Strouthos']",2002,94,Nuclear Physics B,http://www.sciencedirect.com/science/article/pii/S0550321302008696,HANDS
A fast response particulate spectrometer for combustion aerosols,"['K Reavell', 'T Hands', 'N Collings']",2002,92,,http://papers.sae.org/2002-01-2714/,HANDS
The advantage of tying one's hands: EMS discipline and central bank credibility,"['F Giavazzi', 'M Pagano']",1988,1124,European Economic Review,http://www.sciencedirect.com/science/article/pii/0014292188900657,HANDS
Effect of washing hands with soap on diarrhoea risk in the community: a systematic review,"['V Curtis', 'S Cairncross']",2003,1044,The Lancet infectious diseases,http://www.sciencedirect.com/science/article/pii/S1473309903006066,HANDS
Modern constituency electioneering: Local campaigning in the 1992 general election,"['DT Denver', 'G Hands']",1997,225,,https://books.google.com/books?hl=en&lr=&id=IX9jTbiZmRkC&oi=fnd&pg=PR8&dq=HANDS&ots=MVGL0NTcyU&sig=44hQFbiAuF0GzL2Gn9cvOkYXQ38,HANDS
A metalpolymer composite with unusual properties,"['D Bloor', 'K Donnelly', 'PJ Hands']",2005,223,Journal of Physics D,http://iopscience.iop.org/article/10.1088/0022-3727/38/16/018/meta,HANDS
Spectral functions at small energies and the electrical conductivity in hot quenched lattice QCD,"['G Aarts', 'C Allton', 'J Foley', 'S Hands', 'S Kim']",2007,212,Physical review letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.99.022002,HANDS
Biochemical investigation of human tumours in vivo with phosphorus-31 magnetic resonance spectroscopy,"['', 'PJ Bore', 'RP Rampling', 'D Hilton-Jones', 'LJ Hands']",1986,209,The Lancet,http://www.sciencedirect.com/science/article/pii/S0140673686925584,HANDS
Histological correlates of carotid plaque surface morphology on lumen contrast imaging,"['JK Lovett', 'PJ Gallagher', 'LJ Hands', 'J Walton']",2004,209,Circulation,http://circ.ahajournals.org/content/110/15/2190.short,HANDS
SPUD: a quantitative PCR assay for the detection of inhibitors in nucleic acid preparations,"['T Nolan', 'RE Hands', 'W Ogunkolade']",2006,208,Analytical,,HANDS
Symmetries and spectrum of SU (2) lattice gauge theory at finite chemical potential,"['S Hands', 'JB Kogut', 'MP Lombardo', 'SE Morrison']",1999,184,Nuclear Physics B,http://www.sciencedirect.com/science/article/pii/S0550321399003648,HANDS
A basic multimedia quality model,['DS Hands'],2004,186,IEEE Transactions on multimedia,http://ieeexplore.ieee.org/abstract/document/1359861/,HANDS
