Title,Authors,Year,Citations,Journal,Link,Topic
"Blood pressure, cholesterol, and stroke in eastern Asia",['ESCHD Collaborative'],1998,624,The Lancet,http://www.sciencedirect.com/science/article/pii/S0140673698034540,HEART DISEASE
Heart disease and stroke statistics2012 update,"['VL Roger', 'AS Go', 'DM Lloyd-Jones', 'EJ Benjamin']",2012,4881,Circulation,http://circ.ahajournals.org/content/125/1/e2.short,HEART DISEASE
Prediction of coronary heart disease using risk factor categories,"['PWF Wilson', ""RB D'Agostino"", 'D Levy', 'AM Belanger']",1998,8877,Circulation,http://circ.ahajournals.org/content/97/18/1837.short,HEART DISEASE
Heart disease and stroke statistics2016 update,"['D Mozaffarian', 'EJ Benjamin', 'AS Go', 'DK Arnett']",2016,5939,Circulation,http://circ.ahajournals.org/content/133/4/e38.short,HEART DISEASE
Heart disease and stroke statistics2011 update,"['VL Roger', 'AS Go', 'DM Lloyd-Jones', 'RJ Adams']",2011,4500,Circulation,http://circ.ahajournals.org/content/123/4/e18?vie..=,HEART DISEASE
Randomized trial of estrogen plus progestin for secondary prevention of coronary heart disease in postmenopausal women,"['', 'Heart and Estrogen/progestin Replacement Study']",1998,6962,Jama,http://jamanetwork.com/journals/jama/fullarticle/187879,HEART DISEASE
Randomised trial of cholesterol lowering in 4444 patients with coronary heart disease: the Scandinavian Simvastatin Survival Study (4S),['Scandinavian Simvastatin Survival Study Group'],1994,8539,The Lancet,http://www.sciencedirect.com/science/article/pii/S0140673694905665,HEART DISEASE
Heart disease and stroke statistics2010 update,"['D Lloyd-Jones', 'RJ Adams', 'TM Brown', 'M Carnethon']",2010,5970,Circulation,http://circ.ahajournals.org/content/121/7/e46.short,HEART DISEASE
Patterns of coronary heart disease morbidity and mortality in the sexes: a 26-year follow-up of the Framingham population,"['DJ Lerner', 'WB Kannel']",1986,2111,American heart journal,http://www.sciencedirect.com/science/article/pii/0002870386901559,HEART DISEASE
High density lipoprotein as a protective factor against coronary heart disease: the Framingham Study,"['T Gordon', 'WP Castelli', 'MC Hjortland']",1977,5971,The American journal of,http://www.sciencedirect.com/science/article/pii/0002934377908749,HEART DISEASE
Epidemiological approaches to heart disease: the Framingham Study,"['TR Dawber', 'GF Meadors']",1951,1826,American Journal of,http://ajph.aphapublications.org/doi/abs/10.2105/AJPH.41.3.279,HEART DISEASE
Homocysteine and risk of ischemic heart disease and stroke: a meta-analysis,['Homocysteine Studies Collaboration'],2002,2092,Jama,http://jamanetwork.com/journals/jama/fullarticle/195433,HEART DISEASE
Cholesterol lowering with simvastatin improves prognosis of diabetic patients with coronary heart disease: a subgroup analysis of the Scandinavian Simvastatin,"['K Pyrl', 'TR Pedersen', 'J Kjekshus']",1997,1876,Diabetes,http://care.diabetesjournals.org/content/diacare/20/4/614.full.pdf,HEART DISEASE
