Title,Authors,Year,Citations,Journal,Link,Topic
A new equation to estimate glomerular filtration rate,"['', 'YL Zhang', 'AF Castro', 'HI Feldman']",2009,8392,Annals of internal,http://annals.org/aim/article/744469,HI
[CITATION][C] Implanting strategic management,"['HI Ansoff', 'EJ McDonnell']",1990,4337,,,HI
[BOOK][B] Synopsis of psychiatry: Behavioral sciences clinical psychiatry,"['HI Kaplan', 'BJ Sadock']",1988,3784,,http://psycnet.apa.org/record/1988-97069-000,HI
Risk of hepatocellular carcinoma across a biological gradient of serum hepatitis B virus DNA level,"['CJ Chen', 'HI Yang', 'JUN Su', 'CL Jen', 'SL You', 'SN Lu']",2006,2938,Jama,http://jamanetwork.com/journals/jama/fullarticle/202137,HI
A mammalian microRNA expression atlas based on small RNA library sequencing,"['', 'R Choksi', 'G De Vita', 'D Frezzetti', 'HI Trompeter']",2007,3031,Cell,http://www.sciencedirect.com/science/article/pii/S0092867407006046,HI
Metalorganic vapor phase epitaxial growth of a high quality GaN film using an AlN buffer layer,"['H Amano', 'N Sawaki', 'I Akasaki', 'Y Toyoda']",1986,2576,Applied Physics Letters,http://aip.scitation.org/doi/abs/10.1063/1.96549,HI
Abiraterone and increased survival in metastatic prostate cancer,"['', 'N Chieffo', 'T Kheoh', 'CM Haqq', 'HI Scher']",2011,2652,England Journal of,http://www.nejm.org/doi/full/10.1056/NEJMoa1014618,HI
MR signal abnormalities at 1.5 T in Alzheimer's dementia and normal aging,"['', 'JB Chawluk', 'A Alavi', 'HI Hurtig']",1987,2426,American journal of,http://www.ajronline.org/doi/abs/10.2214/ajr.149.2.351,HI
Strategies for diversification,['HI Ansoff'],1957,2276,Harvard business review,https://www.casrilanka.com/casl/images/stories/2017/2017_pdfs/sab_portal/course_material/strategies_for_diversification.pdf,HI
Capacity of ad hoc wireless networks,"['J Li', 'C Blake', 'DSJ De Couto', 'HI Lee']",2001,2196,Proceedings of the 7th,http://dl.acm.org/citation.cfm?id=381684,HI
Predicting cirrhosis risk based on the level of circulating hepatitis B viral load,"['UH Iloeje', 'HI Yang', 'J Su', 'CL Jen', 'SL You', 'CJ Chen']",2006,1467,Gastroenterology,http://www.sciencedirect.com/science/article/pii/S0016508505022766,HI
[CITATION][C] Respiratory function tests; normal values at median altitudes and the prediction of normal results,"['HI Goldman', 'MR Becklake']",1959,1370,American review of tuberculosis,http://europepmc.org/abstract/med/13650117,HI
Development of a second-generation antiandrogen for treatment of advanced prostate cancer,"['', 'CS Higano', 'TM Beer', 'DT Hung', 'HI Scher']",2009,1452,,http://science.sciencemag.org/content/324/5928/787.short,HI
Oxidative damage linked to neurodegeneration by selective -synuclein nitration in synucleinopathy lesions,"['', 'IVJ Murray', 'Q Chen', 'JM Souza', 'HI Hurtig']",2000,1404,,http://science.sciencemag.org/content/290/5493/985.short,HI
Indications of neutrino oscillation in a 250 km long-baseline experiment,"['', 'T Ishii', 'M Ishitsuka', 'Y Itow', 'T Iwashita', 'HI Jang']",2003,1367,Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.90.041801,HI
Hepatitis B e antigen and the risk of hepatocellular carcinoma,"['HI Yang', 'SN Lu', 'YF Liaw', 'SL You', 'CA Sun']",2002,1363,England Journal of,http://www.nejm.org/doi/full/10.1056/NEJMoa013215,HI
