Title,Authors,Year,Citations,Journal,Link,Topic
[CITATION][C] Monitoring selected national HIV prevention and care objectives by using HIV surveillance dataUnited States and 6 US dependent areas2010,['CDC HIV'],2012,710,,https://www.cdc.gov/hiv/library/reports/hiv-surveillance/hiv-surveillance-supplement-17-3.html,HIV
[CITATION][C] Reported tuberculosis in the United States,"['', 'National Center for HIV']",2001,645,,,HIV
The major genetic determinants of HIV-1 control affect HLA class I peptide presentation,['TIHIVC Study'],2010,594,Science (New York,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3235490/,HIV
"Randomised, controlled, community-level HIV-prevention intervention for sexual-risk behaviour among homosexual men in US cities","['JA Kelly', 'DA Murphy', 'KJ Sikkema', 'TL McAuliffe']",1997,416,The Lancet,http://www.sciencedirect.com/science/article/pii/S0140673697074394,HIV
"[BOOK][B] AIDS epidemic update, December 2006",['Joint United Nations Programme on HIV/AIDS.'],2007,521,,https://books.google.com/books?hl=en&lr=&id=q2H0b-WY1pUC&oi=fnd&pg=PP7&dq=HIV&ots=oaVttcbFMI&sig=HPwE1DOJNMEpwjBD0itPkOgzolg,HIV
"Efficacy of voluntary HIV-1 counselling and testing in individuals and couples in Kenya, Tanzania, and Trinidad: a randomised trial","['TV HIV', 'Counseling and Testing Efficacy Study Group']",2000,175,The Lancet,http://www.sciencedirect.com/science/article/pii/S0140673600024466,HIV
[BOOK][B] Young people and HIV/AIDS: Opportunity in crisis,"['', 'Joint United Nations Programme on HIV/AIDS.']",2002,189,,https://books.google.com/books?hl=en&lr=&id=nyj79Vq24GAC&oi=fnd&pg=PA1975&dq=HIV&ots=qIsvU4dS6W&sig=_Gp2aAmVkfSO3RTgaMpe8j-v3QI,HIV
HIV-1 entry into CD4+ cells is mediated by the chemokine receptor CC-CKR-5,"['T Dragic', 'V Litwin', 'GP Allaway', 'SR Martin', 'Y Huang']",1996,3598,Nature,https://www.nature.com/nature/journal/v381/n6584/abs/381667a0.html,HIV
The NIMH multisite HIV prevention trial: Reducing HIV sexual risk behavior,['HIV Reducing'],1998,145,,http://science.sciencemag.org/content/280/5371/1889.short,HIV
The lymphocyte chemoattractant SDF-1 is a ligand for LESTR/fusin and blocks HIV-1 entry,"['CC Bleul', 'M Farzan', 'H Choe', 'C Parolin', 'I Clark-Lewis']",1996,2243,Nature,https://www.nature.com/nature/journal/v382/n6594/abs/382829a0.html,HIV
Genetic restriction of HIV-1 infection and progression to AIDS by a deletion allele of the CKR5 structural gene,"['M Dean', 'M Carrington', 'C Winkler', 'GA Huttley']",1996,2656,,http://science.sciencemag.org/content/273/5283/1856.short,HIV
