Title,Authors,Year,Citations,Journal,Link,Topic
Interplanetary magnetic field and the auroral zones,['JW Dungey'],1961,3342,Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.6.47,MAGNETIC FIELD
Large magneticfieldinduced strains in Ni2MnGa single crystals,"['K Ullakko', 'JK Huang', 'C Kantner']",1996,2539,Applied Physics,http://aip.scitation.org/doi/abs/10.1063/1.117637,MAGNETIC FIELD
The topological properties of magnetic helicity,"['MA Berger', 'GB Field']",1984,969,Journal of Fluid Mechanics,https://www.cambridge.org/core/journals/journal-of-fluid-mechanics/article/the-topological-properties-of-magnetic-helicity/CBF3020A84DF9DFA4894162430595777,MAGNETIC FIELD
Giant magnetic-field-induced strain in NiMnGa seven-layered martensitic phase,"['A Sozinov', 'AA Likhachev', 'N Lanska']",2002,1563,Applied Physics,http://aip.scitation.org/doi/abs/10.1063/1.1458075,MAGNETIC FIELD
Space quantization in a gyrating magnetic field,['II Rabi'],1937,1480,Physical Review,https://journals.aps.org/pr/abstract/10.1103/PhysRev.51.652,MAGNETIC FIELD
Cosmical magnetic fields: Their origin and their activity,['EN Parker'],1979,3071,Oxford,"http://adsabs.harvard.edu/abs/1979cmft.book.....P,",MAGNETIC FIELD
Image formation by induced local interactions: examples employing nuclear magnetic resonance,['PC Lauterbur'],1973,4314,,https://books.google.com/books?hl=en&lr=&id=p_P1Wm5MnVAC&oi=fnd&pg=PA196&dq=MAGNETIC+FIELD&ots=XnDQBEbC7x&sig=VWLamHVG0Zovw7_sbNjwbxGJfjU,MAGNETIC FIELD
A method of measuring eye movemnent using a scieral search coil in a magnetic field,['DA Robinson'],1963,2307,IEEE Transactions on bio-medical electronics,http://ieeexplore.ieee.org/abstract/document/4322822/,MAGNETIC FIELD
Heating magnetic fluid with alternating magnetic field,['RE Rosensweig'],2002,1499,Journal of magnetism and magnetic materials,http://www.sciencedirect.com/science/article/pii/S0304885302007060,MAGNETIC FIELD
On a plasma sheath separating regions of oppositely directed magnetic field,['EG Harris'],1962,1096,Il Nuovo Cimento (1955-1965),http://link.springer.com/article/10.1007/BF02733547,MAGNETIC FIELD
Physical mechanisms for biological effects of low field intensity ELF magnetic fields,['C Polk'],1996,913,Biological effects of magnetic and electromagnetic,http://www.springerlink.com/index/QHK1Q07K5837N966.pdf,MAGNETIC FIELD
The Sun's Polar Magnetic Field,['HD Babcock'],1959,351,The Astrophysical Journal,http://adsabs.harvard.edu/full/1959ApJ...130..364B,MAGNETIC FIELD
Velocity space diffusion from weak plasma turbulence in a magnetic field,"['CF Kennel', 'F Engelmann']",1966,885,The Physics of Fluids,http://aip.scitation.org/doi/abs/10.1063/1.1761629,MAGNETIC FIELD
Temperature and magnetic field dependences of the Josephson tunneling current,['MD Fiske'],1964,371,Reviews of Modern Physics,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.36.221,MAGNETIC FIELD
Magnetic field reconnection,['BU Sonnerup'],1979,399,Solar system plasma physics,http://adsabs.harvard.edu/abs/1979anh..book...45S,MAGNETIC FIELD
Texturing of magnetic materials at high temperature by solidification in a magnetic field,"['P De Rango', 'M Lees', 'P Lejay', 'A Sulpice', 'R Tournier']",1991,393,Nature,https://www.nature.com/nature/journal/v349/n6312/abs/349770a0.html,MAGNETIC FIELD
Lowfrequency magnetic field measurements near the epicenter of the Ms 7.1 Loma Prieta earthquake,"['AC FraserSmith', 'A Bernardi', 'PR McGill']",1990,666,Geophysical,http://onlinelibrary.wiley.com/doi/10.1029/GL017i009p01465/full,MAGNETIC FIELD
Biogenic magnetite as a basis for magnetic field detection in animals,"['JL Kirschvink', 'JL Gould']",1981,439,Biosystems,http://www.sciencedirect.com/science/article/pii/0303264781900605,MAGNETIC FIELD
The GEOTAIL magnetic field experiment,"['S Kokubun', 'T Yamamoto', 'MH Acua']",1994,668,of geomagnetism and,http://darts.isas.jaxa.jp/stp/geotail/jgg_mgf.pdf,MAGNETIC FIELD
Theoretical models of magnetic field line merging,['VM Vasyliunas'],1975,1330,Reviews of Geophysics,http://onlinelibrary.wiley.com/doi/10.1029/RG013i001p00303/full,MAGNETIC FIELD
Field generation in electrically conducting fluids,['HK Moffatt'],1978,3268,,https://www.researchgate.net/profile/Keith_Moffatt/publication/229086771_The_Generation_of_Magnetic_Fields_in_Electrically_Conducting_Fluids/links/00b7d52c3bea06ba07000000.pdf,MAGNETIC FIELD
Phase transitions and critical phenomena,['HE Stanley'],1971,7437,,,MAGNETIC FIELD
Magnetic resonance imaging: physical principles and sequence design,"['EM Haacke', 'RW Brown', 'MR Thompson', 'R Venkatesan']",1999,3251,,,MAGNETIC FIELD
