Title,Authors,Year,Citations,Journal,Link,Topic
Melanism: evolution in action,['MEN Majerus'],1998,511,,,MELANISM
The evolution of melanism: the study of a recurring necessity with special reference to industrial melanism in the lepidoptera,['B Kettlewell'],1973,724,,http://www.sidalc.net/cgi-bin/wxis.exe/?IsisScript=FCL.xis&method=post&formato=2&cantidad=1&expresion=mfn=004322,MELANISM
The genetic basis of adaptive melanism in pocket mice,"['MW Nachman', 'HE Hoekstra']",2003,402,Proceedings of the,http://www.pnas.org/content/100/9/5268.short,MELANISM
Melanism and disease resistance in insects,"['K Wilson', 'SC Cotter', 'AF Reeson', 'JK Pell']",2001,344,Ecology Letters,http://onlinelibrary.wiley.com/doi/10.1046/j.1461-0248.2001.00279.x/full,MELANISM
Molecular genetics and evolution of melanism in the cat family,"['E Eizirik', 'N Yuhki', 'WE Johnson', 'M Menotti-Raymond']",2003,274,Current Biology,http://www.sciencedirect.com/science/article/pii/S0960982203001283,MELANISM
Insect melanism: the molecules matter,['JR True'],2003,280,Trends in ecology & evolution,http://www.sciencedirect.com/science/article/pii/S0169534703002829,MELANISM
Molecular and evolutionary history of melanism in North American gray wolves,"['TM Anderson', 'SI Candille', 'M Musiani', 'C Greco']",2009,249,,http://science.sciencemag.org/content/323/5919/1339.short,MELANISM
The phenomenon of industrial melanism in Lepidoptera,['HBD Kettlewell'],1961,237,Annual review of entomology,http://www.annualreviews.org/doi/pdf/10.1146/annurev.en.06.010161.001333,MELANISM
Thermal melanism in ectotherms,"['SC Trullas', 'JH van Wyk', 'JR Spotila']",2007,232,Journal of Thermal Biology,http://www.sciencedirect.com/science/article/pii/S0306456507000319,MELANISM
Different genes underlie adaptive melanism in different populations of rock pocket mice,"['HE Hoekstra', 'MW Nachman']",2003,176,Molecular Ecology,http://onlinelibrary.wiley.com/doi/10.1046/j.1365-294X.2003.01788.x/full,MELANISM
Gene flow and melanism in garter snakes revisited: a comparison of molecular markers and island vs. coalescent models,"['TD Bittner', 'RB King']",2003,50,Biological Journal of the Linnean Society,https://academic.oup.com/biolinnean/article-abstract/79/3/389/2639844,MELANISM
The classical explanation of industrial melanism,"['TD Sargent', 'CD Millar', 'DM Lambert']",1998,44,Evolutionary biology,http://link.springer.com/chapter/10.1007/978-1-4899-1751-5_8,MELANISM
Thermal benefits of melanism in cordylid lizards: a theoretical and field test,"['S Clusella-Trullas', 'JH Wyk', 'JR Spotila']",2009,46,Ecology,http://onlinelibrary.wiley.com/doi/10.1890/08-1502.1/full,MELANISM
