Title,Authors,Year,Citations,Journal,Link,Topic
Revive Us Again: The Reawakening of American Fundamentalism: The Reawakening of American Fundamentalism,['MJACP Calvin'],1997,594,,https://books.google.com/books?hl=en&lr=&id=ZSLgWIp_7-YC&oi=fnd&pg=PR9&dq=MICHIGAN&ots=5pUd3ysiHP&sig=G9BNF0mXiJ-whfjCnrHLeSpG0kw,MICHIGAN
The EGS5 code system,"['', 'Y Namito', 'AF Bielajew', 'SJ Wilderman', 'U Michigan']",2005,342,,https://www.osti.gov/scitech/biblio/877459,MICHIGAN
International trade and investment,['HOWMSEB FROM'],1978,408,,http://districtexportcouncil.org/wp-content/uploads/2017/03/Wyoming.pdf,MICHIGAN
The Michigan Alcoholism Screening Test: The quest for a new diagnostic instrument,['ML Selzer'],1971,3894,American journal of psychiatry,http://ajp.psychiatryonline.org/doi/abs/10.1176/ajp.127.12.1653,MICHIGAN
"Disciplinary discourses, Michigan classics ed.: Social interactions in academic writing",['K Hyland'],2004,2788,,https://books.google.com/books?hl=en&lr=&id=-UtroqFc6Q0C&oi=fnd&pg=PR7&dq=MICHIGAN&ots=3sdMKwBcDk&sig=oQrqfAlbsTGKNTHPuP7vKkxwqcg,MICHIGAN
A self-administered Short Michigan Alcoholism Screening Test (SMAST),"['ML Selzer', 'A Vinokur', 'L van Rooijen']",1975,1592,Journal of studies on alcohol,http://www.jsad.com/doi/pdf/10.15288/jsa.1975.36.117,MICHIGAN
The Michigan organizational assessment questionnaire,"['C Cammann', 'M Fichman', 'D Jenkins', 'J Klesh']",1979,1682,manuscript,,MICHIGAN
Genitourinary fungal infections,['S Michigan'],1976,135,The Journal of urology,http://europepmc.org/abstract/med/802858,MICHIGAN
Ribosomal Database Project: data and tools for high throughput rRNA analysis,"['JR Cole', 'Q Wang', 'JA Fish', 'B Chai']",2013,955,Nucleic acids,https://academic.oup.com/nar/article-abstract/42/D1/D633/1063201,MICHIGAN
William B,['M Grand Rapids'],1995,139,Eerdmans Pub. Co,,MICHIGAN
