Title,Authors,Year,Citations,Journal,Link,Topic
Late onset undifferentiated seronegative spondyloarthropathy,"['', 'A Padula', 'A Pierro', 'L Favaro', 'GS Oranges']",1995,98,J,http://www.laserterapiaoranges.it/wordpress/wp-content/uploads/2017/02/Spondiloartriti.pdf,ORANGES
Comparing apples to oranges: productivity convergence and measurement across industries and countries,"['AB Bernard', 'CI Jones']",1996,858,The American Economic Review,http://www.jstor.org/stable/2118287,ORANGES
Comparing apples and oranges,['EH Blackstone'],2002,521,The Journal of Thoracic and Cardiovascular Surgery,http://www.sciencedirect.com/science/article/pii/S0022522302164543,ORANGES
Ontology of folksonomy: A mash-up of apples and oranges,['T Gruber'],2007,542,International Journal on Semantic Web and Information,http://www.igi-global.com/article/ontology-folksonomy-mash-apples-oranges/2828,ORANGES
Effects of ethylene and 1-methylcyclopropene on the postharvest qualities of 'Shamouti'oranges,"['R Porat', 'B Weiss', 'L Cohen', 'A Daus', 'R Goren']",1999,426,Postharvest biology and,http://www.sciencedirect.com/science/article/pii/S0925521498000799,ORANGES
Endoscopic management of bile duct stones;(apples and oranges),['PB Cotton'],1984,494,Gut,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1432370/,ORANGES
A Case for Comparing A les with Oranges,['G Hofstede'],1998,210,International journal of comparative,http://booksandjournals.brillonline.com/content/journals/10.1163/156854298x00264,ORANGES
Oranges are not the only fruit,['J Winterson'],2011,425,,,ORANGES
Apples and oranges revisited: contextualized comparisons and the study of comparative labor politics,"['RM Locke', 'K Thelen']",1995,404,Politics & Society,http://journals.sagepub.com/doi/pdf/10.1177/0032329295023003004,ORANGES
"Apples and oranges: or, why apples are not orange and don't need to be a response to Firth and Wagner",['S Gass'],1998,229,The Modern Language Journal,http://onlinelibrary.wiley.com/doi/10.1111/j.1540-4781.1998.tb02597.x/full,ORANGES
"Control of postharvest blue and green molds of oranges by hot water, sodium carbonate, and sodium bicarbonate","['L Palou', 'JL Smilanick', 'J Usall', 'I Vias']",2001,227,Plant Disease,http://apsjournals.apsnet.org/doi/abs/10.1094/PDIS.2001.85.4.371,ORANGES
Mesenchymal stem cell preparationscomparing apples and oranges,"['W Wagner', 'AD Ho']",2007,248,Stem cell reviews,http://link.springer.com/article/10.1007/s12015-007-9001-1,ORANGES
"Of apples and oranges, file drawers and garbage: why validity issues in meta-analysis will not go away",['D Sharpe'],1997,266,Clinical psychology review,http://www.sciencedirect.com/science/article/pii/S0272735897000561,ORANGES
Distribution of bound and free phenolic acids in oranges (Citrus sinensis) and grapefruits (Citrus paradisi),"['H Peleg', 'M Naim', 'RL Rouseff']",1991,207,Journal of the Science of,http://onlinelibrary.wiley.com/doi/10.1002/jsfa.2740570312/full,ORANGES
Assisted living and nursing homes: Apples and oranges?,"['S Zimmerman', 'AL Gruber-Baldini', 'PD Sloane']",2003,212,The,https://academic.oup.com/gerontologist/article-abstract/43/suppl_2/107/637516,ORANGES
Are we comparing apples with apples or apples with oranges? Appropriateness of knowledge accumulation across growth studies,"['D Shepherd', 'J Wiklund']",2009,275,Entrepreneurship Theory and Practice,http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6520.2008.00282.x/full,ORANGES
Oranges and lemons: clues to the taxonomy of Citrus from molecular markers,['GA Moore'],2001,200,TRENDS in Genetics,http://www.sciencedirect.com/science/article/pii/S0168952501024428,ORANGES
Late onset peripheral seronegative spondyloarthropathy: report of two additional cases,"['I Olivieri', 'GS Oranges', 'F Sconosciuto']",1993,35,Journal of,http://www.laserterapiaoranges.it/wordpress/wp-content/uploads/2017/05/Spondilo-oranges.pdf,ORANGES
Labia minora reduction techniques: a comprehensive literature review,"['CM Oranges', 'A Sisti', 'G Sisti']",2015,34,Aesthetic surgery journal,https://academic.oup.com/asj/article-abstract/35/4/419/234114,ORANGES
Theories of change and realistic evaluation: peas in a pod or apples and oranges?,"['A Blamey', 'M Mackenzie']",2007,231,Evaluation,http://journals.sagepub.com/doi/abs/10.1177/1356389007082129,ORANGES
"Tolerance ofValencia'oranges to controlled atmospheres, as determined by physiological responses and quality attributes","['D Ke', 'AA Kader']",1990,169,Journal of the American Society for,http://journal.ashspublications.org/content/115/5/779.short,ORANGES
Advertising without supply control: Some implications of a study of the advertising of oranges,"['M Nerlove', 'FV Waugh']",1961,197,Journal of Farm Economics,http://www.jstor.org/stable/1236019,ORANGES
Head and neck cancer in elderly patients: is microsurgical free-tissue transfer a safe procedure?,"['', 'A Pizzigallo', 'R Sgarzani', 'CM Oranges']",2012,35,Acta,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3552542/,ORANGES
Respiration of oranges and grapefruits harvested at different stages of development,['Y Aharoni'],1968,117,Plant physiology,http://www.plantphysiol.org/content/43/1/99.short,ORANGES
Comparison of microextraction procedures to determine pesticides in oranges by liquid chromatographymass spectrometry,"['C Blasco', 'G Font', 'Y Pic']",2002,173,Journal of Chromatography A,http://www.sciencedirect.com/science/article/pii/S0021967302010348,ORANGES
"Retrotransposons control fruit-specific, cold-dependent accumulation of anthocyanins in blood oranges","['E Butelli', 'C Licciardello', 'Y Zhang', 'J Liu', 'S Mackay']",2012,199,The Plant,http://www.plantcell.org/content/24/3/1242.short,ORANGES
The evaluation of quality of post-harvest oranges and apples by means of an electronic nose,"['C Di Natale', 'A Macagnano', 'E Martinelli']",2001,151,Sensors and Actuators B,http://www.sciencedirect.com/science/article/pii/S0925400501007870,ORANGES
"Children's minds, talking rabbits & clockwork oranges: Essays on education",['K Egan'],1999,152,,,ORANGES
Apples and oranges: a comparison of RDF benchmarks and real RDF datasets,"['S Duan', 'A Kementsietsidis', 'K Srinivas']",2011,146,Proceedings of the 2011,http://dl.acm.org/citation.cfm?id=1989340,ORANGES
"Flavanones in oranges, tangerines (mandarins), tangors, and tangelos: a compilation and review of the data from the analytical literature","['JJ Peterson', 'JT Dwyer', 'GR Beecher']",2006,163,Journal of Food,http://www.sciencedirect.com/science/article/pii/S0889157505001432,ORANGES
