Title,Authors,Year,Citations,Journal,Link,Topic
Minute paper,"['TA Angelo', 'KP Cross']",1993,4628,Classroom assessment techniques: A,http://www.learnspeakgrow.com/resources/one_minute_paper.pdf,PAPER
Detection of sugars on paper chromatograms,"['WE TREVELYAN', 'DP Procter', 'JS HARRISON']",1950,3583,Nature,http://link.springer.com/article/10.1038/166444b0,PAPER
Crop evapotranspiration-Guidelines for computing crop water requirements-FAO Irrigation and drainage paper 56,"['RG Allen', 'LS Pereira', 'D Raes', 'M Smith']",1998,2043,FAO,http://www.academia.edu/download/40878584/Allen_FAO1998.pdf,PAPER
Handbook for pulp & paper technologists,['GA Smook'],1992,1270,,,PAPER
ROAD PAPER. SOME THEORETICAL ASPECTS OF ROAD TRAFFIC RESEARCH,['JG Wardrop'],1952,4942,Proceedings of the institution of civil engineers,http://www.icevirtuallibrary.com/doi/abs/10.1680/ipeds.1952.11259,PAPER
Qualitative Methods in Research on Teaching. Occasional Paper No. 81,['F Erickson'],1985,7602,,https://eric.ed.gov/?id=ED263203,PAPER
Clinical calorimetry: tenth paper a formula to estimate the approximate surface area if height and weight be known,"['D Du Bois', 'EF Du Bois']",1916,5213,Archives of internal medicine,http://jamanetwork.com/data/Journals/INTEMED/18733/archinte_XVII_6_2_002.pdf,PAPER
EPOS 2012: European position paper on rhinosinusitis and nasal polyps 2012. A summary for otorhinolaryngologists,"['WJ Fokkens', 'VJ Lund', 'J Mullol', 'C Bachert']",2012,2278,,https://www.scholars.northwestern.edu/en/publications/epos-2012-european-position-paper-on-rhinosinusitis-and-nasal-pol,PAPER
Writing on dirty paper (corresp.),['M Costa'],1983,4132,IEEE transactions on information theory,http://ieeexplore.ieee.org/abstract/document/1056659/,PAPER
Preparation and characterization of graphene oxide paper,"['DA Dikin', 'S Stankovich', 'EJ Zimney', 'RD Piner']",2007,3614,Nature,https://www.nature.com/nature/journal/v448/n7152/abs/nature06016.html,PAPER
Diagnostics for the developing world: microfluidic paper-based analytical devices,"['AW Martinez', 'ST Phillips', 'GM Whitesides', 'E Carrilho']",2009,1579,,http://pubs.acs.org/doi/abs/10.1021/ac9013989,PAPER
"A rapid filter paper assay for UDPglucose-glycogen glucosyltransferase, including an improved biosynthesis of UDP-14C-glucose","['JA Thomas', 'KK Schlender', 'J Larner']",1968,1150,Analytical biochemistry,http://www.sciencedirect.com/science/article/pii/0003269768901279,PAPER
[15] Detection of specific RNAs or specific fragments of DNA by fractionation in gels and transfer to diazobenzyloxymethyl paper,"['JC Alwine', 'DJ Kemp', 'BA Parker', 'J Reiser', 'J Renart']",1979,608,Methods in,http://www.sciencedirect.com/science/article/pii/0076687979680175,PAPER
The use of probability paper for the graphical analysis of polymodal frequency distributions,['JP Harding'],1949,934,Journal of the Marine Biological Association of the,https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/the-use-of-probability-paper-for-the-graphical-analysis-of-polymodal-frequency-distributions/DB1C9D4468DCE4C7E114344F51BA01BB,PAPER
Paper chromatography of steroids II. Corticosteroids and related compounds,"['RB Burton', 'A Zaffaroni']",1951,548,Journal of Biological,https://pdfs.semanticscholar.org/2e3c/42d12bec525ea71547aa9d00ab65f268f6e0.pdf,PAPER
Electrophoretic mobilities of peptides on paper and their use in the determination of amide groups,['RE Offord'],1966,927,Nature,http://link.springer.com/content/pdf/10.1038/211591a0.pdf,PAPER
Local dispersal promotes biodiversity in a real-life game of rockpaperscissors,"['B Kerr', 'MA Riley', 'MW Feldman', 'BJM Bohannan']",2002,1128,Nature,https://www.nature.com/nature/journal/v418/n6894/abs/nature00823.html,PAPER
Apoptotic pathways: paper wraps stone blunts scissors,['DR Green'],2000,1124,Cell,http://www.sciencedirect.com/science/article/pii/S0092867400000039,PAPER
