Title,Authors,Year,Citations,Journal,Link,Topic
Developmental origins of species differences in telencephalon and tectum size: morphometric comparisons between a parakeet (Melopsittacus undulatus) and a quail,"['GF Striedter', 'CJ Charvet']",2008,1160,Journal of Comparative Neurology,http://onlinelibrary.wiley.com/doi/10.1002/cne.21640/full,PARAKEET
"Hearing in the parakeet (Melopsittacus undulatus): absolute thresholds, critical ratios, frequency difference limens, and vocalizations","['RJ Dooling', 'JC Saunders']",1975,150,Journal of Comparative and,http://psycnet.apa.org/journals/com/88/1/1/,PARAKEET
Ficus ovalis seed predation by an orange-chinned parakeet (Brotogeris jugularis) in Costa Rica,['DH Janzen'],1981,100,The Auk,http://www.jstor.org/stable/4085909,PARAKEET
How the Macquarie Island parakeet became extinct,['RH Taylor'],1979,100,New Zealand Journal of Ecology,http://www.jstor.org/stable/24052640,PARAKEET
"Feeding of the least, crested, and parakeet auklets around St. Lawrence Island, Alaska",['J Bdard'],1969,134,Canadian Journal of Zoology,http://www.nrcresearchpress.com/doi/abs/10.1139/z69-166,PARAKEET
"The hypothalamo-hypophyseal neurosecretory system of the parakeet, Melopsittacus undulatus","['H Kobayashi', 'HA Bern', 'RS Nishioka']",1961,92,General and comparative,http://www.sciencedirect.com/science/article/pii/001664806190017X,PARAKEET
"Heart fatty acid unsaturation and lipid peroxidation, and aging rate, are lower in the canary and the parakeet than in the mouse","['R Pamplona', 'M Portero-Otin', 'D Riba', 'F Ledo']",1999,77,Aging (Milan,http://europepmc.org/abstract/med/10337442,PARAKEET
Assessing the potential range expansion of the exotic monk parakeet in Spain,"['AR Muoz', 'R Real']",2006,99,Diversity and Distributions,http://onlinelibrary.wiley.com/doi/10.1111/j.1472-4642.2006.00272.x/full,PARAKEET
"in four species of psittacine birds: An African Grey parrot (Psittacus erithacus), an Illiger mini macaw (Ara maracana), a parakeet (Melopsittacus undulatus), and a","['IM Pepperberg', 'MS Funk']",1990,103,Learning & behavior,http://www.springerlink.com/index/6H5H684648782223.pdf,PARAKEET
Habitat selection by the Monk Parakeet during colonization of a new area in Spain,"['D Sol', 'DM Santos', 'E Feria', 'J Clavell']",1997,89,Condor,http://www.jstor.org/stable/1370222,PARAKEET
Monk Parakeet(Myiopsitta monachus),"['MF Spreyer', 'EH Bucher']",1998,84,The Birds of North America,,PARAKEET
Psittacula krameri,['R Parakeet'],1769,18,M,,PARAKEET
"Contact call diversity in wild orange-fronted parakeet pairs, Aratinga canicularis","['KA Cortopassi', 'JW Bradbury']",2006,73,Animal Behaviour,http://www.sciencedirect.com/science/article/pii/S0003347206000303,PARAKEET
Parakeet exercise perch,"['US Patent 2,808,80']",1957,41,Google Patents,https://www.google.com/patents/US2808807,PARAKEET
Neoplasia in the parakeet,['HG Schlumberger'],1954,46,Cancer research,http://cancerres.aacrjournals.org/content/14/3/237.short,PARAKEET
"The nesting of the crested, least, and parakeet auklets on St. Lawrence Island, Alaska",['J Bdard'],1969,68,The Condor,http://www.jstor.org/stable/1365737,PARAKEET
Breeding biology of the Monk Parakeet,['JR Eberhard'],1998,67,The Wilson Bulletin,http://www.jstor.org/stable/4163993,PARAKEET
Auditory intensity discrimination in the parakeet (M elopsittacusundulatus),"['RJ Dooling', 'JC Saunders']",1975,41,The Journal of the Acoustical Society of,http://asa.scitation.org/doi/abs/10.1121/1.380813,PARAKEET
Development of object permanence in the New Zealand parakeet (Cyanoramphus auriceps),['MS Funk'],1996,64,Learning & behavior,http://www.springerlink.com/index/U505X02X3T728684.pdf,PARAKEET
