Title,Authors,Year,Citations,Journal,Link,Topic
"Modafinil for the Treatment of Daytime Sleepiness in Parkinson s Disease: A Double-blind, Randomized, Crossover, Placebo-controlled Polygraphic Trial","['B Hgl', 'M Saletu', 'E Brandauer', 'S Glatzl', 'B Frauscher']",2002,210,Sleep,https://academic.oup.com/sleep/article-abstract/25/8/62/2750176,PARKINSONS DISEASE
The neuropsychology of Parkinsons-disease,"['AE Taylor', 'JA Saintcyr']",1995,238,Brain and cognition,http://www.sciencedirect.com/science/article/pii/S0278262685712584,PARKINSONS DISEASE
] cocaine binding associated with dopamine uptake sites in the rat striatum and human putamen decrease after dopaminergic denervation and in Parkinsons disease,"['H Schoemaker', 'C Pimoule', 'S Arbilla', 'B Scatton']",1985,190,Naunyn-Schmiedeberg's,http://www.springerlink.com/index/7197p6044333w057.pdf,PARKINSONS DISEASE
Radiological assessment of dysphagia in Parkinson's disease,"['J Stroudley', 'M Walsh']",1991,116,The British Journal of Radiology,http://www.birpublications.org/doi/abs/10.1259/0007-1285-64-766-890,PARKINSONS DISEASE
Parkinsons Disease-redox mechanisms,"['J Adams Jr', 'ML Chang']",2001,149,Current medicinal,http://www.ingentaconnect.com/content/ben/cmc/2001/00000008/00000007/art00008,PARKINSONS DISEASE
Characteristics of visual hallucinations in Parkinson disease dementia and dementia with lewy bodies,"['UP Mosimann', 'EN Rowan', 'CE Partington']",2006,147,The American journal of,http://www.sciencedirect.com/science/article/pii/S1064748112605466,PARKINSONS DISEASE
L-DOPA THERAPY IN PARKINSONS DISEASE-A CRITICAL REVIEW OF 9 YEARS EXPERIENCE,['A Barbeau'],1969,192,Canadian Medical Association,,PARKINSONS DISEASE
A longitudinal of Parkinson's disease: clinical and neuropsychological correlates of dementia,"['WGJ Reid', 'MA Hely', 'JGL Morris', 'GA Broe']",1996,85,Journal of Clinical,http://www.sciencedirect.com/science/article/pii/S0967586896900284,PARKINSONS DISEASE
"Dopaminergic dysbalance in distinct basal ganglia neurocircuits: implications for the pathophysiology of Parkinson's disease, schizophrenia and attention deficit","['C Mehler-Wex', 'P Riederer', 'M Gerlach']",2006,133,Neurotoxicity research,http://link.springer.com/article/10.1007/BF03033354,PARKINSONS DISEASE
Prevalence of bladder dysfunction in Parkinsons disease,"['K Winge', 'AM Skau', 'H Stimpel']",2006,98,Neurourology and,http://onlinelibrary.wiley.com/doi/10.1002/nau.20193/full,PARKINSONS DISEASE
