Title,Authors,Year,Citations,Journal,Link,Topic
Leadership guide to patient safety,"['', 'M Bisognano', 'C Haraden', 'SII Guide Patient']",2006,102,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.726.7296,PATIENT SAFETY
Infection control--a problem for patient safety,['JP Burke'],2003,1170,The New England journal of medicine,http://www.ccmpitt.com/ebm/infectious_disease/215-%20NNIS%20INfection%20Control.pdf,PATIENT SAFETY
Deficits in communication and information transfer between hospital-based and primary care physicians: implications for patient safety and continuity of care,"['S Kripalani', 'F LeFevre', 'CO Phillips', 'MV Williams']",2007,1398,Jama,http://jamanetwork.com/journals/jama/fullarticle/205790,PATIENT SAFETY
Making health care safer: a critical analysis of patient safety practices,"['KG Shojania', 'BW Duncan', 'KM McDonald']",2001,961,Evid Rep Technol,http://somaaccess.net/ptsafety.pdf,PATIENT SAFETY
The Joint Commission announces 2014 national patient safety goal,['BP Excellence'],2013,535,Joint Commission Perspectives,,PATIENT SAFETY
The working hours of hospital staff nurses and patient safety,"['AE Rogers', 'WT Hwang', 'LD Scott', 'LH Aiken']",2004,950,Health affairs,,PATIENT SAFETY
Gaps in the continuity of care and progress on patient safety,"['RI Cook', 'M Render', 'DD Woods']",2000,601,BMJ: British Medical Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1117777/,PATIENT SAFETY
Measuring patient safety climate: a review of surveys,"['JB Colla', 'AC Bracken', 'LM Kinney']",2005,607,safety in health care,http://qualitysafety.bmj.com/content/14/5/364.short,PATIENT SAFETY
Safety culture assessment: a tool for improving patient safety in healthcare organizations,"['VF Nieva', 'J Sorra']",2003,821,Quality and Safety in Health Care,http://qualitysafety.bmj.com/content/12/suppl_2/ii17.short,PATIENT SAFETY
"Patient safety, satisfaction, and quality of hospital care: cross sectional surveys of nurses and patients in 12 countries in Europe and the United States","['LH Aiken', 'W Sermeus', 'K Van den Heede', 'DM Sloane']",2012,898,Bmj,http://www.bmj.com/content/344/bmj.e1717.short,PATIENT SAFETY
A systematic review of evidence on the links between patient experience and clinical safety and effectiveness,"['C Doyle', 'L Lennox', 'D Bell']",2013,428,BMJ open,http://bmjopen.bmj.com/content/3/1/e001570.short,PATIENT SAFETY
Patient safety: achieving a new standard for care,"['SM Erickson', 'J Wolcott', 'JM Corrigan', 'P Aspden']",2003,646,,https://books.google.com/books?hl=en&lr=&id=OLwTgUaxop4C&oi=fnd&pg=PT23&dq=PATIENT+SAFETY&ots=GQ1GsxUbn-&sig=H2hoiPOQjoyGH9Ak1xd8JZ7k0BI,PATIENT SAFETY
The JCAHO patient safety event taxonomy: a standardized terminology and classification schema for near misses and adverse events,"['A Chang', 'PM Schyve', 'RJ Croteau']",2005,360,Journal for Quality in,https://academic.oup.com/intqhc/article-abstract/17/2/95/1794432,PATIENT SAFETY
Safe but sound: patient safety meets evidence-based medicine,"['KG Shojania', 'BW Duncan', 'KM McDonald', 'RM Wachter']",2002,246,JAMA,http://jamanetwork.com/journals/jama/fullarticle/195134,PATIENT SAFETY
"Patient safety at ten: unmistakable progress, troubling gaps",['RM Wachter'],2009,366,Health affairs,http://www.healthaffairs.org/doi/abs/10.1377/hlthaff.2009.0785,PATIENT SAFETY
Religion and culture: potential undercurrents influencing hand hygiene promotion in health care,"['', 'L Donaldson', 'D Pittet', 'WHOGP Safety']",2009,62,American journal of,http://www.sciencedirect.com/science/article/pii/S0196655308004896,PATIENT SAFETY
implementation of the Department of Veterans Affairs' National Surgical Quality Improvement Program in the private sector: the patient safety in surgery study,"['SF Khuri', 'WG Henderson', 'J Daley', 'O Jonasson']",2008,363,Annals of,http://journals.lww.com/annalsofsurgery/Abstract/2008/08000/Successful_Implementation_of_the_Department_of.25.aspx,PATIENT SAFETY
Administrative data based patient safety research: a critical review,"['C Zhan', 'MR Miller']",2003,309,Quality and Safety in Health Care,http://qualitysafety.bmj.com/content/12/suppl_2/ii58.short,PATIENT SAFETY
What is patient safety culture? A review of the literature,"['CE Sammer', 'K Lykens', 'KP Singh']",2010,365,Journal of Nursing,http://onlinelibrary.wiley.com/doi/10.1111/j.1547-5069.2009.01330.x/full,PATIENT SAFETY
Improving patient safety by identifying side effects from introducing bar coding in medication administration,"['ES Patterson', 'RI Cook']",2002,394,Journal of the American,https://academic.oup.com/jamia/article-abstract/9/5/540/716922,PATIENT SAFETY
Patient safety: what about the patient?,"['CA Vincent', 'A Coulter']",2002,699,Quality and Safety in Health Care,http://qualitysafety.bmj.com/content/11/1/76.short,PATIENT SAFETY
"The patient safety in surgery study: background, study design, and patient populations","['', 'RM Mentzer', 'JE Steeger', 'PSI of the Patient']",2007,286,Journal of the American,http://www.sciencedirect.com/science/article/pii/S1072751507005017,PATIENT SAFETY
Work system design for patient safety: the SEIPS model,"['P Carayon', 'AS Hundt', 'BT Karsh']",2006,675,Quality & Safety,http://qualitysafety.bmj.com/content/15/suppl_1/i50.short,PATIENT SAFETY
What practices will most improve safety?: evidence-based medicine meets patient safety,"['LL Leape', 'DM Berwick', 'DW Bates']",2002,687,Jama,http://jamanetwork.com/journals/jama/fullarticle/195135,PATIENT SAFETY
Emergency department overcrowding in the United States: an emerging threat to patient safety and public health,"['S Trzeciak', 'EP Rivers']",2003,654,Emergency medicine journal,http://emj.bmj.com/content/20/5/402.short,PATIENT SAFETY
Teamwork and patient safety in dynamic domains of healthcare: a review of the literature,['T Manser'],2009,701,Acta Anaesthesiologica Scandinavica,http://onlinelibrary.wiley.com/doi/10.1111/j.1399-6576.2008.01717.x/full,PATIENT SAFETY
Anaesthesiology as a model for patient safety in health care,['DM Gaba'],2000,511,BMJ: British Medical Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1117775/,PATIENT SAFETY
The impact of nursing work environments on patient safety outcomes: The mediating role of burnout engagement,"['HKS Laschinger', 'MP Leiter']",2006,674,Journal of Nursing Administration,http://journals.lww.com/jonajournal/Abstract/2006/05000/The_Impact_of_Nursing_Work_Environments_on_Patient.19.aspx,PATIENT SAFETY
System changes to improve patient safety,['TW Nolan'],2000,526,BMJ: British Medical Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1117771/,PATIENT SAFETY
Understanding patient safety,['R Wachter'],2012,289,,,PATIENT SAFETY
