Title,Authors,Year,Citations,Journal,Link,Topic
The golden peaches of Samarkand: a study of Tang exotics,['EH Schafer'],1963,566,,https://books.google.com/books?hl=en&lr=&id=jqAGIL02BWQC&oi=fnd&pg=PA1&dq=PEACHES&ots=dIrS-cpLz7&sig=GXEXo9RKfMOq4iYz01wHcv_3ifI,PEACHES
"HPLC DAD ESIMS analysis of phenolic compounds in nectarines, peaches, and plums","['FA Toms-Barbern', 'MI Gil', 'P Cremin']",2001,555,Journal of Agricultural,http://pubs.acs.org/doi/abs/10.1021/jf0104681,PEACHES
Determination of sugar content in intact peaches by near infrared spectroscopy with fiber optics in interactance mode,"['S Kawano', 'H Watanabe', 'M Iwamoto']",1992,291,Journal of the Japanese,https://www.jstage.jst.go.jp/article/jjshs1925/61/2/61_2_445/_article/-char/ja/,PEACHES
Peroxidase and polyphenol oxidase activities in developing peaches,"['WH FLURKEY', 'JJ JEN']",1978,220,Journal of Food Science,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2621.1978.tb07424.x/full,PEACHES
Volatile compound production during growth and ripening of peaches and nectarines,"['C Visai', 'M Vanoli']",1997,147,Scientia Horticulturae,http://www.sciencedirect.com/science/article/pii/S0304423897000320,PEACHES
Postharvest physiology of peaches and nectarines,"['RE Lill', ""EM O'Donoghue""]",1989,202,Reviews,http://onlinelibrary.wiley.com/doi/10.1002/9781118060841.ch10/summary,PEACHES
Role of pectinesterase and polygalacturonase in the formation of woolliness in peaches,"['RW Buescher', 'RJ Furmanski']",1978,175,Journal of Food Science,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2621.1978.tb09788.x/full,PEACHES
Nondestructive determination of internal quality in peaches and nectarines,['DC Slaughter'],1995,241,Transactions of the ASAE,https://elibrary.asabe.org/azdez.asp?AID=27874&t=2,PEACHES
Alternating antipyretics: antipyretic efficacy of acetaminophen versus acetaminophen alternated with ibuprofen in children,"['LC Kramer', 'PA Richards', 'AM Thompson']",2008,43,Clinical,http://journals.sagepub.com/doi/abs/10.1177/0009922808319967,PEACHES
Effects of continuous 0.3 ppm ozone exposure on decay development and physiological responses of peaches and table grapes in cold storage,"['L Palou', 'CH Crisosto', 'JL Smilanick']",2002,235,Postharvest biology and,http://www.sciencedirect.com/science/article/pii/S0925521401001181,PEACHES
