Title,Authors,Year,Citations,Journal,Link,Topic
Motivated irrationality,['DF Pears'],1984,415,,https://philpapers.org/rec/PEAMI,PEARS
The False Prison Volume Two,['D Pears'],1968,445,Philosophical Review,"http://uwch-4.humanities.washington.edu/Texts/JOSH-H/Philosophy%20Guides,%20Analysis'%20and%20Resources%20(ver.2)/The%20False%20Prison%20-%20A%20Study%20of%20the%20Development%20of%20Wittgenstein's%20Philosophy%20Volume%202.pdf",PEARS
Childhood temperament and family environment as predictors of internalizing and externalizing trajectories from ages 5 to 17,"['LD Leve', 'HK Kim', 'KC Pears']",2005,454,Journal of abnormal child psychology,http://link.springer.com/article/10.1007/s10802-005-6734-7,PEARS
Intergenerational transmission of abuse: A two-generational prospective study of an at-risk sample,"['KC Pears', 'DM Capaldi']",2001,437,Child abuse & neglect,http://www.sciencedirect.com/science/article/pii/S0145213401002861,PEARS
A survey of literature on the teaching of introductory programming,"['A Pears', 'S Seidman', 'L Malmi', 'L Mannila', 'E Adams']",2007,372,ACM SIGCSE,http://dl.acm.org/citation.cfm?id=1345441,PEARS
Dimension theory of general spaces,['AR Pears'],1975,334,,,PEARS
Protein kinase Ca family affair,"['', 'G Kour', 'RM Marais', 'F Mitchell', 'C Pears']",1989,304,Molecular and cellular,http://www.sciencedirect.com/science/article/pii/0303720789901597,PEARS
Writing games: Multicultural case studies of academic literacy practices in higher education,['CP Casanave'],2005,433,,https://books.google.com/books?hl=en&lr=&id=r7ORAgAAQBAJ&oi=fnd&pg=PP1&dq=PEARS&ots=HPWJqjlWQZ&sig=2aXFjrKPUi1D8ABBwc9zbSlySmk,PEARS
The early intervention foster care program: Permanent placement outcomes from a randomized trial,"['PA Fisher', 'B Burraston', 'K Pears']",2005,263,Child maltreatment,http://journals.sagepub.com/doi/abs/10.1177/1077559504271561,PEARS
Effect of rosuvastatin on low-density lipoprotein cholesterol in patients with hypercholesterolemia,"['AG Olsson', 'J Pears', 'J McKellar', 'J Mizan']",2001,238,The American journal of,http://www.sciencedirect.com/science/article/pii/S0002914901017271,PEARS
"Developmental, cognitive, and neuropsychological functioning in preschool-aged foster children: Associations with prior maltreatment and placement history","['K Pears', 'PA Fisher']",2005,220,Journal of Developmental & Behavioral,"http://journals.lww.com/jrnldbp/Abstract/2005/04000/Developmental,_Cognitive,_and_Neuropsychological.6.aspx",PEARS
Morning cortisol Levels in preschoolaged foster children: Differential effects of maltreatment type,"['J Bruce', 'PA Fisher', 'KC Pears']",2009,228,Developmental,http://onlinelibrary.wiley.com/doi/10.1002/dev.20333/full,PEARS
"Effects of therapeutic interventions for foster children on behavioral problems, caregiver attachment, and stress regulatory neural systems","['', 'M Dozier', 'J Bruce', 'KC Pears']",2006,218,Annals of the New,http://onlinelibrary.wiley.com/doi/10.1196/annals.1376.023/full,PEARS
"Demographics, parenting, and theory of mind in preschool children","['KC Pears', 'LJ Moses']",2003,197,Social Development,http://onlinelibrary.wiley.com/doi/10.1111/1467-9507.00219/full,PEARS
Continuity of parenting practices across generations in an at-risk sample: A prospective comparison of direct and mediated associations,"['DM Capaldi', 'KC Pears', 'GR Patterson']",2003,215,Journal of abnormal child,http://www.springerlink.com/index/GJ812Q6371Q6T557.pdf,PEARS
Effects of rosuvastatin and atorvastatin compared over 52 weeks of treatment in patients with hypercholesterolemia,"['', 'J Tuomilehto', 'O Wiklund', 'H Southworth', 'J Pears']",2002,199,American Heart,http://www.sciencedirect.com/science/article/pii/S0002870302002296,PEARS
Psychosocial and cognitive functioning of children with specific profiles of maltreatment,"['KC Pears', 'HK Kim', 'PA Fisher']",2008,213,Child abuse & neglect,http://www.sciencedirect.com/science/article/pii/S0145213408001671,PEARS
Molecular computational elements encode large populations of small objects,"['AP De Silva', 'MR James', 'BOF McKinney', 'DA Pears']",2006,190,Nature materials,https://www.nature.com/nmat/journal/v5/n10/abs/nmat1733.html,PEARS
Becoming an adolescent father: precursors and parenting,"['BI Fagot', 'KC Pears', 'DM Capaldi', 'L Crosby']",1998,186,Developmental,http://psycnet.apa.org/journals/dev/34/6/1209/,PEARS
Emotion understanding and theory of mind among maltreated children in foster care: Evidence of deficits,"['KC Pears', 'PA Fisher']",2005,194,Development and Psychopathology,https://www.cambridge.org/core/journals/development-and-psychopathology/article/emotion-understanding-and-theory-of-mind-among-maltreated-children-in-foster-care-evidence-of-deficits/573E7AC0822731BAFF695CDA941AE2AD,PEARS
Rosuvastatin-induced arrest in progression of renal disease,"['DG Vidt', 'MD Cressman', 'S Harris', 'JS Pears']",2004,191,Cardiology,http://www.karger.com/article/pdf/77704,PEARS
The Discovery of Painting the Growth of Interest in the Arts in England 1680-1768,['I Pears'],1988,170,,https://philpapers.org/rec/PEATDO-5,PEARS
The revolution in Philosophy,"['AJ Ayer', 'WC Kneale', 'GA Paul', 'DF Pears', 'PF Strawson']",1957,95,,https://philpapers.org/rec/AYETRI-4,PEARS
Safety of rosuvastatin,"['', 'EA Stein', 'JJP Kastelein', 'S Harris', 'J Pears']",2004,157,The American journal of,http://www.sciencedirect.com/science/article/pii/S0002914904009774,PEARS
Tractatus Logico-Philosophicus (trans. Pears and McGuinness),['L Wittgenstein'],1961,1672,,https://philpapers.org/rec/WITTLE,PEARS
Lesions of the orbitofrontal but not medial prefrontal cortex disrupt conditioned reinforcement in primates,"['A Pears', 'JA Parkinson', 'L Hopewell']",2003,139,Journal of,http://www.jneurosci.org/content/23/35/11189.short,PEARS
Mutagenesis of the pseudosubstrate site of protein kinase C leads to activation,"['CJ PEARS', 'G KOUR', 'C HOUSE', 'BE KEMP']",1990,145,The FEBS,http://onlinelibrary.wiley.com/doi/10.1111/j.1432-1033.1990.tb19431.x/full,PEARS
Bertrand Russell and the British tradition in philosophy,['DF Pears'],1967,141,,https://philpapers.org/rec/PEABRA,PEARS
Hume's system: an examination of the first book of his Treatise,['DF Pears'],1990,103,,https://philpapers.org/rec/PEAHSA,PEARS
High resolution 1H NMR-based metabolomics indicates a neurotransmitter cycling deficit in cerebral tissue from a mouse model of Batten disease,"['MR Pears', 'JD Cooper', 'HM Mitchison']",2005,137,Journal of Biological,http://www.jbc.org/content/280/52/42508.short,PEARS
Studies on the phosphorylation of protein kinase C-,"['C Pears', 'S Stabel', 'S Cazaubon', 'PJ Parker']",1992,106,Biochemical Journal,http://www.biochemj.org/content/283/2/515.abstract,PEARS
Recyclable polyurea-microencapsulated Pd (0) nanoparticles: an efficient catalyst for hydrogenolysis of epoxides,"['SV Ley', 'C Mitchell', 'D Pears', 'C Ramarao', 'JQ Yu']",2003,122,Organic,http://pubs.acs.org/doi/abs/10.1021/ol0358509,PEARS
Nodule formation and desmoplasia in medulloblastomasdefining the nodular/desmoplastic variant and its biological behavior,"['CS McManamy', 'J Pears', 'CL Weston', 'Z Hanzely']",2007,126,Brain,http://onlinelibrary.wiley.com/doi/10.1111/j.1750-3639.2007.00058.x/full,PEARS
Transitive inferences by young children about spatial position,"['R Pears', 'P Bryant']",1990,116,British Journal of Psychology,http://onlinelibrary.wiley.com/doi/10.1111/j.2044-8295.1990.tb02375.x/full,PEARS
Basic biogeography,['NV Pears'],2014,76,,https://books.google.com/books?hl=en&lr=&id=aXoABAAAQBAJ&oi=fnd&pg=PP1&dq=PEARS&ots=VIfkkD-03s&sig=8J9-4MzDI_9CT2irPujkjdo0osc,PEARS
