Title,Authors,Year,Citations,Journal,Link,Topic
La psychologie de l'intelligence,['J Piaget'],2012,9040,,https://books.google.com/books?hl=en&lr=&id=fPU0BwAAQBAJ&oi=fnd&pg=PT9&dq=PSYCHOLOGIE&ots=uWuFj4ygyG&sig=EHiTY8on3vhXPwg2FPoUYuxUI_8,PSYCHOLOGIE
Psychologie et pistmologie,['J Piaget'],1970,1500,,,PSYCHOLOGIE
La psychologie de l'enfant,"['J Piaget', 'B Inhelder']",1975,1096,,http://imb-biblio.u-bourgogne.fr/Record.htm?record=871512469979,PSYCHOLOGIE
Mythe Et Pense Chez les Grecs tudes de Psychologie Historique,['JP Vernant'],1965,1386,,https://philpapers.org/rec/VERMEP-2,PSYCHOLOGIE
Psychologie sociale,"['S Moscovici', 'JC Abric']",1984,1402,,,PSYCHOLOGIE
Psychologie des foules,['G Le Bon'],1900,1725,,https://books.google.com/books?hl=en&lr=&id=ToU0AQAAMAAJ&oi=fnd&pg=PR1&dq=PSYCHOLOGIE&ots=K3TgnSk9G6&sig=0v389EDaD_l-14rMGMEiPhASCiU,PSYCHOLOGIE
Six tudes de psychologie,['J Piaget'],1987,649,,,PSYCHOLOGIE
Esquisse d'une psychologie,['S Freud'],2011,934,,,PSYCHOLOGIE
Psychologie sociale des relations  autrui,['S Moscovici'],2015,1213,,https://www.researchgate.net/profile/Serge_Moscovici/publication/266141449_Psychologie_sociale_des_relations_a_autrui/links/55f7379008ae07629dc277b7/Psychologie-sociale-des-relations-a-autrui.pdf,PSYCHOLOGIE
L'imaginaire. Psychologie phnomnologique de l'imagination,['JP Sartre'],2017,994,,,PSYCHOLOGIE
Car la culture donne forme  l'esprit: de la rvolution cognitive  la psychologie culturelle,['J Bruner'],2015,322,,,PSYCHOLOGIE
Qu'est-ce que la psychologie?,['G Canguilhem'],1958,246,Revue de Mtaphysique et de Morale,http://www.jstor.org/stable/40900213,PSYCHOLOGIE
pistmologie Mathmatique Et Psychologie Essai Sur les Relations Entre la Logique Formelle Et Al Pense Relle,"['EW Beth', 'J Piaget']",1961,154,,https://philpapers.org/rec/BETPME,PSYCHOLOGIE
L'examen clinique en psychologie,['A Rey'],1958,4218,,http://psycnet.apa.org/psycinfo/1959-03776-000,PSYCHOLOGIE
Histoire de la psychologie franaise: naissance d'une nouvelle science,['S Nicolas'],2002,85,,,PSYCHOLOGIE
La signification historique de la crise en psychologie,"['LS Vygotski', 'J Friedrich', 'JP Bronckart']",2010,165,,https://hal.archives-ouvertes.fr/halshs-00736691/,PSYCHOLOGIE
Les grands notables en France (1840-1849): tude historique d'une psychologie sociale,['AJ Tudesq'],1964,198,,,PSYCHOLOGIE
Trait de psychologie des motions,"['D Sander', 'KR Scherer']",2014,98,,http://www.cairn.info/traite-de-psychologie-des-emotions--9782100705344-page-1.htm,PSYCHOLOGIE
Psychologie des grands calculateurs et joiers d'checs,['A Binet'],1894,282,,https://books.google.com/books?hl=en&lr=&id=jCR-At8XU4UC&oi=fnd&pg=PA1&dq=PSYCHOLOGIE&ots=3ZAkuQdPvC&sig=TlD0rzNGGh77hSBZdD3C4P9fpzo,PSYCHOLOGIE
La mthode instrumentale en psychologie,['LS Vygotski'],1930,262,Vygotsky aujourd'hui,,PSYCHOLOGIE
Psychologie collective et analyse du moi,"['S Freud', 'S Janklvitch', 'S Janklvitch']",1924,1079,,http://www.psychaanalyse.com/pdf/Psycho_collective_analyse_moi_freud_livre_telechargement.pdf,PSYCHOLOGIE
Les complexes familiaux dans la formation de l'individu: essai d'analayse d'une fonction en psychologie,['J Lacan'],1984,677,,,PSYCHOLOGIE
"Psychologie de la sant: modles, concepts et mthodes",['M Bruchon-Schweitzer'],2002,561,,,PSYCHOLOGIE
Regards sur l'activit en situation de travail: contribution  la psychologie ergonomique,['J Leplat'],1997,808,,,PSYCHOLOGIE
Psychologie dynamique,['K Lewin'],1973,596,,http://archives.umc.edu.dz/handle/123456789/113111,PSYCHOLOGIE
Dictionnaire de psychologie,"['R Doron', 'D Anzieu', 'JP Bronckart']",1991,294,,http://dnspf.com/dictionnaires-langues-et-encyclopedies/dictionnaire-de-psychologie.pdf,PSYCHOLOGIE
L'explication en psychologie sociale,['W Doise'],1982,590,,,PSYCHOLOGIE
Psychologie de l'adolescence,"['R Cloutier', 'S Drapeau']",2008,326,,http://eduq.info/xmlui/handle/11515/18691,PSYCHOLOGIE
Psychologie des minorits actives,"['S Moscovici', 'A Rivire']",1996,757,,https://www.researchgate.net/profile/Serge_Moscovici/publication/266144068_Psychologie_des_Minorites_Actives/links/542bce320cf27e39fa91a3fa.pdf,PSYCHOLOGIE
Psychologie du temps,['P Fraisse'],1967,734,,http://documents.irevues.inist.fr/handle/2042/30484,PSYCHOLOGIE
