Title,Authors,Year,Citations,Journal,Link,Topic
Division afamily smoking prevention and tobacco control act,"['FS Prevention', 'R REFORM']",2009,339,Public law,http://xa.yimg.com/kq/groups/13623952/204975059/name/PUBLIC+LAW+111-31.rtf,SMOKING
Measuring degree of physical dependence to tobacco smoking with reference to individualization of treatment,['KO Fagerstrm'],1978,2273,Addictive behaviors,http://www.sciencedirect.com/science/article/pii/0306460378900242,SMOKING
Tobaccothe growing epidemic,"['S Kills', 'O Smith']",1999,203,Nature medicine,https://www.nature.com/nm/journal/v5/n1/box/nm0199_15_BX1.html,SMOKING
A'stages of change'approach to helping patients change behavior,"['LL from Smoking', 'A Cessation']",2000,344,Am Fam Physician,http://www.chan6es.com/uploads/5/0/4/8/5048463/transtheoretic_model_of_behaviour_change.docx,SMOKING
Tobacco smoke and involuntary smoking,['World Health Organization'],2004,7075,,https://www.cabdirect.org/cabdirect/abstract/20043142629,SMOKING
The health and consequences of smoking,['US Department of Health and Human'],1988,1154,Nicotine addiction: a,http://ci.nii.ac.jp/naid/10021254601/,SMOKING
"Smoking-attributable mortality, years of potential life lost, and productivity losses--United States, 2000-2004",['for Disease Control and Prevention (CDC'],2008,1141,MMWR. Morbidity and,https://www.ncbi.nlm.nih.gov/pubmed/19008791,SMOKING
"Annual smoking-attributable mortality, years of potential life lost, and economic costs--United States, 1995-1999",['for Disease Control and Prevention (CDC'],2002,985,MMWR. Morbidity and,https://www.ncbi.nlm.nih.gov/pubmed/12002168,SMOKING
Smoking in relation to the death rates of one million men and women,['EC Hammond'],1966,1256,,http://www.popline.org/node/509997,SMOKING
Mortality from smoking in developed countries 1950-2000. Indirect estimates from national statistics,"['R Peto', 'AD Lopez', 'J Boreham', 'M Thun', 'C Heath']",1994,1224,,http://books.google.com/books/about/Mortality_from_smoking_in_developed_coun.html?id=FN4YAAAAIAAJ,SMOKING
Depression and the dynamics of smoking: a national perspective,"['RF Anda', 'DF Williamson', 'LG Escobedo', 'EE Mast']",1990,1098,Jama,http://jama.jamanetwork.com/article.aspx?articleid=383333&resultclick=1,SMOKING
"Vital signs: current cigarette smoking among adults aged 18 years--United States, 2005-2010",['for Disease Control and Prevention (CDC'],2011,386,MMWR. Morbidity and,https://www.ncbi.nlm.nih.gov/pubmed/21900875,SMOKING
Antidepressants for smoking cessation,"['JR Hughes', 'LF Stead', 'T Lancaster']",2007,1793,Cochrane Database Syst,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD000031.pub3/full,SMOKING
Nicotine replacement therapy for smoking cessation,"['LF Stead', 'R Perera', 'C Bullen', 'D Mant']",2008,1805,Database Syst Rev,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD000146.pub3/full,SMOKING
Measuring processes of change: applications to the cessation of smoking,"['JO Prochaska', 'WF Velicer']",1988,1268,Journal of consulting,http://psycnet.apa.org/journals/ccp/56/4/520/,SMOKING
Effect of diet and smoking intervention on the incidence of coronary heart disease: report from the Oslo Study Group of a randomised trial in healthy men,"['I Hjermann', 'I Holme', 'KV Byre', 'P Leren']",1981,1282,The Lancet,http://www.sciencedirect.com/science/article/pii/S0140673681913386,SMOKING
Effect of smoke-free workplaces on smoking behaviour: systematic review,"['CM Fichtenberg', 'SA Glantz']",2002,1209,Bmj,http://www.bmj.com/content/325/7357/188.short,SMOKING
Effect of general practitioners9 advice against smoking,"['MAH Russell', 'C Wilson', 'C Taylor', 'CD Baker']",1979,1101,Br Med J,http://www.bmj.com/content/bmj/2/6184/231.full.pdf,SMOKING
The effects of a smoking cessation intervention on 14.5-year mortalitya randomized clinical trial,"['NR Anthonisen', 'MA Skeans', 'RA Wise']",2005,1258,Annals of internal,http://annals.org/aim/article/718212/effects-smoking-cessation-intervention-14-5-year-mortality-randomized-clinical,SMOKING
"Cigarette smoking among adults--United States, 2000",['for Disease Control and Prevention (CDC'],2002,506,MMWR. Morbidity and,https://www.ncbi.nlm.nih.gov/pubmed/12186222,SMOKING
Prevalence of smoking among psychiatric outpatients,"['JE Mitchell', 'LA Dahlgren']",1986,1210,Am J psychiatry,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.470.8010&rep=rep1&type=pdf,SMOKING
The health consequences of smoking: a report of the Surgeon General,['US Department of Health and Human Services'],2004,2411,,http://www.therapy-store.com/smoking/women__tobacco.htm,SMOKING
The health consequences of smoking50 years of progress: a report of the Surgeon General,['US Department of Health and Human'],2014,2067,,http://aahb.wildapricot.org/Resources/Pictures/Meetings/2014-Charleston/PPT%20Presentations/Sunday%20Welcome/Abrams.AAHB.3.13.v1.o.pdf,SMOKING
Self-change and therapy change of smoking behavior: A comparison of processes of change in cessation and maintenance,"['CC DiClemente', 'JO Prochaska']",1982,958,Addictive behaviors,http://www.sciencedirect.com/science/article/pii/0306460382900387,SMOKING
Mortality in relation to smoking: 50 years' observations on male British doctors,"['R Doll', 'R Peto', 'J Boreham', 'I Sutherland']",2004,3246,Bmj,http://www.bmj.com/content/328/7455/1519?variant=full-text&goto=reply,SMOKING
"Current cigarette smoking among adults-United States, 2011",['for Disease Control and Prevention (CDC'],2012,589,MMWR. Morbidity and,https://www.ncbi.nlm.nih.gov/pubmed/23134971,SMOKING
Smoking and mental illness: a population-based prevalence study,"['K Lasser', 'JW Boyd', 'S Woolhandler', 'DU Himmelstein']",2000,2298,Jama,http://jamanetwork.com/journals/jama/fullarticle/193305,SMOKING
Non-smoking wives of heavy smokes have a higher risk of lung cancer: a study from Japan,['T Hirayama'],2000,1122,Bulletin of the World Health Organization,http://www.scielosp.org/scielo.php?pid=S0042-96862000000700013&script=sci_arttext,SMOKING
The health consequences of smoking50 years of progress: a report of the surgeon general,['S General'],2014,2443,US Department of Health and Human Services,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.653.9865,SMOKING
"Quitting smoking among adults--United States, 2001-2010",['for Disease Control and Prevention (CDC'],2011,553,MMWR. Morbidity and,https://www.ncbi.nlm.nih.gov/pubmed/22071589,SMOKING
