Title,Authors,Year,Citations,Journal,Link,Topic
Centrality in social networks conceptual clarification,['LC Freeman'],1978,1257,Social networks,http://www.sciencedirect.com/science/article/pii/0378873378900217,SOCIAL NETWORKS
An introduction to exponential random graph (p*) models for social networks,"['G Robins', 'P Pattison', 'Y Kalish', 'D Lusher']",2007,1192,Social networks,http://www.sciencedirect.com/science/article/pii/S0378873306000372,SOCIAL NETWORKS
Recent developments in exponential random graph (p*) models for social networks,"['G Robins', 'T Snijders', 'P Wang', 'M Handcock', 'P Pattison']",2007,637,Social networks,http://www.sciencedirect.com/science/article/pii/S0378873306000384,SOCIAL NETWORKS
Effects of missing data in social networks,['G Kossinets'],2006,622,Social networks,http://www.sciencedirect.com/science/article/pii/S0378873305000511,SOCIAL NETWORKS
Social resources and socioeconomic status,"['KE Campbell', 'PV Marsden', 'JS Hurlbert']",1986,671,Social networks,http://www.sciencedirect.com/science/article/pii/S037887338680017X,SOCIAL NETWORKS
Community structure in social and biological networks,"['M Girvan', 'MEJ Newman']",2002,1045,Proceedings of the national,http://www.pnas.org/content/99/12/7821.short,SOCIAL NETWORKS
Rethinking centrality: Methods and examples,"['K Stephenson', 'M Zelen']",1989,735,Social networks,http://www.sciencedirect.com/science/article/pii/0378873389900166,SOCIAL NETWORKS
Centrality in social networks: II. Experimental results,"['LC Freeman', 'D Roeder', 'RR Mulholland']",1979,343,Social networks,http://www.sciencedirect.com/science/article/pii/0378873379900029,SOCIAL NETWORKS
A p* primer: logit models for social networks,"['CJ Anderson', 'S Wasserman', 'B Crouch']",1999,356,Social networks,http://www.sciencedirect.com/science/article/pii/S0378873398000124,SOCIAL NETWORKS
Information flow through strong and weak ties in intraorganizational social networks,['NE Friedkin'],1982,304,Social networks,http://www.sciencedirect.com/science/article/pii/037887338290003X,SOCIAL NETWORKS
Social networks as normal science,"['NP Hummon', 'K Carley']",1993,150,Social networks,http://www.sciencedirect.com/science/article/pii/037887339390022D,SOCIAL NETWORKS
A note on social capital and network content,['RS Burt'],1997,602,Social networks,http://www.sciencedirect.com/science/article/pii/S0378873397000038,SOCIAL NETWORKS
Identity and search in social networks,"['DJ Watts', 'PS Dodds', 'MEJ Newman']",2002,1125,science,http://science.sciencemag.org/content/296/5571/1302.short,SOCIAL NETWORKS
Structure and evolution of online social networks,"['R Kumar', 'J Novak', 'A Tomkins']",2010,1535,Link mining: models,http://link.springer.com/chapter/10.1007/978-1-4419-6515-8_13,SOCIAL NETWORKS
The stability of centrality measures when networks are sampled,"['E Costenbader', 'TW Valente']",2003,526,Social networks,http://www.sciencedirect.com/science/article/pii/S0378873303000121,SOCIAL NETWORKS
The network is personal: Introduction to a special issue of Social Networks,['B Wellman'],2007,125,Social networks,,SOCIAL NETWORKS
"Group formation in large social networks: membership, growth, and evolution","['L Backstrom', 'D Huttenlocher', 'J Kleinberg']",2006,1747,Proceedings of the 12th,http://dl.acm.org/citation.cfm?id=1150412,SOCIAL NETWORKS
Social networks and status attainment,['N Lin'],1999,2362,Annual review of sociology,http://www.annualreviews.org/doi/abs/10.1146/annurev.soc.25.1.467,SOCIAL NETWORKS
Women's participation in the labor force: the role of social networks,"['JA Stoloff', 'JL Glanville', 'EJ Bienenstock']",1999,136,Social networks,http://www.sciencedirect.com/science/article/pii/S0378873399000039,SOCIAL NETWORKS
The impact of social and human capital on the income attainment of Dutch managers,"['EAW Boxman', 'PM De Graaf', 'HD Flap']",1991,579,Social networks,http://www.sciencedirect.com/science/article/pii/037887339190013J,SOCIAL NETWORKS
"Social networks, host resistance, and mortality: a nine-year follow-up study of Alameda County residents","['LF Berkman', 'SL Syme']",1979,6038,American journal of Epidemiology,https://academic.oup.com/aje/article-abstract/109/2/186/74197,SOCIAL NETWORKS
Birds of a feather: Homophily in social networks,"['M McPherson', 'L Smith-Lovin']",2001,1111,Annual review of,http://www.annualreviews.org/doi/abs/10.1146/annurev.soc.27.1.415,SOCIAL NETWORKS
Are social networks technologically embedded?: How networks are changing today with changes in communication technology,"['C Licoppe', 'Z Smoreda']",2005,316,Social networks,http://www.sciencedirect.com/science/article/pii/S0378873304000619,SOCIAL NETWORKS
Forgetting in the recall-based elicitation of personal and social networks,['DD Brewer'],2000,260,Social networks,http://www.sciencedirect.com/science/article/pii/S0378873399000179,SOCIAL NETWORKS
Node centrality in weighted networks: Generalizing degree and shortest paths,"['T Opsahl', 'F Agneessens', 'J Skvoretz']",2010,1271,Social networks,http://www.sciencedirect.com/science/article/pii/S0378873310000183,SOCIAL NETWORKS
Personality correlates of structural holes,"['RS Burt', 'JE Jannotta', 'JT Mahoney']",1998,415,Social Networks,http://www.sciencedirect.com/science/article/pii/S0378873397000051,SOCIAL NETWORKS
Personal networks and social support in a multiethnic community of southern California,"['T Schweizer', 'M Schnegg', 'S Berzborn']",1998,164,Social networks,http://www.sciencedirect.com/science/article/pii/S0378873396003048,SOCIAL NETWORKS
Curved exponential family models for social networks,['DR Hunter'],2007,253,Social networks,http://www.sciencedirect.com/science/article/pii/S0378873306000396,SOCIAL NETWORKS
Comparing four different methods for measuring personal social networks,"['HR Bernard', 'EC Johnsen', 'PD Killworth', 'C McCarty']",1990,247,Social networks,http://www.sciencedirect.com/science/article/pii/037887339090005T,SOCIAL NETWORKS
The linkprediction problem for social networks,"['D LibenNowell', 'J Kleinberg']",2007,3548,journal of the Association for,http://onlinelibrary.wiley.com/doi/10.1002/asi.20591/full,SOCIAL NETWORKS
