Title,Authors,Year,Citations,Journal,Link,Topic
The visual word form area: spatial and temporal characterization of an initial stage of reading in normal subjects and posterior split-brain patients,"['L Cohen', 'S Dehaene', 'L Naccache', 'S Lehricy']",2000,1542,Brain,https://academic.oup.com/brain/article-abstract/123/2/291/346042,SPLIT BRAIN
"Cerebral control of contralateral and ipsilateral arm, hand and finger movements in the split-brain rhesus monkey","['J Brinkman', 'H Kuypers']",1973,538,Brain,https://academic.oup.com/brain/article-abstract/96/4/653/314285,SPLIT BRAIN
The bisected brain,['MS Gazzaniga'],1970,1667,,,SPLIT BRAIN
The split brain in man,['MS Gazzaniga'],1967,553,Scientific American,http://www.academia.edu/download/43323119/scientificamerican0867-24.pdf,SPLIT BRAIN
[DOC][DOC] The split brain revisited,['MS Gazzaniga'],1998,307,Scientific American,http://ww2.d155.org/pr/tdirectory/CWadlington/Shared%20Documents/Advanced%20Placement%20Psychology/Unit%203B/The_Split_Brain_Revisited%20Read%20this.doc,SPLIT BRAIN
"Left brain, right brain: Perspectives from cognitive neuroscience","['SP Springer', 'G Deutsch']",1998,509,,http://psycnet.apa.org/psycinfo/1997-36771-000,SPLIT BRAIN
Metacontrol of hemispheric function in human split-brain patients,"['J Levy', 'C Trevarthen']",1976,361,Journal of Experimental Psychology,http://psycnet.apa.org/journals/xhp/2/3/299/,SPLIT BRAIN
Forty-five years of split-brain research and still going strong,['MS Gazzaniga'],2005,333,Nature Reviews Neuroscience,https://www.nature.com/nrn/journal/v6/n8/abs/nrn1740.html,SPLIT BRAIN
Principles of human brain organization derived from split-brain studies,['MS Gazzaniga'],1995,215,Neuron,http://www.sciencedirect.com/science/article/pii/0896627395902805,SPLIT BRAIN
Mike or me? Self-recognition in a split-brain patient,"['DJ Turk', 'TF Heatherton', 'WM Kelley', 'MG Funnell']",2002,211,Nature,https://www.nature.com/neuro/journal/v5/n9/abs/nn907.html,SPLIT BRAIN
Split-brain approach to learning problems,['RW Sperry'],1967,94,The neu,http://people.uncw.edu/puente/sperry/sperrypapers/60s/130-1967.pdf,SPLIT BRAIN
Covert orienting in the split brain reveals hemispheric specialization for object-based attention,"['R Egly', 'R Rafal', 'J Driver']",1994,75,Psychological,http://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.1994.tb00289.x,SPLIT BRAIN
"Successful interocular transfer of pattern discrimination in"" split-brain'cats with shock-avoidance motivation",['JA Sechzer'],1964,57,Journal of comparative and physiological psychology,http://psycnet.apa.org/journals/com/58/1/76/,SPLIT BRAIN
The Oxford companion to the mind,"['RL Gregory', 'OL Zangwill']",1987,949,,http://psycnet.apa.org/psycinfo/1987-98496-000,SPLIT BRAIN
Visuomotor integration in split-brain monkeys with other cerebral lesions,['MS Gazzaniga'],1966,60,Experimental neurology,http://www.sciencedirect.com/science/article/pii/0014488666900653,SPLIT BRAIN
The case for mental duality: Evidence from split-brain data and other considerations,['R Puccetti'],1981,148,Behavioral and Brain Sciences,https://www.cambridge.org/core/journals/behavioral-and-brain-sciences/article/the-case-for-mental-duality-evidence-from-split-brain-data-and-other-considerations/CCC275C97E2E658D56F9BF3CA7463DE4,SPLIT BRAIN
Learning deficits following hippocampal lesions in split-brain cats,"['DB Webster', 'TJ Voneida']",1964,75,Experimental Neurology,http://www.sciencedirect.com/science/article/pii/0014488664900949,SPLIT BRAIN
Channels of the corpus callosum Evidence from simple reaction times to lateralized flashes in the normal and the split brain,"['M Iacoboni', 'E Zaidel']",1995,86,Brain,https://academic.oup.com/brain/article-abstract/118/3/779/321799,SPLIT BRAIN
Brain asymmetry,"['RJ Davidson', 'K Hugdahl']",1996,1249,,https://books.google.com/books?hl=en&lr=&id=1G6p80GQnOUC&oi=fnd&pg=PR11&dq=SPLIT+BRAIN&ots=0iO92hSaja&sig=8A2le4pnh1RyzyHl_CVyJViwZig,SPLIT BRAIN
Right-hemisphere memory superiority: Studies of a split-brain patient,"['J Metcalfe', 'M Funnell']",1995,132,Psychological Science,http://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.1995.tb00325.x,SPLIT BRAIN
Independent hemispheric attentional systems mediate visual search in split-brain patients,"['SJ Luck', 'SA Hillyard', 'GR Mangun', 'MS Gazzaniga']",1989,200,Nature,http://link.springer.com/article/10.1038/342543a0,SPLIT BRAIN
Environmentally-specified patterns of movement coordination in normal and split-brain subjects,"['B Tuller', 'JAS Kelso']",1989,219,Experimental Brain Research,http://www.springerlink.com/index/Q10027U286151253.pdf,SPLIT BRAIN
"Left brain, right brain, Rev","['SP Springer', 'G Deutsch']",1985,1932,,http://doi.apa.org/index.cfm?fa=search.displayRecord&uid=1985-97009-000,SPLIT BRAIN
Double visual learning in split-brain monkeys,['CB Trevarthen'],1962,129,Science,http://science.sciencemag.org/content/136/3512/258.short,SPLIT BRAIN
Lateralized effects of monocular training on dendritic branching in adult split-brain rats,"['FLF Chang', 'WT Greenough']",1982,158,Brain research,http://www.sciencedirect.com/science/article/pii/0006899382902748,SPLIT BRAIN
The social brain: Discovering the networks of the mind,['MS Gazzaniga'],1985,560,,,SPLIT BRAIN
Performance by split-brain humans on lateralized vigilance tasks,['SJ Dimond'],1979,128,Cortex,http://www.sciencedirect.com/science/article/pii/S0010945279800052,SPLIT BRAIN
