Title,Authors,Year,Citations,Journal,Link,Topic
Symptomatology and functional outcome in mild traumatic brain injury: results from the prospective TRACK-TBI study,"['', 'DO Okonkwo and the TRACK-TBI']",2014,116,Journal of,http://online.liebertpub.com/doi/abs/10.1089/neu.2013.2984,TBI
Acute biomarkers of traumatic brain injury: relationship between plasma levels of ubiquitin C-terminal hydrolase-L1 and glial fibrillary acidic protein,"['', 'GT Manley and the TRACK-TBI']",2014,131,Journal of,http://online.liebertpub.com/doi/abs/10.1089/neu.2013.3040,TBI
Military TBI during the Iraq and Afghanistan wars,['D Warden'],2006,806,The Journal of head trauma rehabilitation,http://journals.lww.com/headtraumarehab/Abstract/2006/09000/Military_TBI_During_the_Iraq_and_Afghanistan_Wars.4.aspx,TBI
Hypopituitarism following traumatic brain injury (TBI): a guideline decalogue,"['FF Casanueva', 'E Ghigo', 'V Popovic', 'TBI Athens']",2004,46,Journal of,http://link.springer.com/article/10.1007/BF03347526,TBI
Obesity and serum lipids: an evaluation of the relative contribution of body fat and fat distribution to lipid levels,"['', 'J Wang', 'RN Pierson', 'TBI Van']",1987,92,journal of obesity,http://europepmc.org/abstract/med/3610468,TBI
Albumin resuscitation for traumatic brain injury: is intracranial hypertension the cause of increased mortality?,"['', 'S Vallance', 'the SAFE-TBI Investigators']",2013,77,Journal of,http://online.liebertpub.com/doi/abs/10.1089/neu.2012.2573,TBI
Articles having interchangeable and/or reversible images and containers therefor,['TBI Stevenson'],1999,76,US Patent 5,https://www.google.com/patents/US5943698,TBI
Transforming research and clinical knowledge in traumatic brain injury pilot: multicenter implementation of the common data elements for traumatic brain injury,"['', 'GT Manley and TRACK-TBI Investigators']",2013,74,Journal of,http://online.liebertpub.com/doi/abs/10.1089/neu.2013.2970,TBI
"Traumatic brain injury (TBI) 10? 20 years later: a comprehensive outcome study of psychiatric symptomatology, cognitive abilities and psychosocial functioning","['D Hoofien', 'A Gilboa', 'E Vakil', 'PJ Donovick']",2001,513,Brain injury,http://www.tandfonline.com/doi/abs/10.1080/026990501300005659,TBI
Female TBI patients recover better than males,"['Z Groswasser', 'M Cohen', 'O Keren']",1998,221,Brain Injury,http://www.tandfonline.com/doi/abs/10.1080/026990598122197,TBI
Interchanging and/or reversing various sections of articles made of fabric materials which causes partial alteration thereof,['TBI Stevenson'],1999,59,US Patent 5,https://www.google.com/patents/US5953757,TBI
Low-dose total body irradiation (TBI) and fludarabine followed by hematopoietic cell transplantation (HCT) from HLA-matched or mismatched unrelated donors and,"['D Niederwieser', 'M Maris', 'JA Shizuru', 'E Petersdorf']",2003,420,Blood,http://www.bloodjournal.org/content/101/4/1620.short,TBI
Apparel having interchangeable and reversible sections which cause alteration thereof,['TBI Stevenson'],2000,54,US Patent 6,https://www.google.com/patents/US6047404,TBI
"Traumatic brain injury in the United States; emergency department visits, hospitalizations, and deaths","['JA Langlois', 'W Rutland-Brown', 'KE Thomas']",2006,1297,,https://stacks.cdc.gov/view/cdc/12294,TBI
"A new Tc-99m-labeled myocardial imaging agent, hexakis (t-butylisonitrile)-technetium (I)[Tc-99m TBI]: initial experience in the human","['BL Holman', 'AG Jones', 'J Lister-James']",1984,262,Journal of Nuclear,https://www.researchgate.net/profile/John_Lister-James/publication/16862434_A_new_Tc-99m-labeled_myocardial_imaging_agent_hexakist-butylisonitrile-technetiumI_Tc-99m_TBI_Initial_experience_in_the_human/links/571d3fb408aee3ddc56ac7b4.pdf,TBI
Serum insulin and blood pressure in an obese population,"['', 'MU Yang', 'J Wang', 'JRN Pierson', 'TBI Van']",1986,45,journal of obesity,http://europepmc.org/abstract/med/3519484,TBI
TBI or not TBI: that is the question. Is it better to measure toe pressure than ankle pressure in diabetic patients?,"['B Brooks', 'R Dean', 'S Patel', 'B Wu']",2001,202,Diabetic,http://onlinelibrary.wiley.com/doi/10.1046/j.1464-5491.2001.00493.x/full,TBI
Melphalan and total body irradiation (TBI) versus cyclophosphamide and TBI as conditioning for allogeneic matched sibling bone marrow transplants for acute,"['G Helenglass', 'RL Powles', 'TJ McElwain']",1988,80,Bone marrow,http://europepmc.org/abstract/med/3048467,TBI
Neurocognitive outcomes and recovery after pediatric TBI: meta-analytic review of the literature,"['T Babikian', 'R Asarnow']",2009,259,,http://psycnet.apa.org/journals/neu/23/3/283/,TBI
Quality of life 10 years after a very severe traumatic brain injury (TBI): the perspective of the injured and the closest relative,['S Koskinen'],1998,228,Brain injury,http://www.tandfonline.com/doi/abs/10.1080/026990598122205,TBI
Chronic neuropathologies of single and repetitive TBI: substrates of dementia?,"['DH Smith', 'VE Johnson', 'W Stewart']",2013,263,Nature Reviews Neurology,https://www.nature.com/articles/nrneurol.2013.29,TBI
"Piaget, ou, A inteligncia em evoluo: sinopse cronolgica e vocabulrio","['J Montangero', 'D Maurice-Naville', 'TBI Marques']",1998,257,,,TBI
Outcomes evaluation in TBI Rehabilitation. Part II: measurement tools for a nationwide data system,"['KM Hall', 'MV Johnston']",1994,123,Archives of physical medicine and,http://europepmc.org/abstract/med/7993177,TBI
Mechanisms of working memory dysfunction after mild and moderate TBI: evidence from functional MRI and neurogenetics,"['TW McAllister', 'LA Flashman']",2006,225,Journal of,http://online.liebertpub.com/doi/abs/10.1089/neu.2006.23.1450,TBI
The effect of moderate to severe traumatic brain injury (TBI) on different aspects of memory: a selective review,['E Vakil'],2005,236,Journal of Clinical and Experimental Neuropsychology,http://www.tandfonline.com/doi/abs/10.1080/13803390490919245,TBI
The impact of previous traumatic brain injury on health and functioning: A TRACK-TBI study,"[""K Dams-O'Connor"", 'L Spielman', 'A Singh']",2013,33,Journal of,http://online.liebertpub.com/doi/abs/10.1089/neu.2013.3049,TBI
Symptoms and disability until 3 months after mild TBI,"['A Lundin', 'C de Boussard', 'G Edman', 'J Borg']",2006,193,Brain Injury,http://www.tandfonline.com/doi/abs/10.1080/02699050600744327,TBI
Rehabilitation and ongoing support after pediatric TBI: twenty years of progress,"['M Ylvisaker', 'PD Adelson', 'LW Braga']",2005,171,The Journal of head,http://journals.lww.com/headtraumarehab/Abstract/2005/01000/Rehabilitation_and_Ongoing_Support_After_Pediatric.9.aspx,TBI
Early cognitive status and productivity outcome after traumatic brain injury: findings from the TBI model systems,"['M Sherer', 'AM Sander', 'TG Nick', 'WM High']",2002,176,Archives of physical,http://www.sciencedirect.com/science/article/pii/S0003999302922410,TBI
The CDC traumatic brain injury surveillance system: characteristics of persons aged 65 years and older hospitalized with a TBI,"['VG Coronado', 'KE Thomas', 'RW Sattin']",2005,172,The Journal of head,http://journals.lww.com/headtraumarehab/Abstract/2005/05000/The_CDC_Traumatic_Brain_Injury_Surveillance.5.aspx,TBI
Role of CCL2 (MCP-1) in traumatic brain injury (TBI): evidence from severe TBI patients and CCL2/ mice,"['BD Semple', 'N Bye', 'M Rancan']",2010,180,Journal of Cerebral,http://journals.sagepub.com/doi/abs/10.1038/jcbfm.2009.262,TBI
