Title,Authors,Year,Citations,Journal,Link,Topic
Vogel's textbook of practical organic chemistry,['BS Furniss'],1989,1144,,,TEXTBOOK
Textbook of pollen analysis,"['K Faegri', 'PE Kaland', 'K Krzywinski']",1989,7426,,https://www.cabdirect.org/cabdirect/abstract/19930670810,TEXTBOOK
Heat and thermodynamics: an intermediate textbook,"['MW Zemansky', 'RH Dittman']",1968,2009,,http://lituoso.ru/kekoci.pdf,TEXTBOOK
Guyton and Hall Textbook of Medical Physiology E-Book,['JE Hall'],2015,2106,,https://books.google.com/books?hl=en&lr=&id=krLSCQAAQBAJ&oi=fnd&pg=PP1&dq=TEXTBOOK&ots=ZChUmxKITX&sig=8Tw9yI0vek-BKH2xzqxefieYac8,TEXTBOOK
Textbook of work physiology: physiological bases of exercise,['PO strand'],2003,9994,,https://books.google.com/books?hl=en&lr=&id=BC9SiAsUPqsC&oi=fnd&pg=PR5&dq=TEXTBOOK&ots=8XXKZ3oqWl&sig=Nk_ciTDxtHFYJWiZRaWcec317eo,TEXTBOOK
Braunwald's Heart Disease E-Book: A Textbook of Cardiovascular Medicine,"['RO Bonow', 'DL Mann', 'DP Zipes', 'P Libby']",2011,6538,,https://books.google.com/books?hl=en&lr=&id=b5wADkB9oDoC&oi=fnd&pg=PP1&dq=TEXTBOOK&ots=VlTf_egDDm&sig=f_vjMtuEHXn0-4Zg6KfQ5OkkfnE,TEXTBOOK
Nelson Textbook of Pediatrics E-Book,"['RM Kliegman', 'RE Behrman', 'HB Jenson', 'BMD Stanton']",2007,7598,,,TEXTBOOK
A textbook of translation,['P Newmark'],1988,7715,,http://www.academia.edu/download/45828515/A_Textbook_of_Translation_by_Peter_Newmark.pdf,TEXTBOOK
Textbook of polymer science,['FW Billmeyer'],1971,4037,,http://agris.fao.org/agris-search/search.do?recordID=US201300468187,TEXTBOOK
A textbook of oral pathology,"['WG Shafer', 'BM MK Levy']",1983,5272,,,TEXTBOOK
Textbook of histology,"['W Bloom', 'DW Fawcett', 'AA Maximow']",1962,3334,,http://agris.fao.org/agris-search/search.do?recordID=US201300585979,TEXTBOOK
Textbook of wood technology,"['AJ Panshin', 'C Zeeuw']",1980,2666,,https://www.cabdirect.org/cabdirect/abstract/19810669130,TEXTBOOK
Chemometrics: a textbook,"['DL Massart', 'BGM Vandeginste', 'SN Deming', 'Y Michotte']",1988,2573,,,TEXTBOOK
Textbook of clinical chemistry,['BD Andresen'],1986,1447,,,TEXTBOOK
Koneman's color atlas and textbook of diagnostic microbiology,['WC Winn'],2006,1316,,https://books.google.com/books?hl=en&lr=&id=4gWwsEiMwu8C&oi=fnd&pg=PA1&dq=TEXTBOOK&ots=1QOZdInUdX&sig=SIw1HI4OnzU9iS2bMS0nN3nBtOA,TEXTBOOK
Williams textbook of endocrinology,['S Melmed'],2016,3519,,https://books.google.com/books?hl=en&lr=&id=YZ8_CwAAQBAJ&oi=fnd&pg=PP1&dq=TEXTBOOK&ots=MfXNz6ohsy&sig=SKkd35v1bPm3wxI4atcxc3-n-Sg,TEXTBOOK
Vogels textbook of quantitative chemical analysis,['J Mendham'],2006,3444,,,TEXTBOOK
Human cognitive neuropsychology: A textbook with readings,"['AW Ellis', 'AW Young']",2013,1827,,https://books.google.com/books?hl=en&lr=&id=vq-187vgIJYC&oi=fnd&pg=PP1&dq=TEXTBOOK&ots=53x2srFQvL&sig=gb4GSoDfYxODGqMM9RijSOdskJg,TEXTBOOK
Textbook of physical chemistry,['S Glasstone'],1951,2374,,http://cds.cern.ch/record/381437,TEXTBOOK
A textbook of soil chemical analysis,"['PR Hesse', 'PR Hesse']",1971,1947,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0014479700005202,TEXTBOOK
"Rook's Textbook of Dermatology, 4 Volume Set","['C Griffiths', 'J Barker', 'T Bleiker', 'R Chalmers', 'D Creamer']",2016,3331,,https://books.google.com/books?hl=en&lr=&id=EyypCwAAQBAJ&oi=fnd&pg=PR3&dq=TEXTBOOK&ots=g-GI3L0YdH&sig=vHomozQm-y0i4wgwT4Uao6rFLgI,TEXTBOOK
Stach's textbook of coal petrology,['E Stach'],1982,1919,,https://www.schweizerbart.de/publications/detail/isbn/9783443010188/Stach_Textbook_of_Coal_Petrology_3rd,TEXTBOOK
Textbook of Veterinary Anatomy-E-Book,"['KM Dyce', 'WO Sack', 'CJG Wensing']",2009,1420,,https://books.google.com/books?hl=en&lr=&id=Hb1BXjgb0McC&oi=fnd&pg=PT96&dq=TEXTBOOK&ots=al3d1p8u-5&sig=2ZeWScz3AJDp8U7yb37o8-JJowg,TEXTBOOK
Tietz textbook of clinical chemistry and molecular diagnostics-e-book,"['CA Burtis', 'ER Ashwood', 'DE Bruns']",2012,2173,,https://books.google.com/books?hl=en&lr=&id=BBLRUI4aHhkC&oi=fnd&pg=PP1&dq=TEXTBOOK&ots=C3kAITijuP&sig=75lrTHpdUBuEyuy0-caiorExWxY,TEXTBOOK
Fitting the task to the man: a textbook of occupational ergonomics,['E Grandjean'],1989,1967,,http://dl.acm.org/citation.cfm?id=76694,TEXTBOOK
Plant communities: a textbook of plant synecology,['R Daubenmire'],1968,1563,Plant communities: a textbook of plant synecology.,https://www.cabdirect.org/cabdirect/abstract/19686605334,TEXTBOOK
The politics of the textbook,"['M Apple', 'L Christian-Smith']",2017,1107,,https://books.google.com/books?hl=en&lr=&id=CKk0DwAAQBAJ&oi=fnd&pg=PT5&dq=TEXTBOOK&ots=VeNluNKezk&sig=50ZwnRGH15d3FS4yJFwQp0QTYrg,TEXTBOOK
Textbook of radiotherapy,['GH Fletcher'],1973,1057,,,TEXTBOOK
