Title,Authors,Year,Citations,Journal,Link,Topic
Cross-cultural comparison of the information sources used by first-time and repeat travelers and its marketing implications,"['JS Chen', 'D Gursoy']",2000,174,International Journal of Hospitality Management,http://www.sciencedirect.com/science/article/pii/S027843190000013X,TIME TRAVELERS
Time travelers: What's timely in diapause research?,['NG Hairston Jr'],1998,50,Ergebnisse der Limnologie,,TIME TRAVELERS
Environmental learning of first-time travelers,"['BS Guy', 'WW Curtis', 'JC Crotts']",1990,54,Annals of Tourism Research,http://www.sciencedirect.com/science/article/pii/016073839090007E,TIME TRAVELERS
The gap: The science of what separates us from other animals,['T Suddendorf'],2013,175,,https://books.google.com/books?hl=en&lr=&id=6fvQDQAAQBAJ&oi=fnd&pg=PA1&dq=TIME+TRAVELERS&ots=DPPhdVtpHu&sig=p5n44rfpWfl_pc3H9Xrg4xVNUzw,TIME TRAVELERS
What time travelers cannot do,['K Vihvelin'],1996,43,Philosophical Studies,http://www.springerlink.com/index/Q6L51147W06K3867.pdf,TIME TRAVELERS
Predicting satisfaction among first time visitors to a destination by using the expectancy disconfirmation theory,"['A Pizam', 'A Milman']",1993,271,International Journal of Hospitality Management,http://www.sciencedirect.com/science/article/pii/0278431993900107,TIME TRAVELERS
Tips for time travelers,['P Cochrane'],1999,26,,,TIME TRAVELERS
The new time travelers: a journey to the frontiers of physics,['D Toomey'],2011,22,,https://books.google.com/books?hl=en&lr=&id=A_dSRZMGaFoC&oi=fnd&pg=PA11&dq=TIME+TRAVELERS&ots=pejPTagbaK&sig=T03bvWtUNP8bcaSSQ2w9B3p2H2Q,TIME TRAVELERS
Hierarchical framework for real-time traffic control,"['KL Head', 'PB Mirchandani', 'D Sheppard']",1992,127,,https://trid.trb.org/view.aspx?id=370960,TIME TRAVELERS
"How soon is now?: Medieval texts, amateur readers, and the queerness of time",['C Dinshaw'],2012,137,,https://books.google.com/books?hl=en&lr=&id=nuKMtjurnG8C&oi=fnd&pg=PR7&dq=TIME+TRAVELERS&ots=i3WVE57N9V&sig=_vq4IR8cb372wO4NcXL58QOgtWI,TIME TRAVELERS
Time Travelers from Our Future: A Fifth Dimension Odyssey,['B Goldberg'],2006,0,,https://books.google.com/books?hl=en&lr=&id=1_uE3yWP1pwC&oi=fnd&pg=PR1&dq=TIME+TRAVELERS&ots=5CZbhl3QYs&sig=Q5GnSn9TN3NYj_OAvt2wQ8Zwm-Q,TIME TRAVELERS
Valuing transit service quality improvements,['T Litman'],2008,190,Journal of Public transportation,http://scholarcommons.usf.edu/jpt/vol11/iss2/3/,TIME TRAVELERS
"Time machines: Time travel in physics, metaphysics, and science fiction",['PJ Nahin'],2001,236,,https://books.google.com/books?hl=en&lr=&id=39KQY1FnSfkC&oi=fnd&pg=PA1&dq=TIME+TRAVELERS&ots=EAbWbz0PJp&sig=eIOXBcvlnCIaN242xOttPq8KiGg,TIME TRAVELERS
Some evidence of travelers with zero value of time,['A Richardson'],2003,31,Transportation Research Record: Journal of,http://trrjournalonline.trb.org/doi/abs/10.3141/1854-12,TIME TRAVELERS
Hope for the journey: Helping children through good times and bad,['CR Snyder'],1997,122,,,TIME TRAVELERS
Do travelers really take their mefloquine malaria chemoprophylaxis? Estimation of adherence by an electronic pillbox,"['P Landry', 'D Iorillo', 'R Darioli', 'M Burnier']",2006,49,Journal of Travel,https://academic.oup.com/jtm/article-abstract/13/1/8/1874119,TIME TRAVELERS
Development of a mixed multi-nomial logit model to capture the impact of information systems on travelers' switching behavior,"['A Tsirimpa', 'A Polydoropoulou']",2007,61,Journal of Intelligent,http://www.tandfonline.com/doi/abs/10.1080/15472450701293882,TIME TRAVELERS
Giardiasis in American travelers to the Soviet Union,"['RE Brodsky', 'HC Spencer', 'MG Schultz']",1974,214,The Journal of infectious diseases,http://www.jstor.org/stable/30061711,TIME TRAVELERS
Love stories: Sex between men before homosexuality,['J Katz'],2001,189,,,TIME TRAVELERS
Barbarians and mandarins: thirteen centuries of western travelers in China,['N Cameron'],1976,91,,,TIME TRAVELERS
Time Travelers: Soviet Tourists to Eastern Europe,['AE Gorsuch'],2006,25,Turizm. The Russian and East European tourist under,,TIME TRAVELERS
Degradable transport network: travel time budget of travelers with heterogeneous risk aversion,"['HK Lo', 'XW Luo', 'BWY Siu']",2006,360,Transportation Research Part B,http://www.sciencedirect.com/science/article/pii/S0191261505001177,TIME TRAVELERS
Mobile co-operative game-based learning with moles: time travelers in medieval ages,"['T Winkler', 'M Ide-Schoening', 'M Herczeg']",2008,13,Proceedings of SITE,https://www.learntechlib.org/f/27770/,TIME TRAVELERS
Travel time reliability with risk-sensitive travelers,"['A Chen', 'Z Ji', 'W Recker']",2002,117,Transportation Research Record,http://trrjournalonline.trb.org/doi/abs/10.3141/1783-04,TIME TRAVELERS
What time travelers may be able to do,['PBM Vranas'],2010,0,Philosophical studies,http://link.springer.com/article/10.1007/s11098-009-9400-z,TIME TRAVELERS
The impact of travel time information on travelers' learning under uncertainty,"['E Avineri', 'JN Prashker']",2006,153,Transportation,http://www.springerlink.com/index/U836032L37507912.pdf,TIME TRAVELERS
Time machines: The world of living history,['J Anderson'],1984,168,,,TIME TRAVELERS
Sensitivity to travel time variability: travelers' learning perspective,"['E Avineri', 'JN Prashker']",2005,153,Transportation Research Part C: Emerging,http://www.sciencedirect.com/science/article/pii/S0968090X05000136,TIME TRAVELERS
Understanding travel expenditure patterns: a study of Japanese pleasure travelers to the United States by income level,"['SCS Jang', 'B Bai', 'GS Hong', ""JT O'Leary""]",2004,217,Tourism management,http://www.sciencedirect.com/science/article/pii/S0261517703001419,TIME TRAVELERS
Chikungunya fever in travelers: clinical presentation and course,"['W Taubitz', 'JP Cramer', 'A Kapaun']",2007,199,Clinical Infectious,https://academic.oup.com/cid/article-abstract/45/1/e1/482199,TIME TRAVELERS
