Title,Authors,Year,Citations,Journal,Link,Topic
Vital statistics of the United States,"['', 'United States. National Vital Statistics Division']",1977,1576,,,UNITED STATES
"Crisis Inquiry Report, Authorized Edition: Final Report of the National Commission on the Causes of the Financial and Economic Crisis in the United States","['', 'United States. Financial Crisis Inquiry Commission']",2011,803,,https://books.google.com/books?hl=en&lr=&id=XnD_AgAAQBAJ&oi=fnd&pg=PR5&dq=UNITED+STATES&ots=TnypwpPBeu&sig=A8oyK5kPh0jouiIX8tKPMcJkTyw,UNITED STATES
NEHRP recommended provisions for seismic regulations for new buildings and other structures,"['', 'United States. Federal Emergency Management']",2001,846,,,UNITED STATES
Vital statistics of the United States,"['', 'United States. National Vital Statistics Division']",1976,397,,https://books.google.com/books?hl=en&lr=&id=zXpqAAAAMAAJ&oi=fnd&pg=PT23&dq=UNITED+STATES&ots=NvTayA2npU&sig=238nBqhHJUL0waBIeptuGSNVpzg,UNITED STATES
Keys to soil taxonomy,['United States. Soil Management Support Services'],1992,377,,,UNITED STATES
Vital statistics of the United States,"['', 'United States. National Vital Statistics Division']",1990,211,,,UNITED STATES
CDC growth charts: United States,"['RJ Kuczmarski', 'CL Ogden', 'LM Grummer-Strawn']",2000,6418,Advance data,http://europepmc.org/abstract/med/11183293,UNITED STATES
"Segmented work, divided workers: The historical transformation of labor in the United States","['DM Gordon', 'R Edwards', 'M Reich']",1982,2387,,http://pycoqoe.ru/fetik.pdf,UNITED STATES
Status of the American Public-school Teacher,['Education Association of the United States'],2003,414,,,UNITED STATES
"Prevalence of overweight and obesity in the United States, 1999-2004","['CL Ogden', 'MD Carroll', 'LR Curtin', 'MA McDowell']",2006,1059,Jama,http://jama.jamanetwork.com/article.aspx?articleid=202627,UNITED STATES
"Smoking-attributable mortality, years of potential life lost, and productivity losses--United States, 2000-2004",['for Disease Control and Prevention (CDC'],2008,1142,MMWR. Morbidity and,https://www.ncbi.nlm.nih.gov/pubmed/19008791,UNITED STATES
"The Effects on Populations of Exposure to Low Levels of Ionizing Radiation, 1980","['', 'United States. Environmental Protection Agency. Office']",1980,193,,,UNITED STATES
Ecoregions of the conterminous United States,['JM Omernik'],1987,2796,Annals of the Association of American geographers,http://www.tandfonline.com/doi/abs/10.1111/j.1467-8306.1987.tb00149.x,UNITED STATES
Mortality associated with influenza and respiratory syncytial virus in the United States,"['WW Thompson', 'DK Shay', 'E Weintraub', 'L Brammer']",2003,3386,Jama,http://jamanetwork.com/journals/jama/fullarticle/195750,UNITED STATES
"Prevalence of obesity in the United States, 2009-2010","['CL Ogden', 'MD Carroll', 'BK Kit', 'KM Flegal']",2012,2437,,https://stacks.cdc.gov/view/cdc/11838/cdc_11838_DS1.pdf,UNITED STATES
Sources of economic growth in the United States and the alternatives before us,['EF Denison'],1962,2939,,http://agris.fao.org/agris-search/search.do?recordID=US201300589663,UNITED STATES
Quantifying threats to imperiled species in the United States,"['DS Wilcove', 'D Rothstein', 'J Dubow', 'A Phillips', 'E Losos']",1998,3097,BioScience,http://www.jstor.org/stable/1313420,UNITED STATES
"Wetlands losses in the United States, 1780's to 1980's. Report to the Congress",['TE Dahl'],1990,1603,,https://www.osti.gov/scitech/biblio/5527872,UNITED STATES
Agglomeration benefits and location choice: Evidence from Japanese manufacturing investments in the United States,"['K Head', 'J Ries', 'D Swenson']",1995,1354,Journal of international economics,http://www.sciencedirect.com/science/article/pii/002219969401351R,UNITED STATES
"Health, United States, 2004: With chartbook on trends in the health of Americans",['National Center for Health Statistics (US'],2004,1786,,https://www.ncbi.nlm.nih.gov/pubmed/20698065,UNITED STATES
"1980 National Survey of Fishing, Hunting, and Wildlife-associated Recreation",['United States. Bureau of the Census'],1982,413,,https://books.google.com/books?hl=en&lr=&id=qAJHAAAAYAAJ&oi=fnd&pg=PR5&dq=UNITED+STATES&ots=UagxwXibvk&sig=oe9V_ulqHGOafZfB8vSmJSFcHK8,UNITED STATES
Senate. Committee on the Judiciary,['US Congress'],1976,342,The Supreme Court of the United States,,UNITED STATES
"Guide for implementing the comprehensive strategy for serious, violent, and chronic juvenile offenders",['United States. Office of Juvenile Justice'],1995,394,,,UNITED STATES
Lifetime and 12-month prevalence of DSM-III-R psychiatric disorders in the United States: results from the National Comorbidity Survey,"['RC Kessler', 'KA McGonagle']",1994,1491,Archives of,http://archpsyc.jamanetwork.com/article.aspx?articleid=496456,UNITED STATES
"Trends in alternative medicine use in the United States, 1990-1997: results of a follow-up national survey","['DM Eisenberg', 'RB Davis', 'SL Ettner', 'S Appel', 'S Wilkey']",1998,8437,Jama,http://jamanetwork.com/journals/jama/fullarticle/188148,UNITED STATES
"Complementary and alternative medicine use among adults and children; United States, 2007","['PM Barnes', 'B Bloom', 'RL Nahin']",2008,2572,,https://stacks.cdc.gov/view/cdc/5266,UNITED STATES
Monthly vital statistics report,"['', 'United States. National Office of Vital Statistics']",1952,251,,,UNITED STATES
2000 CDC Growth Charts for the United States: methods and development,"['RJ Kuczmarski', 'CL Ogden', 'SS Guo']",2002,3473,Vital and health,http://europepmc.org/abstract/med/12043359,UNITED STATES
Manual of vascular plants of northeastern United States and adjacent Canada,"['HA Gleason', 'A Cronquist']",1963,4618,,http://www.nybgpress.org/Content/Site185/FilesSamples/180876GeneralBo_00000103175.pdf,UNITED STATES
"Health, United States, 2007: With chartbook on trends in the health of Americans",['National Center for Health Statistics (US'],2007,3302,,https://www.ncbi.nlm.nih.gov/pubmed/20698068,UNITED STATES
