Title,Authors,Year,Citations,Journal,Link,Topic
Real-time motion planning for agile autonomous vehicles,"['E Frazzoli', 'MA Dahleh', 'E Feron']",2002,781,Journal of guidance,https://arc.aiaa.org/doi/abs/10.2514/2.4856,autonomous vehicles
[BOOK][B] Autonomous robot vehicles,['T Lozano-Perez'],2012,406,,https://books.google.com/books?hl=en&lr=&id=jwnaBwAAQBAJ&oi=fnd&pg=PR13&dq=autonomous+vehicles&ots=Yg8Em1Dxko&sig=o5Zehx7pg8jInjcwErNNxloSGq4,autonomous vehicles
Trajectory-tracking and path-following of underactuated autonomous vehicles with parametric modeling uncertainty,"['AP Aguiar', 'JP Hespanha']",2007,494,IEEE Transactions on Automatic,http://ieeexplore.ieee.org/abstract/document/4287130/,autonomous vehicles
Smooth local path planning for autonomous vehicles,"['Y Kanayama', 'BI Hartman']",1990,307,Autonomous robot vehicles,https://link.springer.com/chapter/10.1007/978-1-4613-8997-2_6,autonomous vehicles
Integrated path planning and dynamic steering control for autonomous vehicles,"['B Krogh', 'C Thorpe']",1986,319,Robotics and Automation. Proceedings,http://ieeexplore.ieee.org/abstract/document/1087444/,autonomous vehicles
[BOOK][B] Cooperative control of dynamical systems: applications to autonomous vehicles,['Z Qu'],2009,547,,https://books.google.com/books?hl=en&lr=&id=_oRTeVWCuSsC&oi=fnd&pg=PR15&dq=autonomous+vehicles&ots=DLNJixg-cv&sig=g0rvI0XUs4fePJCTNRSBbxunnm0,autonomous vehicles
Dynamic motion planning of autonomous vehicles,"['Z Shiller', 'YR Gwo']",1991,301,IEEE Transactions on Robotics and,http://ieeexplore.ieee.org/abstract/document/75906/,autonomous vehicles
Planning long dynamically feasible maneuvers for autonomous vehicles,"['M Likhachev', 'D Ferguson']",2009,326,The International Journal of,http://journals.sagepub.com/doi/abs/10.1177/0278364909340445,autonomous vehicles
An evidential approach to map-building for autonomous vehicles,"['D Pagac', 'EM Nebot']",1998,293,IEEE Transactions on,http://ieeexplore.ieee.org/abstract/document/704234/,autonomous vehicles
"Coordinating hundreds of cooperative, autonomous vehicles in warehouses","['PR Wurman', ""R D'Andrea"", 'M Mountz']",2008,297,AI magazine,http://www.aaai.org/ojs/index.php/aimagazine/article/view/2082,autonomous vehicles
Distributed cooperative control of multiple vehicle formations using structural potential functions,"['R Olfati-Saber', 'RM Murray']",2002,644,IFAC Proceedings Volumes,http://www.sciencedirect.com/science/article/pii/S1474667015386651,autonomous vehicles
Maneuver-based trajectory planning for highly autonomous vehicles on real road with traffic and driver interaction,"['S Glaser', 'B Vanholme', 'S Mammar']",2010,119,IEEE Transactions,http://ieeexplore.ieee.org/abstract/document/5462899/,autonomous vehicles
A 3D state space formulation of a navigation Kalman filter for autonomous vehicles,['A Kelly'],1994,119,,http://www.dtic.mil/docs/citations/ADA282853,autonomous vehicles
Quintic G/sup 2/-splines for the iterative steering of vision-based autonomous vehicles,"['A Piazzi', 'CGL Bianco', 'M Bertozzi']",2002,86,IEEE Transactions,http://ieeexplore.ieee.org/abstract/document/994793/,autonomous vehicles
Parallel and diagonal parking in nonholonomic autonomous vehicles,"['F Gmez-Bravo', 'F Cuesta', 'A Ollero']",2001,92,Engineering applications of artificial,http://www.sciencedirect.com/science/article/pii/S0952197601000045,autonomous vehicles
