Title,Authors,Year,Citations,Journal,Link,Topic
Ebola virus disease in West Africathe first 9 months of the epidemic and forward projections,['WHOER Team'],2014,1038,The New England journal of medicine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4235004/,EBOLA VIRUS
Fruit bats as reservoirs of Ebola virus,"['EM Leroy', 'B Kumulungui', 'X Pourrut', 'P Rouquet']",2005,1121,Nature,https://www.nature.com/articles/438575a,EBOLA VIRUS
Genomic surveillance elucidates Ebola virus origin and transmission during the 2014 outbreak,"['SK Gire', 'A Goba', 'KG Andersen', 'RSG Sealfon']",2014,749,,http://science.sciencemag.org/content/345/6202/1369.short,EBOLA VIRUS
Endosomal proteolysis of the Ebola virus glycoprotein is necessary for infection,"['K Chandran', 'NJ Sullivan', 'U Felbor', 'SP Whelan']",2005,586,,http://science.sciencemag.org/content/308/5728/1643.short,EBOLA VIRUS
Multiple Ebola virus transmission events and rapid decline of central African wildlife,"['EM Leroy', 'P Rouquet', 'P Formenty', 'S Souquire']",2004,598,,http://science.sciencemag.org/content/303/5656/387.short,EBOLA VIRUS
Newly discovered ebola virus associated with hemorrhagic fever outbreak in Uganda,"['JS Towner', 'TK Sealy', 'ML Khristova', 'CG Albario']",2008,457,PLoS,http://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1000212,EBOLA VIRUS
Emergence of Zaire Ebola virus disease in Guinea,"['S Baize', 'D Pannetier', 'L Oestereich']",2014,1109,England Journal of,http://www.nejm.org/doi/full/10.1056/NEJMoa1404505,EBOLA VIRUS
Development of a preventive vaccine for Ebola virus infection in primates,"['NJ Sullivan', 'A Sanchez', 'PE Rollin', 'Z Yang', 'GJ Nabel']",2000,701,Nature,https://www.nature.com/nature/journal/v408/n6812/abs/408605a0.html,EBOLA VIRUS
C-type lectins DC-SIGN and L-SIGN mediate cellular entry by Ebola virus in cis and in trans,"['CP Alvarez', 'F Lasala', 'J Carrillo', 'O Muiz']",2002,587,Journal of,http://jvi.asm.org/content/76/13/6841.short,EBOLA VIRUS
HIV-1 and Ebola virus encode small peptide motifs that recruit Tsg101 to sites of particle assembly to facilitate egress,"['J Martin-Serrano', 'T Zang', 'PD Bieniasz']",2001,671,Nature medicine,https://www.nature.com/articles/nm1201-1313,EBOLA VIRUS
Epitopes involved in antibody-mediated protection from Ebola virus,"['JA Wilson', 'M Hevey', 'R Bakken', 'S Guest', 'M Bray']",2000,371,,http://science.sciencemag.org/content/287/5458/1664.short,EBOLA VIRUS
Ebola virus entry requires the cholesterol transporter Niemann-Pick C1,"['JE Carette', 'M Raaben', 'AC Wong', 'AS Herbert']",2011,572,Nature,https://www.nature.com/nature/journal/v477/n7364/abs/nature10348.html,EBOLA VIRUS
Assessment of the risk of Ebola virus transmission from bodily fluids and fomites,"['DG Bausch', 'JS Towner', 'SF Dowell']",2007,440,The Journal of,https://academic.oup.com/jid/article-abstract/196/Supplement_2/S142/858852,EBOLA VIRUS
Structure of the Ebola virus glycoprotein bound to an antibody from a human survivor,"['JE Lee', 'ML Fusco', 'AJ Hessell', 'WB Oswald', 'DR Burton']",2008,468,Nature,https://www.nature.com/nature/journal/v454/n7201/abs/nature07082.html,EBOLA VIRUS
Reversion of advanced Ebola virus disease in nonhuman primates with ZMapp,"['X Qiu', 'G Wong', 'J Audet', 'A Bello', 'L Fernando']",2014,567,Nature,https://www.nature.com/nature/journal/v514/n7520/abs/nature13777.html,EBOLA VIRUS
Accelerated vaccination for Ebola virus haemorrhagic fever in non-human primates,"['NJ Sullivan', 'TW Geisbert', 'JB Geisbert', 'L Xu', 'Z Yang']",2003,479,Nature,https://www.nature.com/nature/journal/v424/n6949/abs/nature01876.html,EBOLA VIRUS
