Title,Authors,Year,Citations,Journal,Link,Topic
Management of hepatocellular carcinoma: an update,"['J Bruix', 'M Sherman']",2011,0,Hepatology,http://onlinelibrary.wiley.com/doi/10.1002/hep.24199/full,hepatocellar carcinoma
Clinical management of hepatocellular carcinoma. Conclusions of the Barcelona-2000 EASL conference,"['J Bruix', 'M Sherman', 'JM Llovet']",2001,0,Journal of,https://www.journal-of-hepatology.eu/article/S0168-8278(01)00130-1/fulltext,hepatocellar carcinoma
Hepatocellular carcinoma and hepatitis B virus: a prospective study of 22 707 men in Taiwan,"['RP Beasley', 'CC Lin', 'LY Hwang', 'CS Chien']",1981,3117,The Lancet,http://www.sciencedirect.com/science/article/pii/S0140673681905857,hepatocellar carcinoma
Arterial embolisation or chemoembolisation versus symptomatic treatment in patients with unresectable hepatocellular carcinoma: a randomised controlled trial,"['', 'J Rods', 'J Bruix', 'Barcelona Clinic Liver Cancer Group']",2002,2622,The Lancet,http://www.sciencedirect.com/science/article/pii/S014067360208649X,hepatocellar carcinoma
Sorafenib in advanced hepatocellular carcinoma,"['JM Llovet', 'S Ricci', 'V Mazzaferro']",2008,0,New England journal,http://www.nejm.org/doi/full/10.1056/nejmoa0708857,hepatocellar carcinoma
Management of hepatocellular carcinoma,"['J Bruix', 'M Sherman']",2005,0,Hepatology,http://onlinelibrary.wiley.com/doi/10.1002/hep.20933/full,hepatocellar carcinoma
Hepatocellular carcinoma: epidemiology and molecular carcinogenesis,"['HB ElSerag', 'KL Rudolph']",2007,0,Gastroenterology,http://www.sciencedirect.com/science/article/pii/S0016508507007998,hepatocellar carcinoma
"Efficacy and safety of sorafenib in patients in the Asia-Pacific region with advanced hepatocellular carcinoma: a phase III randomised, double-blind, placebo","['AL Cheng', 'YK Kang', 'Z Chen', 'CJ Tsao', 'S Qin', 'JS Kim']",2009,0,The lancet oncology,http://www.sciencedirect.com/science/article/pii/S1470204508702857,hepatocellar carcinoma
Risk of hepatocellular carcinoma across a biological gradient of serum hepatitis B virus DNA level,"['CJ Chen', 'HI Yang', 'JUN Su', 'CL Jen', 'SL You', 'SN Lu']",2006,0,Jama,http://jamanetwork.com/journals/jama/fullarticle/202137,hepatocellar carcinoma
Systematic review of randomized trials for unresectable hepatocellular carcinoma: chemoembolization improves survival,"['JM Llovet', 'J Bruix']",2003,0,Hepatology,http://onlinelibrary.wiley.com/doi/10.1053/jhep.2003.50047/full,hepatocellar carcinoma
Hepatocellular carcinoma: radio-frequency ablation of medium and large lesions,"['T Livraghi', 'SN Goldberg', 'S Lazzaroni', 'F Meloni']",2000,0,Radiology,http://pubs.rsna.org/doi/abs/10.1148/radiology.214.3.r00mr02761,hepatocellar carcinoma
Design and endpoints of clinical trials in hepatocellular carcinoma,"['JM Llovet', 'AM Di Bisceglie', 'J Bruix']",2008,0,the National Cancer,https://academic.oup.com/jnci/article-abstract/100/10/698/901410,hepatocellar carcinoma
"Sorafenib blocks the RAF/MEK/ERK pathway, inhibits tumor angiogenesis, and induces tumor cell apoptosis in hepatocellular carcinoma model PLC/PRF/5","['L Liu', 'Y Cao', 'C Chen', 'X Zhang', 'A McNabola', 'D Wilkie']",2006,0,Cancer research,http://cancerres.aacrjournals.org/content/66/24/11851.short,hepatocellar carcinoma
Prevalence of antibodies to hepatitis C virus in Spanish patients with hepatocellular carcinoma and hepatic cirrhosis,"['J Bruix', 'X Calvet', 'J Costa', 'M Ventura', 'M Bruguera']",1989,840,The Lancet,http://www.sciencedirect.com/science/article/pii/S0140673689910155,hepatocellar carcinoma
Randomized controlled trial of screening for hepatocellular carcinoma,"['BH Zhang', 'BH Yang', 'ZY Tang']",2004,1035,Journal of cancer research and clinical,http://link.springer.com/article/10.1007/s00432-004-0552-0,hepatocellar carcinoma
Mutational hot spot in the p53 gene in human hepatocellular carcinomas,"['IC Hsu', 'RA Metcalf', 'T Sun', 'JA Welsh', 'NJ Wang']",1991,1628,Nature,https://www.nature.com/nature/journal/v350/n6317/abs/350427a0.html,hepatocellar carcinoma
Hepatocellular carcinoma and cirrhosis in 746 patients: long-term results of percutaneous ethanol injection,"['T Livraghi', 'A Giorgio', 'G Marin', 'A Salmi', 'I De Sio']",1995,1133,Radiology,http://pubs.rsna.org/doi/abs/10.1148/radiology.197.1.7568806,hepatocellar carcinoma
Hepatocellular carcinoma: recent trends in the United States,['HB El-Serag'],2004,1025,Gastroenterology,http://www.sciencedirect.com/science/article/pii/S0016508504015926,hepatocellar carcinoma
The continuing increase in the incidence of hepatocellular carcinoma in the United States: an update,"['HB El-Serag', 'JA Davila', 'NJ Petersen']",2003,0,Annals of internal,http://annals.org/aim/article/716924,hepatocellar carcinoma
Small hepatocellular carcinoma in cirrhosis: randomized comparison of radio-frequency thermal ablation versus percutaneous ethanol injection,"['RA Lencioni', 'HP Allgaier', 'D Cioni', 'M Olschewski']",2003,0,Radiology,http://pubs.rsna.org/doi/abs/10.1148/radiol.2281020718,hepatocellar carcinoma
Natural history of hepatocellular carcinoma and prognosis in relation to treatment study of 850 patients,"['K Okuda', 'T Ohtsuki', 'H Obata', 'M Tomimatsu']",1985,2066,Cancer,http://onlinelibrary.wiley.com/doi/10.1002/1097-0142(19850815)56:4%3C918::AID-CNCR2820560437%3E3.0.CO;2-E/full,hepatocellar carcinoma
