Title,Authors,Year,Citations,Journal,Link,Topic
Management of hepatocellular carcinoma: an update,"['J Bruix', 'M Sherman']",2011,5379,Hepatology,http://onlinelibrary.wiley.com/doi/10.1002/hep.24199/full,hepatocellular carcinoma
Clinical management of hepatocellular carcinoma. Conclusions of the Barcelona-2000 EASL conference,"['J Bruix', 'M Sherman', 'JM Llovet']",2001,4350,Journal of,https://www.journal-of-hepatology.eu/article/S0168-8278(01)00130-1/fulltext,hepatocellular carcinoma
Hepatocellular carcinoma and hepatitis B virus: a prospective study of 22 707 men in Taiwan,"['RP Beasley', 'CC Lin', 'LY Hwang', 'CS Chien']",1981,3117,The Lancet,http://www.sciencedirect.com/science/article/pii/S0140673681905857,hepatocellular carcinoma
Hepatitis B virus. The major etiology of hepatocellular carcinoma,['RP Beasley'],1988,1673,Cancer,http://onlinelibrary.wiley.com/doi/10.1002/1097-0142(19880515)61:10%3C1942::AID-CNCR2820611003%3E3.0.CO;2-J/full,hepatocellular carcinoma
"Efficacy and safety of sorafenib in patients in the Asia-Pacific region with advanced hepatocellular carcinoma: a phase III randomised, double-blind, placebo","['AL Cheng', 'YK Kang', 'Z Chen', 'CJ Tsao', 'S Qin', 'JS Kim']",2009,3311,The lancet oncology,http://www.sciencedirect.com/science/article/pii/S1470204508702857,hepatocellular carcinoma
Risk of hepatocellular carcinoma across a biological gradient of serum hepatitis B virus DNA level,"['CJ Chen', 'HI Yang', 'JUN Su', 'CL Jen', 'SL You', 'SN Lu']",2006,2938,Jama,http://jamanetwork.com/journals/jama/fullarticle/202137,hepatocellular carcinoma
Systematic review of randomized trials for unresectable hepatocellular carcinoma: chemoembolization improves survival,"['JM Llovet', 'J Bruix']",2003,2660,Hepatology,http://onlinelibrary.wiley.com/doi/10.1053/jhep.2003.50047/full,hepatocellular carcinoma
Natural history of hepatocellular carcinoma and prognosis in relation to treatment study of 850 patients,"['K Okuda', 'T Ohtsuki', 'H Obata', 'M Tomimatsu']",1985,2066,Cancer,http://onlinelibrary.wiley.com/doi/10.1002/1097-0142(19850815)56:4%3C918::AID-CNCR2820560437%3E3.0.CO;2-E/full,hepatocellular carcinoma
Human hepatocellular carcinoma cell lines secrete the major plasma proteins and hepatitis B surface antigen,"['BB Knowles', 'CC Howe', 'DP Aden']",1980,1912,Science,http://science.sciencemag.org/content/209/4455/497.short,hepatocellular carcinoma
Arterial embolisation or chemoembolisation versus symptomatic treatment in patients with unresectable hepatocellular carcinoma: a randomised controlled,"['JM Llovet', 'MI Real', 'X Montaa', 'R Planas', 'S Coll']",2002,2622,The Lancet,http://www.sciencedirect.com/science/article/pii/S014067360208649X,hepatocellular carcinoma
