Title,Authors,Year,Citations,Journal,Link,Topic
Analysis and design of analog integrated circuits,"['PR Gray', 'P Hurst', 'RG Meyer', 'S Lewis']",2001,5916,,http://cds.cern.ch/record/570193/files/0471321680_TOC.pdf,current mirror
Accurate and high output impedance current mirror suitable for CMOS current output stages,"['A Zeki', 'H Kuntman']",1997,129,Electronics Letters,http://ieeexplore.ieee.org/abstract/document/588427/,current mirror
High-swing MOS current mirror with arbitrarily high output resistance,"['PJ Crawley', 'GW Roberts']",1992,107,Electronics Letters,http://ieeexplore.ieee.org/abstract/document/126365/,current mirror
Low supply voltage high-performance CMOS current mirror with low input and output voltage requirements,"['J Ramirez-Angulo', 'RG Carvajal']",2004,115,IEEE Transactions on,http://ieeexplore.ieee.org/abstract/document/1275620/,current mirror
"A low-voltage, bulk-driven MOSFET current mirror for CMOS technology","['BJ Blalock', 'PE Allen']",1995,98,Circuits and Systems,http://ieeexplore.ieee.org/abstract/document/523807/,current mirror
Electro-luminescent display including a current mirror,"['SJ Bae', 'JS Kim']",2003,168,US Patent 6,https://www.google.com/patents/US6580408,current mirror
High-speed current mirror resistive compensation technique,"['T Voo', 'C Toumazou']",1995,95,Electronics Letters,http://ieeexplore.ieee.org/abstract/document/375820/,current mirror
The active-input regulated-cascode current mirror,"['T Serrano', 'B Linares-Barranco']",1994,80,IEEE Transactions on Circuits,http://ieeexplore.ieee.org/abstract/document/295247/,current mirror
Current-mirror-based potentiostats for three-electrode amperometric electrochemical sensors,"['MM Ahmadi', 'GA Jullien']",2009,122,on Circuits and Systems I: Regular,http://ieeexplore.ieee.org/abstract/document/4629303/,current mirror
A comparison of modified Howland circuits as current generators with current mirror type circuits,"['P Bertemes-Filho', 'BH Brown']",2000,98,Physiological,http://iopscience.iop.org/article/10.1088/0967-3334/21/1/301/meta,current mirror
An accurate current reference using temperature and process compensation current mirror,"['BD Yang', 'YK Shin', 'JS Lee', 'YK Lee']",2009,36,Solid-State Circuits,http://ieeexplore.ieee.org/abstract/document/5357223/,current mirror
FGMOS current mirror: behaviour and bandwidth enhancement,"['S Sharma', 'SS Rajput', 'LK Mangotra']",2006,33,Analog Integrated circuits,http://link.springer.com/article/10.1007/s10470-006-1625-6,current mirror
Current mirror structure insensitive to conducted EMI,"['JM Redout', 'M Steyaert']",2005,32,Electronics Letters,https://ecse.monash.edu/staff/jmr/redoute_2005_1.pdf,current mirror
Enhancement-depletion mode cascode current mirror,['DM Archer'],1994,41,US Patent 5,https://www.google.com/patents/US5311115,current mirror
"Any value, temperature independent, voltage reference utilizing band gap voltage reference and cascode current mirror circuits","['MJ Lin', 'YH Wu', 'MT Chen']",2000,37,US Patent 6,https://www.google.com/patents/US6111396,current mirror
Current mirror sense amplifier for a non-volatile memory,"['BL Morton', 'BE Engles']",1987,44,US Patent 4,https://www.google.com/patents/US4713797,current mirror
High-swing cascode current mirror,['AS Fiedler'],1997,42,US Patent 5,https://www.google.com/patents/US5680038,current mirror
A 0.8-V 0.25-mW Current-Mirror OTA With 160-MHz GBW in 0.18-$\mu {\hbox {m}} $ CMOS,"['TH Lin', 'CK Wu', 'MC Tsai']",2007,37,on Circuits and Systems II: Express,http://ieeexplore.ieee.org/abstract/document/4100866/,current mirror
A new current mirror layout technique for improved matching characteristics,"['MF Lan', 'A Tammineedi', 'R Geiger']",1999,29,Circuits and Systems,http://ieeexplore.ieee.org/abstract/document/867835/,current mirror
High-stability CMOS multi-port register file memory cell with column isolation and current-mirror row line driver,['S Wiedmann'],1995,48,US Patent 5,https://www.google.com/patents/US5477489,current mirror
A subthreshold to above-threshold level shifter comprising a wilson current mirror,"['S Lutkemeier', 'U Ruckert']",2010,96,on Circuits and Systems II: Express,http://ieeexplore.ieee.org/abstract/document/5557764/,current mirror
"Low voltage, low power, high performance current mirror for portable analogue and mixed mode applications","['SS Rajput', 'SS Jamuar']",2001,86,IEE Proceedings-Circuits,http://digital-library.theiet.org/content/journals/10.1049/ip-cds_20010441,current mirror
A new poly-Si TFT current-mirror pixel for active matrix organic light emitting diode,"['JH Lee', 'W Nam', 'BK Kim', 'HS Choi']",2006,79,IEEE electron device,http://ieeexplore.ieee.org/abstract/document/1704914/,current mirror
Adaptable MOS current mirror,"['JDW Anderson', 'CA Mead', 'TP Allen', 'MF Wall']",1992,109,US Patent 5,https://www.google.com/patents/US5160899,current mirror
High-speed bias-stabilized current-mirror referencing circuit for non-volatile memories,"['KW Frary', 'S Sambandan']",1994,97,US Patent 5,https://www.google.com/patents/US5289412,current mirror
CMOS current mirror with offset adaptation,"['JDW Anderson', 'CA Mead', 'TP Allen', 'MF Wall']",1992,96,US Patent 5,https://www.google.com/patents/US5119038,current mirror
Low-power low-voltage reference using peaking current mirror circuit,"['MH Cheng', 'ZW Wu']",2005,63,Electronics Letters,http://ieeexplore.ieee.org/abstract/document/1432523/,current mirror
MOS cascode current mirror,['NS Sooch'],1985,76,US Patent 4,https://www.google.com/patents/US4550284,current mirror
Adaptable current mirror,"['CA Mead', 'TP Allen']",1991,93,US Patent 5,https://www.google.com/patents/US5073759,current mirror
Current mirror circuit and reference voltage generating and light emitting element driving circuits using the same,['S Sawada'],1999,89,US Patent 5,https://www.google.com/patents/US5880582,current mirror
