Title,Authors,Year,Citations,Journal,Link,Topic
Ebola virus disease in West Africathe first 9 months of the epidemic and forward projections,['WHOER Team'],2014,1037,The New England journal of medicine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4235004/,ebola virus
Fruit bats as reservoirs of Ebola virus,"['EM Leroy', 'B Kumulungui', 'X Pourrut', 'P Rouquet']",2005,1117,Nature,https://www.nature.com/articles/438575a,ebola virus
Genomic surveillance elucidates Ebola virus origin and transmission during the 2014 outbreak,"['SK Gire', 'A Goba', 'KG Andersen', 'RSG Sealfon']",2014,743,,http://science.sciencemag.org/content/345/6202/1369.short,ebola virus
Endosomal proteolysis of the Ebola virus glycoprotein is necessary for infection,"['K Chandran', 'NJ Sullivan', 'U Felbor', 'SP Whelan']",2005,585,,http://science.sciencemag.org/content/308/5728/1643.short,ebola virus
Multiple Ebola virus transmission events and rapid decline of central African wildlife,"['EM Leroy', 'P Rouquet', 'P Formenty', 'S Souquire']",2004,597,,http://science.sciencemag.org/content/303/5656/387.short,ebola virus
Newly discovered ebola virus associated with hemorrhagic fever outbreak in Uganda,"['JS Towner', 'TK Sealy', 'ML Khristova', 'CG Albario']",2008,458,PLoS,http://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1000212,ebola virus
Emergence of Zaire Ebola virus disease in Guinea,"['S Baize', 'D Pannetier', 'L Oestereich']",2014,1108,England Journal of,http://www.nejm.org/doi/full/10.1056/NEJMoa1404505,ebola virus
Development of a preventive vaccine for Ebola virus infection in primates,"['NJ Sullivan', 'A Sanchez', 'PE Rollin', 'Z Yang', 'GJ Nabel']",2000,700,Nature,https://www.nature.com/nature/journal/v408/n6812/abs/408605a0.html,ebola virus
C-type lectins DC-SIGN and L-SIGN mediate cellular entry by Ebola virus in cis and in trans,"['CP Alvarez', 'F Lasala', 'J Carrillo', 'O Muiz']",2002,585,Journal of,http://jvi.asm.org/content/76/13/6841.short,ebola virus
HIV-1 and Ebola virus encode small peptide motifs that recruit Tsg101 to sites of particle assembly to facilitate egress,"['J Martin-Serrano', 'T Zang', 'PD Bieniasz']",2001,671,Nature medicine,https://www.nature.com/articles/nm1201-1313,ebola virus
Ebola virus VP24 binds karyopherin 1 and blocks STAT1 nuclear accumulation,"['LW Leung', 'AL Hartman', 'O Martinez', 'ML Shaw']",2006,364,Journal of,http://jvi.asm.org/content/80/11/5156.short,ebola virus
"Crystal structure of the Ebola virus membrane fusion subunit, GP2, from the envelope glycoprotein ectodomain","['W Weissenhorn', 'A Carf', 'KH Lee', 'JJ Skehel', 'DC Wiley']",1998,414,Molecular cell,http://www.sciencedirect.com/science/article/pii/S1097276500801598,ebola virus
Outbreak of Ebola virus disease in Guinea: where ecology meets economy,"['DG Bausch', 'L Schwarz']",2014,220,PLoS neglected tropical diseases,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003056&utm_source=web&utm_medium=pdf&utm_campaign=ppu15,ebola virus
Successful treatment of advanced Ebola virus infection with T-705 (favipiravir) in a small animal model,"['L Oestereich', 'A Ldtke', 'S Wurr', 'T Rieger']",2014,276,Antiviral research,http://www.sciencedirect.com/science/article/pii/S0166354214000576,ebola virus
Discovery of an ebolavirus-like filovirus in europe,"['A Negredo', 'G Palacios', 'S Vzquez-Morn']",2011,239,PLoS,http://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1002304,ebola virus
Role of endosomal cathepsins in entry mediated by the Ebola virus glycoprotein,"['K Schornberg', 'S Matsuyama', 'K Kabsch']",2006,333,Journal of,http://jvi.asm.org/content/80/8/4174.short,ebola virus
The 2014 Ebola virus disease outbreak in West Africa,['D Gatherer'],2014,217,Journal of General Virology,http://jgv.microbiologyresearch.org/content/journal/jgv/10.1099/vir.0.067199-0,ebola virus
Ebola virus VP35 protein binds double-stranded RNA and inhibits alpha/beta interferon production induced by RIG-I signaling,"['WB Crdenas', 'YM Loo', 'M Gale', 'AL Hartman']",2006,362,Journal of,http://jvi.asm.org/content/80/11/5168.short,ebola virus
Comparison of the transcription and replication strategies of Marburg virus and Ebola virus by using artificial replication systems,"['E Mhlberger', 'M Weik', 'VE Volchkov', 'HD Klenk']",1999,376,Journal of,http://jvi.asm.org/content/73/3/2333.short,ebola virus
"Clinical presentation of patients with Ebola virus disease in Conakry, Guinea","['EI Bah', 'MC Lamah', 'T Fletcher', 'ST Jacob']",2015,285,England Journal of,http://www.nejm.org/doi/full/10.1056/NEJMoa1411249,ebola virus
