Title,Authors,Year,Citations,Journal,Link,Topic
Gorillas in our midst: Sustained inattentional blindness for dynamic events,"['DJ Simons', 'CF Chabris']",1999,2303,Perception,http://journals.sagepub.com/doi/abs/10.1068/p281059,gorillas
A new human immunodeficiency virus derived from gorillas,"['JC Plantier', 'M Leoz', 'JE Dickerson', 'F De Oliveira']",2009,661,Nature medicine,https://www.nature.com/articles/nm.2016,gorillas
Human immunodeficiency viruses: SIV infection in wild gorillas,"['F Van Heuverswyn', 'Y Li', 'C Neel', 'E Bailes', 'BF Keele']",2006,364,Nature,https://www.nature.com/articles/444164a,gorillas
Gorillas in the Mist,['D Fossey'],2000,911,,https://books.google.com/books?hl=en&lr=&id=YgGzvE5QfUcC&oi=fnd&pg=PR7&dq=gorillas&ots=kfZOkt4LsY&sig=vNjd_EPkTvtXtsDuD6BpZzYWiXw,gorillas
Hand Preferences in the Skilled Gathering Tasks of Mountain Gorillas (Gorilla g. berengei),"['RW Byrne', 'JM Byrne']",1991,358,Cortex,http://www.sciencedirect.com/science/article/pii/S0010945213800032,gorillas
Ebola outbreak killed 5000 gorillas,"['M Bermejo', 'JD Rodrguez-Teijeiro', 'G Illera']",2006,303,,http://science.sciencemag.org/content/314/5805/1564.short,gorillas
"Pygmy chimpanzee as a possible prototype for the common ancestor of humans, chimpanzees and gorillas","['AL Zihlman', 'JE Cronin', 'DL Cramer', 'VM Sarich']",1978,234,Nature,https://www.nature.com/nature/journal/v275/n5682/abs/275744a0.html,gorillas
Origin of the human malaria parasite Plasmodium falciparum in gorillas,"['W Liu', 'Y Li', 'GH Learn', 'RS Rudicell', 'JD Robertson']",2010,361,Nature,https://www.nature.com/nature/journal/v467/n7314/abs/nature09442.html,gorillas
Reproduction in wild gorillas and some comparisons with chimpanzees,"['AH Harcourt', 'D Fossey', 'KJ Stewart']",1980,130,Journal of reproduction,http://europepmc.org/abstract/med/6934312,gorillas
"Self-recognition in chimpanzees and orangutans, but not gorillas","['SD Surez', 'GG Gallup']",1981,284,Journal of human evolution,http://www.sciencedirect.com/science/article/pii/S0047248481800164,gorillas
Social relationships among adult female mountain gorillas,['AH Harcourt'],1979,131,Animal Behaviour,http://www.sciencedirect.com/science/article/pii/0003347279901453,gorillas
"Human metapneumovirus infection in wild mountain gorillas, Rwanda","['G Palacios', 'LJ Lowenstine', 'MR Cranfield']",2011,94,Emerging infectious,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3377396/,gorillas
The intestinal faunas of man and mountain gorillas in a shared habitat,"['RW Ashford', 'GDF Reid', 'TM Butynski']",1990,84,Annals of Tropical Medicine,http://www.tandfonline.com/doi/abs/10.1080/00034983.1990.11812477,gorillas
Ontogeny of locomotion in mountain gorillas and chimpanzees,['DM Doran'],1997,154,Journal of Human Evolution,http://www.sciencedirect.com/science/article/pii/S0047248496900950,gorillas
In the kingdom of gorillas: Fragile species in a dangerous land,"['B Weber', 'A Vedder']",2001,52,,http://www.citeulike.org/group/342/article/180968,gorillas
Ecology of gorillas and its relation to female transfer in mountain gorillas,['DP Watts'],1990,142,International Journal of Primatology,http://www.springerlink.com/index/362980225673G135.pdf,gorillas
A preliminary investigation of urinary testosterone and cortisol levels in wild male mountain gorillas,"['MM Robbins', 'NM Czekala']",1997,119,American Journal of Primatology,http://onlinelibrary.wiley.com/doi/10.1002/(SICI)1098-2345(1997)43:1%3C51::AID-AJP4%3E3.0.CO;2-X/full,gorillas
"A case study of a plant-animal relationship: Cola lizae and lowland gorillas in the Lop Reserve, Gabon","['CEG Tutin', 'EA Williamson', 'ME Rogers']",1991,130,Journal of Tropical,https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/a-case-study-of-a-plant-animal-relationship-cola-lizae-and-lowland-gorillas-in-the-lope-reserve-gabon/8DB7BFDBD95DC61D397F4D2465E93DF1,gorillas
Nutritional geometry: gorillas prioritize non-protein energy while consuming surplus protein,"['JM Rothman', 'D Raubenheimer']",2011,103,Biology,http://rsbl.royalsocietypublishing.org/content/early/2011/05/30/rsbl.2011.0321.short,gorillas
"Anthropozoonotic Giardia duodenalis genotype (assemblage) A infections in habitats of free-ranging human-habituated gorillas, Uganda","['TK Graczyk', 'J Bosco-Nizeyi', 'B Ssebide']",2002,130,Journal of,http://www.bioone.org/doi/abs/10.1645/0022-3395(2002)088%5B0905:AGDGAA%5D2.0.CO%3B2,gorillas
"Composition of the diet of chimpanzees and comparisons with that of sympatric lowland gorillas in the Lop Reserve, Gabon","['CEG Tutin', 'M Fernandez']",1993,277,American Journal of Primatology,http://onlinelibrary.wiley.com/doi/10.1002/ajp.1350300305/full,gorillas
Infanticide in mountain gorillas: new cases and a reconsideration of the evidence,['DP Watts'],1989,278,Ethology,http://onlinelibrary.wiley.com/doi/10.1111/j.1439-0310.1989.tb00754.x/full,gorillas
Population dynamics of the Virunga gorillas: 19591978,"['AW Weber', 'A Vedder']",1983,131,Biological Conservation,http://www.sciencedirect.com/science/article/pii/0006320783900964,gorillas
First observation of tool use in wild gorillas,"['T Breuer', 'M Ndoundou-Hockemba', 'V Fishlock']",2005,188,PLoS Biology,http://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.0030380,gorillas
"Strategies of emigration and transfer by primates, with particular reference to gorillas",['AH Harcourt'],1978,252,Ethology,http://onlinelibrary.wiley.com/doi/10.1111/j.1439-0310.1978.tb00267.x/full,gorillas
"Foraging profiles of sympatric lowland gorillas and chimpanzees in the Lope Reserve, Gabon","['CEG Tutin', 'M Fernandez', 'ME Rogers']",1991,223,Transactions of the,,gorillas
Complex leafgathering skills of mountain gorillas (Gorilla g. beringei): variability and standardization,"['RW Byrne', 'JME Byrne']",1993,235,American Journal of Primatology,http://onlinelibrary.wiley.com/doi/10.1002/ajp.1350310402/full,gorillas
Composition of the diet of lowland gorillas at Lop in Gabon,"['EA Williamson', 'CEG Tutin', 'ME Rogers']",1990,196,American Journal of,http://onlinelibrary.wiley.com/doi/10.1002/ajp.1350210403/full,gorillas
Generation times in wild chimpanzees and gorillas suggest earlier divergence times in great ape and human evolution,"['KE Langergraber', 'K Prfer', 'C Rowney']",2012,237,Proceedings of the,http://www.pnas.org/content/early/2012/08/08/1211740109.full.pdf&quot;&gt;Generation,gorillas
Comparative socio-ecology of gorillas,['DP Watts'],1996,203,Great ape societies. Cambridge University Press,https://books.google.com/books?hl=en&lr=&id=iGfjJ4lKb1IC&oi=fnd&pg=PA16&dq=gorillas&ots=6LZ5MFpCC0&sig=1eDICMslpdZGTSE3pprg9s5cZ7I,gorillas
