Title,Authors,Year,Citations,Link
[HTML][HTML] Management of hepatocellular carcinoma: an update,"['J Bruix', 'M Sherman�- Hepatology', '2011']",Wiley Online Library,5379,http://onlinelibrary.wiley.com/doi/10.1002/hep.24199/full
[HTML][HTML] Clinical management of hepatocellular carcinoma. Conclusions of the Barcelona-2000 EASL conference,"['J Bruix', 'M Sherman', 'JM Llovet…�- Journal of�…', '2001']",journal-of-hepatology.eu,4350,https://www.journal-of-hepatology.eu/article/S0168-8278(01)00130-1/fulltext
Hepatocellular carcinoma and hepatitis B virus: a prospective study of 22 707 men in Taiwan,"['RP Beasley', 'CC Lin', 'LY Hwang', 'CS Chien�- The Lancet', '1981']",Elsevier,3117,http://www.sciencedirect.com/science/article/pii/S0140673681905857
Hepatitis B virus. The major etiology of hepatocellular carcinoma,"['RP Beasley�- Cancer', '1988']",Wiley Online Library,1673,http://onlinelibrary.wiley.com/doi/10.1002/1097-0142(19880515)61:10%3C1942::AID-CNCR2820611003%3E3.0.CO;2-J/full
"Efficacy and safety of sorafenib in patients in the Asia-Pacific region with advanced hepatocellular carcinoma: a phase III randomised, double-blind, placebo�…","['AL Cheng', 'YK Kang', 'Z Chen', 'CJ Tsao', 'S Qin', 'JS Kim…�- The lancet oncology', '2009']",Elsevier,3311,http://www.sciencedirect.com/science/article/pii/S1470204508702857
[HTML][HTML] Risk of hepatocellular carcinoma across a biological gradient of serum hepatitis B virus DNA level,"['CJ Chen', 'HI Yang', 'JUN Su', 'CL Jen', 'SL You', 'SN Lu…�- Jama', '2006']",jamanetwork.com,2938,http://jamanetwork.com/journals/jama/fullarticle/202137
[HTML][HTML] Systematic review of randomized trials for unresectable hepatocellular carcinoma: chemoembolization improves survival,"['JM Llovet', 'J Bruix�- Hepatology', '2003']",Wiley Online Library,2660,http://onlinelibrary.wiley.com/doi/10.1053/jhep.2003.50047/full
Natural history of hepatocellular carcinoma and prognosis in relation to treatment study of 850 patients,"['K Okuda', 'T Ohtsuki', 'H Obata', 'M Tomimatsu…�- Cancer', '1985']",Wiley Online Library,2066,http://onlinelibrary.wiley.com/doi/10.1002/1097-0142(19850815)56:4%3C918::AID-CNCR2820560437%3E3.0.CO;2-E/full
Human hepatocellular carcinoma cell lines secrete the major plasma proteins and hepatitis B surface antigen,"['BB Knowles', 'CC Howe', 'DP Aden�- Science', '1980']",science.sciencemag.org,1912,http://science.sciencemag.org/content/209/4455/497.short
Arterial embolisation or chemoembolisation versus symptomatic treatment in patients with unresectable hepatocellular carcinoma: a randomised controlled trial,"['JM Llovet', 'MI Real', 'X Monta�a', 'R Planas', 'S Coll…�- The Lancet', '2002']",Elsevier,2622,http://www.sciencedirect.com/science/article/pii/S014067360208649X
