Title,Authors,Year,Citations,Journal,Link,Topic
Phase lock loop,['ME Dove'],1971,33,US Patent 3,https://www.google.com/patents/US3571743,phase lock loop
Phase lock loop,"['VB Minuhin', 'EJ Berzon', 'VF VonDeylen']",1989,16,US Patent 4,https://www.google.com/patents/US4875108,phase lock loop
Phase lock loop,['DE Phillips'],1983,15,US Patent 4,https://www.google.com/patents/US4419633,phase lock loop
Fast heterodyne optical phase-lock loop using double quantum well laser diodes,"['RT Ramos', 'AJ Seeds']",1992,188,Electronics letters,http://ieeexplore.ieee.org/abstract/document/255936/,phase lock loop
Millimeter-wave modulated optical signal generation with high spectral purity and wide-locking bandwidth using a fiber-integrated optical injection phase-lock loop,"['LA Johansson', 'AJ Seeds']",2000,141,IEEE Photonics Technology Letters,http://ieeexplore.ieee.org/abstract/document/849086/,phase lock loop
High-performance phase locking of wide linewidth semiconductor lasers by combined use of optical injection locking and optical phase-lock loop,"['AC Bordonalli', 'C Walton']",1999,192,Journal of Lightwave,http://ieeexplore.ieee.org/abstract/document/744252/,phase lock loop
Phase Lock Loop,"['R Houanche', 'J Pinto']",2012,0,,http://www2.slac.stanford.edu/suli/2012/PAPERS/FINAL_PAPERS/Houanche_%20paper.pdf,phase lock loop
Phase lock loop,['PJ Thurakal'],1991,0,US Patent 5,https://www.google.com/patents/US5043678,phase lock loop
Phase lock loop,['SK Anderson'],1979,0,US Patent 4,https://www.google.com/patents/US4138650,phase lock loop
Sensorless maximum power point tracking of wind by DFIG using rotor position phase lock loop (PLL),"['B Shen', 'B Mwinyiwiwa', 'Y Zhang']",2009,159,IEEE Transactions on,http://ieeexplore.ieee.org/abstract/document/4806094/,phase lock loop
Optical injection locking and phase-lock loop combined systems,"['RT Ramos', 'AJ Seeds', 'A Bordonalli', 'P Gallion']",1994,59,Optics,https://www.osapublishing.org/abstract.cfm?uri=ol-19-1-4,phase lock loop
Charge-pump phase-lock loops,['F Gardner'],1980,1128,IEEE transactions on Communications,http://ieeexplore.ieee.org/abstract/document/1094619/,phase lock loop
Phase lock loop multitone interference canceling system,['FS Gutleber'],1977,58,US Patent 4,https://www.google.com/patents/US4027264,phase lock loop
GHz transceiver phase lock loop having autofrequency lock correction,"['AD Momtaz', 'MS Nejad']",1999,66,US Patent 5,https://www.google.com/patents/US5950115,phase lock loop
A time synchronization mechanism and algorithm based on phase lock loop,"['FY Ren', 'SY Dong', 'T He', 'C Lin']",2007,48,Ruan Jian Xue Bao(Journal of,http://en.cnki.com.cn/Article_en/CJFDTOTAL-RJXB200702023.htm,phase lock loop
Circuit and method for preventing runaway in a phase lock loop,"['SJ Wei', 'KY Chen']",2002,57,US Patent 6,https://www.google.com/patents/US6369660,phase lock loop
Phase lock loop with selectable frequency switching time,"['CM Davis', 'DA Byrd']",1995,61,US Patent 5,https://www.google.com/patents/US5420545,phase lock loop
Frequency acquisition rate control in phase lock loop circuits,"['NY Moyal', 'BJ Williams', 'M Marlett', 'S Meyers']",2004,54,US Patent 6,https://www.google.com/patents/US6704381,phase lock loop
Phase lock loop with compensation for voltage or temperature changes in a phase comparator,['O Kinoshita'],1993,54,US Patent 5,https://www.google.com/patents/US5258725,phase lock loop
Discriminator-aided optical phase-lock loop incorporating a frequency down-conversion module,"['HR Rideout', 'JS Seregelyi', 'S Paquet']",2006,46,IEEE Photonics,http://ieeexplore.ieee.org/abstract/document/1717536/,phase lock loop
Phase-lock loop,"['CY Koh', 'KM Yong']",2014,0,US Patent 8,https://www.google.com/patents/US8704563,phase lock loop
Phase-lock loop,"['CY Koh', 'KM Yong']",2012,0,US Patent 8,https://www.google.com/patents/US8095102,phase lock loop
Phase-lock loop,"['CY Koh', 'KM Yong']",2017,0,US Patent 9,https://www.google.com/patents/US9608645,phase lock loop
Phase lock loop,"['YJ Sie', 'PM Wang', 'CH Lou']",2017,0,US Patent 9,https://www.google.com/patents/US9806725,phase lock loop
Ultrahigh-speed clock recovery with phase lock loop based on four-wave mixing in a traveling-wave laser diode amplifier,"['O Kamatani', 'S Kawanishi']",1996,130,Journal of Lightwave Technology,http://ieeexplore.ieee.org/abstract/document/532012/,phase lock loop
Direct digital synthesizer driven phase lock loop frequency synthesizer,['RP Gilmore'],1990,119,US Patent 4,https://www.google.com/patents/US4965533,phase lock loop
Prescaled timing extraction from 400 Gb/s optical signal using a phase lock loop based on four-wave-mixing in a laser diode amplifier,"['O Kamatani', 'S Kawanishi']",1996,96,IEEE Photonics Technology Letters,http://ieeexplore.ieee.org/abstract/document/508749/,phase lock loop
System and method for phase lock loop gain stabilization,"['RR Rotzoll', 'J Prakash']",1997,113,US Patent 5,https://www.google.com/patents/US5625325,phase lock loop
Spread spectrum at phase lock loop (PLL) feedback path,['IT Sha'],2002,106,US Patent 6,https://www.google.com/patents/US6377646,phase lock loop
Generation and transmission of millimeter-wave data-modulated optical signals using an optical injection phase-lock loop,"['LA Johansson', 'AJ Seeds']",2003,105,Journal of Lightwave Technology,https://www.osapublishing.org/abstract.cfm?uri=jlt-21-2-511,phase lock loop
