Title,Authors,Year,Citations,Journal,Link,Topic
Stable reduced-order models using Pad-type approximations,['Y Shamash'],1974,228,IEEE Transactions on Automatic Control,http://ieeexplore.ieee.org/abstract/document/1100661/,REDUCED ORDER MODELS
A coordinate-transformed Arnoldi algorithm for generating guaranteed stable reduced-order models of RLC circuits,"['LM Silveira', 'M Kamon', 'I Elfadel', 'J White']",1999,308,Computer Methods in Applied,http://www.sciencedirect.com/science/article/pii/S0045782598001649,REDUCED ORDER MODELS
Interpolation method for adapting reduced-order models and application to aeroelasticity,"['D Amsallem', 'C Farhat']",2008,304,AIAA journal,https://arc.aiaa.org/doi/pdfplus/10.2514/1.35374,REDUCED ORDER MODELS
A note on the derivation and use of reduced-order models,"['R Genesio', 'M Milanese']",1976,223,IEEE Transactions on Automatic,http://ieeexplore.ieee.org/abstract/document/1101127/,REDUCED ORDER MODELS
Reduced-order models for MEMS applications,"['AH Nayfeh', 'MI Younis', 'EM Abdel-Rahman']",2005,229,Nonlinear dynamics,http://www.springerlink.com/index/J2726500236373QW.pdf,REDUCED ORDER MODELS
A reducedorder approach for optimal control of fluids using proper orthogonal decomposition,['SS Ravindran'],2000,304,International journal for numerical methods in,http://onlinelibrary.wiley.com/doi/10.1002/1097-0363(20001115)34:5%3C425::AID-FLD67%3E3.0.CO;2-W/full,REDUCED ORDER MODELS
PRIMA: Passive reduced-order interconnect macromodeling algorithm,"['A Odabasioglu', 'M Celik', 'LT Pileggi']",1997,1719,Proceedings of the 1997 IEEE/ACM,http://dl.acm.org/citation.cfm?id=266423,REDUCED ORDER MODELS
Airfoil design optimization using reduced order models based on proper orthogonal decomposition,"['JJ Alonso', 'PA LeGresley', 'PA Legresley', 'J Alonso']",2000,110,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.24.6253,REDUCED ORDER MODELS
A method for interpolating on manifolds structural dynamics reducedorder models,"['D Amsallem', 'J Cortial', 'K Carlberg']",2009,156,International journal for,http://onlinelibrary.wiley.com/doi/10.1002/nme.2681/full,REDUCED ORDER MODELS
Investigation of non-linear projection for pod based reduced order models for aerodynamics,"['PA LeGresley', 'JJ Alonso']",2001,113,AIAA paper,https://www.researchgate.net/profile/Juan_Alonso24/publication/2569047_Investigation_of_Non-Linear_Projection_for_POD_Based_Reduced_Order_Models_for_Aerodynamics/links/5593bccf08ae5af2b0eba2e8.pdf,REDUCED ORDER MODELS
A reduced-order model for electrically actuated microbeam-based MEMS,"['MI Younis', 'EM Abdel-Rahman']",2003,538,Journal of,http://ieeexplore.ieee.org/abstract/document/1240138/,REDUCED ORDER MODELS
"Formulations for surrogate-based optimization with data fit, multifidelity, and reduced-order models","['MS Eldred', 'DM Dunlavy']",2006,85,Proceedings of the 11th AIAA/ISSMO,https://arc.aiaa.org/doi/pdfplus/10.2514/6.2006-7117,REDUCED ORDER MODELS
Adaptation of aeroelastic reduced-order models and application to an F-16 configuration,"['T Lieu', 'C Farhat']",2007,87,AIAA journal,https://arc.aiaa.org/doi/pdfplus/10.2514/1.24512,REDUCED ORDER MODELS
Identifying linear reduced-order models for systems with arbitrary initial conditions using Prony signal analysis,"['DA Pierre', 'DJ Trudnowski']",1992,67,IEEE Transactions on,http://ieeexplore.ieee.org/abstract/document/256344/,REDUCED ORDER MODELS
Parametric reduced-order models for probabilistic analysis of unsteady aerodynamic applications,"['T Bui-Thanh', 'K Willcox', 'O Ghattas']",2008,81,AIAA journal,https://arc.aiaa.org/doi/pdfplus/10.2514/1.35850,REDUCED ORDER MODELS
Reduced-order models of unsteady transonic viscous flows in turbomachinery,"['BI Epureanu', 'EH Dowell', 'KC Hall']",2000,57,Journal of Fluids and Structures,http://www.sciencedirect.com/science/article/pii/S0889974600903207,REDUCED ORDER MODELS
Stabilization of projectionbased reducedorder models,"['D Amsallem', 'C Farhat']",2012,78,International Journal for Numerical,http://onlinelibrary.wiley.com/doi/10.1002/nme.4274/full,REDUCED ORDER MODELS
Error estimation for reduced-order models of dynamical systems,"['C Homescu', 'LR Petzold', 'R Serban']",2005,76,SIAM Journal on Numerical Analysis,http://epubs.siam.org/doi/abs/10.1137/040603541,REDUCED ORDER MODELS
Routh-approximant time-domain reduced-order models for single-input single-output systems,"['AS Rao', 'SS Lamba', 'SV Rao']",1978,58,Proceedings of the Institution of Electrical,http://digital-library.theiet.org/content/journals/10.1049/piee.1978.0242,REDUCED ORDER MODELS
Implicit coupling of partitioned fluid-structure interaction solvers using reduced-order models,['J Vierendeels'],2006,61,Fluid-Structure Interaction,https://link.springer.com/chapter/10.1007/3-540-34596-5_1,REDUCED ORDER MODELS
Implicit coupling of partitioned fluidstructure interaction problems with reduced order models,"['J Vierendeels', 'L Lanoye', 'J Degroote', 'P Verdonck']",2007,139,Computers & structures,http://www.sciencedirect.com/science/article/pii/S0045794906003865,REDUCED ORDER MODELS
Reduced-order models for control of fluids using the eigensystem realization algorithm,"['Z Ma', 'S Ahuja', 'CW Rowley']",2011,147,Theoretical and Computational Fluid,http://www.springerlink.com/index/H03K5985H8746203.pdf,REDUCED ORDER MODELS
Development of reduced-order models for aeroelastic analysis and flutter prediction using the CFL3Dv6. 0 code,"['WA Silva', 'RE Bartels']",2004,137,Journal of Fluids and Structures,http://www.sciencedirect.com/science/article/pii/S088997460400057X,REDUCED ORDER MODELS
Three-dimensional transonic aeroelasticity using proper orthogonal decomposition-based reduced-order models,"['JP Thomas', 'EH Dowell', 'KC Hall']",2003,133,Journal of Aircraft,https://arc.aiaa.org/doi/pdfplus/10.2514/2.3128,REDUCED ORDER MODELS
Optimal control of the cylinder wake in the laminar regime by trust-region methods and POD reduced-order models,"['M Bergmann', 'L Cordier']",2008,165,Journal of Computational Physics,http://www.sciencedirect.com/science/article/pii/S0021999108002659,REDUCED ORDER MODELS
Reduced-order models for microelectromechanical rectangular and circular plates incorporating the Casimir force,"['RC Batra', 'M Porfiri', 'D Spinello']",2008,143,International Journal of Solids and,http://www.sciencedirect.com/science/article/pii/S0020768308000887,REDUCED ORDER MODELS
An online method for interpolating linear parametric reduced-order models,"['D Amsallem', 'C Farhat']",2011,155,SIAM Journal on Scientific Computing,http://epubs.siam.org/doi/abs/10.1137/100813051,REDUCED ORDER MODELS
Reduced-order models for nonlinear unsteady aerodynamics,['DE Raveh'],2001,126,AIAA journal,https://arc.aiaa.org/doi/pdfplus/10.2514/2.1473,REDUCED ORDER MODELS
An efficient Lyapunov equation-based approach for generating reduced-order models of interconnect,"['JR Li', 'F Wang', 'JK White']",1999,100,Proceedings of the 36th annual ACM/IEEE,http://dl.acm.org/citation.cfm?id=309848,REDUCED ORDER MODELS
Reduced-order models of unsteady viscous flows in turbomachinery using viscousinviscid coupling,"['BI Epureanu', 'KC Hall', 'EH Dowell']",2001,87,Journal of Fluids and Structures,http://www.sciencedirect.com/science/article/pii/S0889974600903347,REDUCED ORDER MODELS
